Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,
Daerah,Kota Yogyakarta,,,,,,
Tahun,2016,,,,,,
Kode Organisasi,1.03.01,,,,,,
Nama Organisasi,Dinas Permukiman dan Prasarana Wilayah,,,,,,
Kolom,4,,,,,,
Kode Rekening,Uraian,Jumlah,Keterangan,,,,
1.04.1.03.01.040.004.5.2.1 ,BELANJA PEGAWAI ,"127650000,00",,,,,
1.04.1.03.01.040.004.5.2.1.01 ,Honorarium PNS ,"121775000,00",,,,,
1.04.1.03.01.040.004.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"121375000,00",Honorarium Panitia Pelaksana Kegiatan 121375000,,,,
1.04.1.03.01.040.004.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"400000,00",Honorarium Tim Pengadaan Barang dan Jasa 400000,,,,
1.04.1.03.01.040.004.5.2.1.02 ,Honorarium Non PNS ,"2875000,00",,,,,
1.04.1.03.01.040.004.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"2875000,00",Honorarium Panitia Pelaksana Kegiatan 2875000,,,,
1.04.1.03.01.040.004.5.2.1.06 ,Uang Piket ,"3000000,00",,,,,
1.04.1.03.01.040.004.5.2.1.06.01 ,Uang Piket PNS ,"3000000,00",Uang Piket PNS 3000000,,,,
1.04.1.03.01.040.004.5.2.2 ,BELANJA BARANG DAN JASA ,"322514900,00",,,,,
1.04.1.03.01.040.004.5.2.2.01 ,Belanja Bahan Pakai Habis ,"6200000,00",,,,,
1.04.1.03.01.040.004.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"6200000,00",Belanja  Alat Tulis Kantor 6200000,,,,
1.04.1.03.01.040.004.5.2.2.03 ,Belanja Jasa Kantor ,"3000000,00",,,,,
1.04.1.03.01.040.004.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,"3000000,00", Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 3000000,,,,
1.04.1.03.01.040.004.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"8527800,00",,,,,
1.04.1.03.01.040.004.5.2.2.06.02 ,Belanja Penggandaan ,"8527800,00",Belanja Penggandaan 8527800,,,,
1.04.1.03.01.040.004.5.2.2.11 ,Belanja Makanan Dan Minuman ,"47512000,00",,,,,
1.04.1.03.01.040.004.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"47512000,00",Belanja Makanan Dan Minuman Rapat 47512000,,,,
1.04.1.03.01.040.004.5.2.2.15 ,Belanja Perjalanan Dinas ,"42475000,00",,,,,
1.04.1.03.01.040.004.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"12100000,00",Belanja Perjalanan Dinas Dalam Daerah 12100000,,,,
1.04.1.03.01.040.004.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"30375000,00",Belanja Perjalanan Dinas Luar Daerah 30375000,,,,
1.04.1.03.01.040.004.5.2.2.21 ,Belanja Jasa Konsultansi ,"186000100,00",,,,,
1.04.1.03.01.040.004.5.2.2.21.02 ,Belanja Jasa Konsultansi Perencanaan ,"186000100,00",Belanja Jasa Konsultansi Perencanaan 186000100,,,,
1.04.1.03.01.040.004.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"28800000,00",,,,,
1.04.1.03.01.040.004.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"6800000,00",Belanja Jasa Tenaga Ahli 6800000,,,,
1.04.1.03.01.040.004.5.2.2.31.03 ,Belanja Jasa Narasumber ,"22000000,00",Belanja Jasa Narasumber 22000000,,,,
1.04.1.03.01.040.005 ,Pengelolaan Rusunawa ,"425459741,00",,,,,
1.04.1.03.01.040.005.5.2.1 ,BELANJA PEGAWAI ,"36317500,00",,,,,
1.04.1.03.01.040.005.5.2.1.01 ,Honorarium PNS ,"32867500,00",,,,,
1.04.1.03.01.040.005.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"32442500,00",Honorarium Panitia Pelaksana Kegiatan 32442500,,,,
1.04.1.03.01.040.005.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"425000,00",Honorarium Tim Pengadaan Barang dan Jasa 425000,,,,
1.04.1.03.01.040.005.5.2.1.02 ,Honorarium Non PNS ,"3450000,00",,,,,
1.04.1.03.01.040.005.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"3450000,00",Honorarium Panitia Pelaksana Kegiatan 3450000,,,,
1.04.1.03.01.040.005.5.2.2 ,BELANJA BARANG DAN JASA ,"369616641,00",,,,,
1.04.1.03.01.040.005.5.2.2.02 ,Belanja Bahan/Material ,"32699000,00",,,,,
1.04.1.03.01.040.005.5.2.2.02.01 ,Belanja Bahan Baku Bangunan ,"22597000,00",Belanja Bahan Baku Bangunan 22597000,,,,
1.04.1.03.01.040.005.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"10102000,00",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 10102000,,,,
1.04.1.03.01.040.005.5.2.2.03 ,Belanja Jasa Kantor ,"206701641,00",,,,,
1.04.1.03.01.040.005.5.2.2.03.14 ,Belanja Retribusi/Tiket ,"2880000,00",Belanja Retribusi/Tiket 2880000,,,,
1.04.1.03.01.040.005.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"203821641,00",Belanja Jasa Penyedia /Tenaga Teknis 203821641,,,,
1.04.1.03.01.040.005.5.2.2.11 ,Belanja Makanan Dan Minuman ,"24000000,00",,,,,
1.04.1.03.01.040.005.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"24000000,00",Belanja Makanan Dan Minuman Rapat 24000000,,,,
1.04.1.03.01.040.005.5.2.2.13 ,Belanja Pakaian Kerja ,"3120000,00",,,,,
1.04.1.03.01.040.005.5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,"3120000,00",Belanja Pakaian Kerja Lapangan 3120000,,,,
1.04.1.03.01.040.005.5.2.2.20 ,Belanja Pemeliharaan ,"98000000,00",,,,,
1.04.1.03.01.040.005.5.2.2.20.03 ,Belanja Pemeliharaan Bangunan Pemerintah ,"98000000,00",Belanja Pemeliharaan Bangunan Pemerintah 98000000,,,,
1.04.1.03.01.040.005.5.2.2.21 ,Belanja Jasa Konsultansi ,"5096000,00",,,,,
1.04.1.03.01.040.005.5.2.2.21.03 ,Belanja Jasa Konsultansi Pengawasan ,"5096000,00",Belanja Jasa Konsultansi Pengawasan 5096000,,,,
1.04.1.03.01.040.005.5.2.3 ,BELANJA MODAL ,"19525600,00",,,,,
1.04.1.03.01.040.005.5.2.3.04 ,Belanja Modal Pengadaan Alat Alat Angkutan Darat Tidak Bermotor ,"2076000,00",,,,,
1.04.1.03.01.040.005.5.2.3.04.01 ,Belanja Modal Pengadaan Gerobak ,"2076000,00",Belanja Modal Pengadaan Gerobak 2076000,,,,
1.04.1.03.01.040.005.5.2.3.08 ,Belanja Modal Pengadaan Alat Alat Bengkel ,"2270000,00",,,,,
1.04.1.03.01.040.005.5.2.3.08.07 ,Belanja Modal Pengadaan Bor Listrik ,"1570000,00",Belanja Modal Pengadaan Bor Listrik 1570000,,,,
1.04.1.03.01.040.005.5.2.3.08.10 ,Belanja Modal Alat Perbengkelan Umum ,"700000,00",Belanja Modal Alat Perbengkelan Umum 700000,,,,
1.04.1.03.01.040.005.5.2.3.11 ,Belanja Modal Pengadaan Perlengkapan Kantor ,"15179600,00",,,,,
1.04.1.03.01.040.005.5.2.3.11.11 ,Belanja Modal Pengadaan Mesin Pompa Air ,"14000000,00",Belanja Modal Pengadaan Mesin Pompa Air 14000000,,,,
1.04.1.03.01.040.005.5.2.3.11.14 ,Belanja Modal Pengadaan Tangga Lipat ,"1179600,00",Belanja Modal Pengadaan Tangga Lipat 1179600,,,,
1.04.1.03.01.040.006 ,Peningkatan Kualitas RTLH ,"2007520626,00",,,,,
1.04.1.03.01.040.006.5.2.1 ,BELANJA PEGAWAI ,"84625000,00",,,,,
1.04.1.03.01.040.006.5.2.1.01 ,Honorarium PNS ,"66300000,00",,,,,
1.04.1.03.01.040.006.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"60875000,00",Honorarium Panitia Pelaksana Kegiatan 60875000,,,,
1.04.1.03.01.040.006.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"5425000,00",Honorarium Tim Pengadaan Barang dan Jasa 5425000,,,,
1.04.1.03.01.040.006.5.2.1.02 ,Honorarium Non PNS ,"18325000,00",,,,,
1.04.1.03.01.040.006.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"15200000,00",Honorarium Panitia Pelaksana Kegiatan 15200000,,,,
1.04.1.03.01.040.006.5.2.1.02.03 ,Honorarium Pelaksana Kegiatan ,"3125000,00",Honorarium Pelaksana Kegiatan 3125000,,,,
1.04.1.03.01.040.006.5.2.2 ,BELANJA BARANG DAN JASA ,"1922895626,00",,,,,
1.04.1.03.01.040.006.5.2.2.03 ,Belanja Jasa Kantor ,"69638026,00",,,,,
1.04.1.03.01.040.006.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"69638026,00",Belanja Jasa Penyedia /Tenaga Teknis 69638026,,,,
1.04.1.03.01.040.006.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"2817600,00",,,,,
1.04.1.03.01.040.006.5.2.2.06.02 ,Belanja Penggandaan ,"2817600,00",Belanja Penggandaan 2817600,,,,
1.04.1.03.01.040.006.5.2.2.11 ,Belanja Makanan Dan Minuman ,"16232000,00",,,,,
1.04.1.03.01.040.006.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"16232000,00",Belanja Makanan Dan Minuman Rapat 16232000,,,,
1.04.1.03.01.040.006.5.2.2.15 ,Belanja Perjalanan Dinas ,"10208000,00",,,,,
1.04.1.03.01.040.006.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"10208000,00",Belanja Perjalanan Dinas Dalam Daerah 10208000,,,,
1.04.1.03.01.040.006.5.2.2.20 ,Belanja Pemeliharaan ,"1824000000,00",,,,,
1.04.1.03.01.040.006.5.2.2.20.08 ,Belanja Pemeliharaan Sarana Prasarana Fasilitas Umum ,"1824000000,00",Belanja Pemeliharaan Sarana Prasarana Fasilitas Umum 1824000000,,,,
1.05.1.03.01.041 ,Program Pengembangan Rencana Rinci dan Infrastruktur Kawasan ,"1562202332,00",,,,,
1.05.1.03.01.041.001 ,Pemeliharaan Bangunan - Bangunan Monumental dan Assesoris Keindahan Kota,"362664332,00",,,,,
1.05.1.03.01.041.001.5.2.1 ,BELANJA PEGAWAI ,"32965500,00",,,,,
1.05.1.03.01.041.001.5.2.1.01 ,Honorarium PNS ,"32965500,00",,,,,
1.05.1.03.01.041.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"29965500,00",Honorarium Panitia Pelaksana Kegiatan 29965500,,,,
1.05.1.03.01.041.001.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"3000000,00",Honorarium Tim Pengadaan Barang dan Jasa 3000000,,,,
1.05.1.03.01.041.001.5.2.2 ,BELANJA BARANG DAN JASA ,"329698832,00",,,,,
1.05.1.03.01.041.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"2450000,00",,,,,
1.05.1.03.01.041.001.5.2.2.01.03 ,Belanja Alat Listrik Dan Elektronik ,"2450000,00",Belanja Alat Listrik Dan Elektronik 2450000,,,,
1.05.1.03.01.041.001.5.2.2.02 ,Belanja Bahan/Material ,"116140000,00",,,,,
1.05.1.03.01.041.001.5.2.2.02.01 ,Belanja Bahan Baku Bangunan ,"46735000,00",Belanja Bahan Baku Bangunan 46735000,,,,
1.05.1.03.01.041.001.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"69405000,00",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 69405000,,,,
1.05.1.03.01.041.001.5.2.2.03 ,Belanja Jasa Kantor ,"71556832,00",,,,,
1.05.1.03.01.041.001.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"71556832,00",Belanja Jasa Penyedia /Tenaga Teknis 71556832,,,,
1.05.1.03.01.041.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"1500000,00",,,,,
1.05.1.03.01.041.001.5.2.2.06.01 ,Belanja Cetak ,"1500000,00",Belanja Cetak 1500000,,,,
1.05.1.03.01.041.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,"4552000,00",,,,,
1.05.1.03.01.041.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"4552000,00",Belanja Makanan Dan Minuman Rapat 4552000,,,,
1.05.1.03.01.041.001.5.2.2.13 ,Belanja Pakaian Kerja ,"3500000,00",,,,,
1.05.1.03.01.041.001.5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,"3500000,00",Belanja Pakaian Kerja Lapangan 3500000,,,,
1.05.1.03.01.041.001.5.2.2.20 ,Belanja Pemeliharaan ,"130000000,00",,,,,
1.05.1.03.01.041.001.5.2.2.20.08 ,Belanja Pemeliharaan Sarana Prasarana Fasilitas Umum ,"130000000,00",Belanja Pemeliharaan Sarana Prasarana Fasilitas Umum 130000000,,,,
.05.1.03.01.041.002 ,Peningkatan Bangunan - Bangunan Monumental dan Assesoris Keindahan Kota,"858125000,00",,,,,
1.05.1.03.01.041.002.5.2.3 ,BELANJA MODAL ,"858125000,00",,,,,
1.05.1.03.01.041.002.5.2.3.26 ,Belanja Modal Pengadaan Konstruksi/Pembelian*) Bangunan ,"858125000,00",,,,,
1.05.1.03.01.041.002.5.2.3.26.06 ,Belanja Modal Pengadaan Konstruksi/pembelian Bangunan Monumen ,"858125000,00",Belanja Modal Pengadaan Konstruksi/pembelian Bangunan Monumen 858125000,,,,
.05.1.03.01.041.003 ,Penyusunan Rencana Lingkungan Site Area (RTBL) Kawasan Ngampilan ,"341413000,00",,,,,
1.05.1.03.01.041.003.5.2.1 ,BELANJA PEGAWAI ,"25023000,00",,,,,
1.05.1.03.01.041.003.5.2.1.01 ,Honorarium PNS ,"25023000,00",,,,,
1.05.1.03.01.041.003.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"24498000,00",Honorarium Panitia Pelaksana Kegiatan 24498000,,,,
1.05.1.03.01.041.003.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"525000,00",Honorarium Tim Pengadaan Barang dan Jasa 525000,,,,
1.05.1.03.01.041.003.5.2.2 ,BELANJA BARANG DAN JASA ,"316390000,00",,,,,
1.05.1.03.01.041.003.5.2.2.11 ,Belanja Makanan Dan Minuman ,"6840000,00",,,,,
1.05.1.03.01.041.003.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"6840000,00",Belanja Makanan Dan Minuman Rapat 6840000,,,,
1.05.1.03.01.041.003.5.2.2.15 ,Belanja Perjalanan Dinas ,"4000000,00",,,,,
1.05.1.03.01.041.003.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"4000000,00",Belanja Perjalanan Dinas Dalam Daerah 4000000,,,,
1.05.1.03.01.041.003.5.2.2.21 ,Belanja Jasa Konsultansi ,"300000000,00",,,,,
1.05.1.03.01.041.003.5.2.2.21.02 ,Belanja Jasa Konsultansi Perencanaan ,"300000000,00",Belanja Jasa Konsultansi Perencanaan 300000000,,,,
1.05.1.03.01.041.003.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"5550000,00",,,,,
1.05.1.03.01.041.003.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"5100000,00",Belanja Jasa Tenaga Ahli 5100000,,,,
1.05.1.03.01.041.003.5.2.2.31.04 ,Belanja Jasa Moderator ,"450000,00",Belanja Jasa Moderator 450000,,,,
