Judul,APBD Kab Bantul 2015,,
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"26,880,000",
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,545,
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,545,"Belanja Alat Tulis Kantor
Belanja Alat Tulis Kegiatan1 ls x 545.000^00 = 545.000^00"
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"4,000,000",
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 2 . 02 . 12 ,Belanja alat-alat/perlengkapan ,"4,000,000","Belanja perlengkapan
Belanja perlengkapan perawatan jenazah20 paket x 200.000^00 = 4.000.000^00"
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,375,
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,375,Belanja penggandaan2^500 lbr x 150^00 = 375.000^00
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 2 . 08 ,Belanja Sewa Sarana Mobilitas ,"3,000,000",
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 2 . 08 . 01 ,Belanja Sewa Sarana Mobilitas Darat ,"3,000,000","Belanja sewa sarana mobilitas darat
Belanja sewa sarana mobilitas darat (sewa ambulance)20 kali x 150.000^00 = 3.000.000^00"
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"18,960,000",
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 2 . 35 . 06 ,Jasa Tenaga Harian Lepas ,"18,960,000","Honorarium harian
Honor merawat jenazah40 ok x 75.000^00 = 3.000.000^00
Honor pemakaman jenazahkoordinator26 ok x 150.000^00 = 3.900.000^00
Anggota104 ok x 100.000^00 = 10.400.000^00
Pendoa26 ok x 50.000^00 = 1.300.000^00
Honor juru kunci makamJuru kunci & petugas kebersihan makam12 ok x 30.000^00 = 360.000^00"
1.13 . 1.13.01 . 16 . 23 ,Pelatihan ketrampilan dan praktek belajar kerja bagi anak terlantar ,"48,000,000","Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Meningkatnya kesejahteraan & kemandirian bagi PMKS
Target:  80 anak"
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 1 ,Belanja Pegawai ,"1,240,000",
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"1,240,000",
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"1,240,000","Honorarium Panitia Pelaksana Kegiatan
Ketua4 Oh x 90.000^00 = 360.000^00
Sekretaris4 Oh x 80.000^00 = 320.000^00
Anggota8 Oh x 70.000^00 = 560.000^00"
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"46,760,000",
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"3,555,000",
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"3,555,000","Belanja bahan pakai habis
Belanja Alat Tulis Kegiatan1 Ls x 2.805.000^00 = 2.805.000^00
Alat tulis peserta50 Org x 15.000^00 = 750.000^00"
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"25,800,000",
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 02 . 12 ,Belanja alat-alat/perlengkapan ,"25,800,000","Belanja peralatan
Belanja bahan praktek2 Keg x 400.000^00 = 800.000^00
Belanja alat-alat/perlengkapan usaha peserta pelatihan50 Pkt x 500.000^00 = 25.000.000^00"
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"1,125,000",
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"1,125,000",Belanja Penggandaan7^500 Lbr x 150^00 = 1.125.000^00
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"2,000,000",
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,"2,000,000","Belanja Sewa Ruang Rapat/Pertemuan
Belanja Sewa Ruang Rapat4 Kgt x 500.000^00 = 2.000.000^00"
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"7,950,000",
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"1,200,000","Belanja makan dan minuman rapat
Belanja makan dan minuman pelaksanaan kegiatan160 Dos x 7.500^00 = 1.200.000^00"
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"6,750,000","Belanja makan dan minum pelaksanaan kegiatan pelatihanSnack minum120 Dos x 7.500^00 = 900.000^00
Makan minum120 Dos x 17.500^00 = 2.100.000^00
Fasilitasi Hipenca (makan^ minum^ snack)150 Dos x 25.000^00 = 3.750.000^00"
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,630,
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,630,"Belanja perjalanan dinas dalam Provinsi DIY
Gol. IV3 ok x 70.000^00 = 210.000^00
Gol. III7 ok x 60.000^00 = 420.000^00"
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"5,700,000",
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,"2,700,000","Honor Narasumber pelatihan keterampilan
Narasumber pelatihan keterampilan12 Jpl x 225.000^00 = 2.700.000^00"
1.13 . 1.13.01 . 16 . 23 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,"3,000,000",Honorarium harianTransport peserta100 Oh x 30.000^00 = 3.000.000^00
1.13 . 1.13.01 . 16 . 24 ,Pelayanan dan penanganan anak putus sekolah dan anak berhadapan dengan hukum,"15,049,950","Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Terlaksananya program penanganan ABH^ anak korban KDRT & anak putus sekolah
Target:  80 anak"
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 1 ,Belanja Pegawai ,240,
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 1 . 01 ,Honorarium PNS ,240,
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,240,"Honorarium Panitia Pelaksana Kegiatan
Ketua1 Ok x 90.000^00 = 90.000^00
Sekretaris1 Ok x 80.000^00 = 80.000^00
Anggota1 Ok x 70.000^00 = 70.000^00"
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"14,809,950",
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,410,
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,410,"Belanja Alat Tulis Kantor
Alat tulis Kegiatan1 ls x 410.000^00 = 410.000^00"
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"7,250,000",
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 02 . 12 ,Belanja alat-alat/perlengkapan ,"7,250,000","Belanja Bahan/Peralatan
Belanja bahan praktek1 Keg x 250.000^00 = 250.000^00
Belanja alat-alat/perlengkapan usaha peserta pelatihan20 Pkt x 350.000^00 = 7.000.000^00"
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"499,95",
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"499,95",Belanja Penggandaan3^333 Lbr x 150^00 = 499.950^00
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,500,
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,500,Belanja Sewa Ruang Rapat/Pertemuan1 Kgt x 500.000^00 = 500.000^00
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"2,775,000",
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"2,150,000","Belanja Makan dan Minum
Belanja makan dan minum rapat20 Dos x 7.500^00 = 150.000^00
Koordinasi Penanganan ABH80 Dos x 25.000^00 = 2.000.000^00"
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,625,"Belanja makan dan minum pelaksanaan kegiatan
Belanja snack & minum pelaksanaan kegiatan25 Dos x 7.500^00 = 187.500^00
Belanja makan minum kegiatan25 Dos x 17.500^00 = 437.500^00"
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"3,375,000",
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,675,Honorarium Narasumber3 Ok x 225.000^00 = 675.000^00
1.13 . 1.13.01 . 16 . 24 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,"2,700,000","Honorarium harianTransport peserta20 Org x 25.000^00 = 500.000^00
Honor pendamping2 Org x 100.000^00 = 200.000^00
transport penanganan ABH80 Org x 25.000^00 = 2.000.000^00"
1.13 . 1.13.01 . 16 . 25 ,Koordinasi perumusan kebijakan dan sinkronisasi pelaksanaan penanganan permaslahan lansia,"77,500,000","Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Meningkatnya peran aktif SKPD & Kecamatan dalam penanganan permasalahan lanjut usia
Target:  9 kegiatan"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 1 ,Belanja Pegawai ,"7,370,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"4,870,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"4,870,000","Honorarium panitia pelaksanaan kegiatan workshop
Ketua3 Ok x 90.000^00 = 270.000^00
Sekretaris3 Ok x 80.000^00 = 240.000^00
Anggota12 Ok x 70.000^00 = 840.000^00
Honorarium panitia pelaksana kegiatan pelatihan kader  Yandu Lansia
Ketua1 Ok x 90.000^00 = 90.000^00
Sekretaris1 Ok x 80.000^00 = 80.000^00
Anggota3 Ok x 70.000^00 = 210.000^00
Honorarium Panitia Pelaksana Kegiatan Hari Lanjut Usia & Senam Massal
Honor MC2 keg x 2 org4 ok x 75.000^00 = 300.000^00
Ketua2 keg x 1 org2 ok x 90.000^00 = 180.000^00
Sekretaris2 keg x 1 org2 ok x 80.000^00 = 160.000^00
Anggota2 keg x 25 org50 ok x 50.000^00 = 2.500.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,"2,500,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 1 . 02 . 06 ,Honorarium Petugas Pendamping Kegiatan ,"2,500,000","Honorarium panitia pelaksana kegiatan HALUN
Anggota2 keg x 15 org30 ok x 50.000^00 = 1.500.000^00
Honorarium Panitia HALUN & Senam Massal
Honor panitia HALUN & Senam Massal20 oh x 50.000^00 = 1.000.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"70,130,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"4,005,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"4,005,000","Belanja bahan pakai habis
ATK Kegiatan1 Ls x 2.805.000^00 = 2.805.000^00
ATK peserta pelatihan kader yandu80 Pkt x 15.000^00 = 1.200.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"4,000,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 02 . 08 ,Belanja Bahan Makanan ,"4,000,000",Belanja paket sembako bakti sosial1 ls x 4.000.000^00 = 4.000.000^00
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"2,400,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,900,"Belanja Cetak
Backdrop1 buah x 500.000^00 = 500.000^00
Spanduk2 buah x 200.000^00 = 400.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"1,500,000","Belanja penggandaan
Penggandaan kegiatan10^000 Lbr x 150^00 = 1.500.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,500,
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,500,"Belanja sewa ruang rapat/pertemuan
Belanja sewa tempat pelat kader yandu lansia1 hr x 500.000^00 = 500.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 08 ,Belanja Sewa Sarana Mobilitas ,"8,500,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 08 . 01 ,Belanja Sewa Sarana Mobilitas Darat ,"8,500,000","Belanja sewa sarana mobilitas darat
Belanja sewa sarana mobilitas darat upacara Halun17 bh x 500.000^00 = 8.500.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"5,500,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 10 . 01 ,Belanja Sewa Meja Kursi ,"1,500,000",Belanja sewa meja kursi2 paket x 750.000^00 = 1.500.000^00
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 10 . 05 ,Belanja Sewa Tenda ,"3,000,000",Belanja sewa tenda6 buah x 500.000^00 = 3.000.000^00
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 10 . 07 ,Belanja Sewa Sound System ,"1,000,000",belanja sewa sound system2 Paket x 500.000^00 = 1.000.000^00
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"21,400,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,750,Belanja makan^ snack dan minuman rapat100 Dos x 7.500^00 = 750.000^00
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"20,650,000","Belanja makan^ snack dan minuman
Belanja snack^ makan dan minuman pelaksanaan kegiatan pelatihan kader yandu lansia 45 Dos x 25.000^00 = 1.125.000^00
Belanja snack dan minuman pelaksanaan kegiatan bakti sosial100 Dos x 7.500^00 = 750.000^00
Belanja snack dan minuman pelaksanaan kegiatan senam massal750 Dos x 7.500^00 = 5.625.000^00
Belanja makan dan minuman pelaksanaan kegiatan senam massal 65 Dos x 17.500^00 = 1.137.500^00
Belanja makan^ snack dan minuman pelaksanaan kegiatan workshop 195 Dos x 25.000^00 = 4.875.000^00
Belanja snack dan minuman pelaksanaan kegiatan Halun800 Dos x 7.500^00 = 6.000.000^00
Belanja makan dan minuman pelaksanaan kegiatan Halun65 Dos x 17.500^00 = 1.137.500^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 14 ,Belanja Pakaian khusus dan hari-hari tertentu ,"4,000,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 14 . 04 ,Belanja Pakaian Olahraga ,"4,000,000","Belanja seragam panitia HALUN
Belanja kaos seragam panitia HALUN80 buah x 50.000^00 = 4.000.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"3,800,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,"3,800,000","Belanja perjalanan dinas luar daerah
Lumpsum Gol. III2 oh x 1.500.000^00 = 3.000.000^00
Transport pp Gol. III1 Kl x 800.000^00 = 800.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 23 ,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga ,"4,000,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 23 . 01 ,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat ,"4,000,000","Belanja barang yang akan diberikan kepada masyarakat
Belanja doorprize senam massal1 Ls x 4.000.000^00 = 4.000.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"9,525,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,"2,925,000","Honorarium Tenaga ahli/narasumber
Narasumber workshop9 Jpl x 225.000^00 = 2.025.000^00
Narasumber pelatihan kader Yandu Lansia4 Jpl x 225.000^00 = 900.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,"6,600,000","Honorarium harian
Uang saku peserta workshop180 Oh x 30.000^00 = 5.400.000^00
Uang saku peserta pelatihan kader yandu lansia40 Oh x 30.000^00 = 1.200.000^00"
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 38 ,Belanja Jasa Pentas/Pertunjukan ,"2,500,000",
1.13 . 1.13.01 . 16 . 25 . 5 . 2 . 2 . 38 . 01 ,Belanja Jasa Pentas/Pertunjukan ,"2,500,000",Belanja Tim Kesenian1 ls x 2.500.000^00 = 2.500.000^00
1.18 . 1.13.01 . 16 ,Program peningkatan peran serta kepemudaan ,"128,709,900",
1.18 . 1.13.01 . 16 . 11 ,Peningkatan Kapasitas Kepemudaan ,"128,709,900","Sumber Dana : Pendapatan Asli Daerah (P A D)
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Terlaksananya Pembinaan Karang Taruna^ Pemilihan Karang Taruna Berprestasi dan Bulan Bhakti Karang Taruna
Target:  15 kali"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 1 ,Belanja Pegawai ,"13,590,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"7,850,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"7,850,000","Pendapatan Asli Daerah (P A D)
Honorarium Panitia Pelaksana Kegiatan Lomba
Anggota2 ok x 130.000^00 = 260.000^00
Pengarah1 ok x 155.000^00 = 155.000^00
Ketua1 ok x 145.000^00 = 145.000^00
Sekretaris1 ok x 135.000^00 = 135.000^00
Honorarium Panitia Pembinaan Rutin KT
Sekretaris17 ok x 70.000^00 = 1.190.000^00
Anggota17 ok x 65.000^00 = 1.105.000^00
Pengarah17 ok x 80.000^00 = 1.360.000^00
Ketua17 0k x 75.000^00 = 1.275.000^00
Honorarium Panitia Pelaksana Kegiatan BBKT
Ketua1 ok x 140.000^00 = 140.000^00
Sekretaris1 ok x 130.000^00 = 130.000^00
Anggota15 ok x 120.000^00 = 1.800.000^00
Pengarah1 ok x 155.000^00 = 155.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,"5,740,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 1 . 02 . 06 ,Honorarium Petugas Pendamping Kegiatan ,"5,740,000","Pendapatan Asli Daerah (P A D)
Honor Penyelenggara Kegiatan BBKT
Petugas Doa2 ok x 100.000^00 = 200.000^00
Panitia Pelaksana BBKT32 ok x 120.000^00 = 3.840.000^00
Honor MC4 ok x 75.000^00 = 300.000^00
Petugas Kebersihan20 ok x 25.000^00 = 500.000^00
Petugas Keamanan30 ok x 30.000^00 = 900.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"115,119,900",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"3,000,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"3,000,000","Pendapatan Asli Daerah (P A D)
Belanja ATK
Belanja ATK Kegiatan Rutin1 LS x 2.000.000^00 = 2.000.000^00
Belanja ATK Kegiatan BBKT1 LS x 1.000.000^00 = 1.000.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"9,500,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,"4,500,000","Pendapatan Asli Daerah (P A D)
Belanja DekorasiDekorasi Lomba1 LS x 1.500.000^00 = 1.500.000^00
Dekorasi BBKT2 LS x 1.500.000^00 = 3.000.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 03 . 15 ,Belanja Publikasi ,"5,000,000","Pendapatan Asli Daerah (P A D)
Belanja PublikasiPembuatan spanduk keg lomba4 buah x 500.000^00 = 2.000.000^00
Pembuatan spanduk kegiatan BBKT6 buah x 500.000^00 = 3.000.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"2,769,900",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,750,"Pendapatan Asli Daerah (P A D)
Belanja cetak kegiatan BBKTCetak Kartu doorprize50 bendel x 15.000^00 = 750.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"2,019,900","Belanja penggandaan
Belanja penggandaan kegiatan BBKT4^166 lbr x 150^00 = 624.900^009^300 lbr x 150^00 = 1.395.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"1,500,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 07 . 02 ,Belanja Sewa Gedung/Kantor/Tempat ,"1,500,000","Pendapatan Asli Daerah (P A D)
Belanja sewa tempatBelanja sewa tempat kegiatan BBKT2 paket x 750.000^00 = 1.500.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"3,500,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 10 . 05 ,Belanja Sewa Tenda ,"2,000,000","Pendapatan Asli Daerah (P A D)
Belanja sewa tenda4 buah x 500.000^00 = 2.000.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 10 . 07 ,Belanja Sewa Sound System ,"1,500,000","Pendapatan Asli Daerah (P A D)
Belanja sewa sound systemSewa sound system2 paket x 750.000^00 = 1.500.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"39,585,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"1,360,000","Pendapatan Asli Daerah (P A D)
Belanja makan dan minum rapatSnack dan minum rapat kepemudaan80 ok x 8.500^00 = 680.000^00
Snack dan minum rapat BBKT80 ok x 8.500^00 = 680.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"38,225,000","Pendapatan Asli Daerah (P A D)
Belanja makan dan minum pelaksanaan kegiatan
Belanja makan dan minum pelaksanaan lomba175 ok x 20.000^00 = 3.500.000^00
Belanja makan dan minum kegiatan pembinaan510 ok x 20.000^00 = 10.200.000^00
Snack minum kegiatan BBKT650 dos x 8.500^00 = 5.525.000^00
Makan minum kegiatan BBKT650 dos x 20.000^00 = 13.000.000^00
Makan minum keg evaluasi provinsi /nasional300 dos x 20.000^00 = 6.000.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 14 ,Belanja Pakaian khusus dan hari-hari tertentu ,"7,500,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 14 . 03 ,Belanja Pakaian Batik Tradisional ,"7,500,000","Pendapatan Asli Daerah (P A D)
Belanja Pakaian Batik TradisionalSeragam Panitia BBKT50 buah x 150.000^00 = 7.500.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"24,140,000",
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,"12,240,000","Pendapatan Asli Daerah (P A D)
Belanja Perjalanan Dinas Dalam Daerah
Gol IV 28 ok x 50.000^00 = 1.400.000^00
Gol III 60 ok x 40.000^00 = 2.400.000^00
Gol II 108 ok x 30.000^00 = 3.240.000^00
Belanja Perjalanan Dinas Dalam Provinsi
Gol IV 20 ok x 70.000^00 = 1.400.000^00
Gol III 30 ok x 60.000^00 = 1.800.000^00
Gol II 40 ok x 50.000^00 = 2.000.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,"11,900,000","Pendapatan Asli Daerah (P A D)
Belanja Perjalanan Dinas Luar Daerah ( Luar Provinsi )
Transport Gol IV1 ok x 2.700.000^00 = 2.700.000^00
Lumpsum Gol IV 1x2 hari2 hari x 1.700.000^00 = 3.400.000^00
Transport Gol III1 ok x 2.700.000^00 = 2.700.000^00
Lumpsum Gol III 1 x 2 hari2 hari x 1.550.000^00 = 3.100.000^00"
1.18 . 1.13.01 . 16 . 11 . 5 . 2 . 2 . 23 ,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga ,"8,500,000",
