Judul,Penjabaran APBD,,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,40162500,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 08 ,Belanja Sewa Sarana Mobilitas ,5250000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 08 . 01 ,Belanja Sewa Sarana Mobilitas Darat ,5250000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,95800000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 10 . 01 ,Belanja Sewa Meja Kursi ,35075000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 10 . 05 ,Belanja Sewa Tenda ,60725000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,547334100,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,6120000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,541214100,Sisa 1 keg x 17.100 00 = 17.100 00
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,19520000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,19520000,
1.22 . 1.22.01 . 21 . 07 ,Pembinaan pengelolaan keuangan desa ,62502500,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 1 ,Belanja Pegawai ,19950000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 1 . 01 ,Honorarium PNS ,6460000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,6460000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,13058000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,13058000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 1 . 03 ,Uang Lembur ,432000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,432000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,42552500,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1444650,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1444650,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,5831850,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,652500,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,5179350,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,20516000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,486000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,2750000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,17280000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,8760000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,5160000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,3600000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,6000000,
1.22 . 1.22.01 . 21 . 07 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,6000000,
1.22 . 1.22.01 . 21 . 08 ,Pembinaan pengelolaan asset  desa ,33950150,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 1 ,Belanja Pegawai ,18135000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 1 . 01 ,Honorarium PNS ,13755000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,13755000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,3420000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,3420000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 1 . 03 ,Uang Lembur ,960000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,960000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,15815150,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1428600,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1428600,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1656550,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1656550,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,7030000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,1080000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,5950000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,4800000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,3600000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,1200000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,900000,
1.22 . 1.22.01 . 21 . 08 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,900000,
1.22 . 1.22.01 . 21 . 09 ,Pembinaan tata pemerintahan desa ,144339000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 1 ,Belanja Pegawai ,106190000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 1 . 01 ,Honorarium PNS ,100870000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,100870000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,3960000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,3960000,Transport peserta 132 orang x 30.000 00 = 3.960.000 00
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 1 . 03 ,Uang Lembur ,1360000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,1360000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,38149000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,2834450,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,2834450,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,2409750,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,2409750,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,21530000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,1530000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,15875000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,4125000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,10024800,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,2720000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,7304800,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,1350000,
1.22 . 1.22.01 . 21 . 09 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,1350000,
1.22 . 1.22.01 . 21 . 11 ,Penyusunan dan sosialisasi produk hukum tentang desa ,88849625,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 1 ,Belanja Pegawai ,5760000,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 1 . 03 ,Uang Lembur ,5760000,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,5760000,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,83089625,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,3967850,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,3967850,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,30000000,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 03 . 36 ,Belanja Jasa Penyusunan Naskah Akademik ,30000000,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,9024575,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,9024575,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,25385000,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,4860000,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,15125000,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,5400000,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,13512200,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,13512200,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,1200000,
1.22 . 1.22.01 . 21 . 11 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,1200000,
1.22 . 1.22.01 . 21 . 15 ,Fasilitasi penggunaan tanah untuk kepentingan umum ,1289209250,Sumber Dana :  Lokasi Kegiatan : Desa-desa di Kabupaten Kulon Progo 
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 1 ,Belanja Pegawai ,17620000,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 1 . 01 ,Honorarium PNS ,16180000,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,16180000,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 1 . 03 ,Uang Lembur ,1440000,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,1440000,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,1271589250,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1711350,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1711350,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,2890650,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,2890650,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,1256067250,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 . 07 . 02 ,Belanja Sewa Gedung/Kantor/Tempat ,1256067250,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,9120000,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,1620000,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,7500000,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,1800000,
1.22 . 1.22.01 . 21 . 15 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,1800000,
1.22 . 1.22.01 . 21 . 19 ,Pembinaan peningkatan pendapatan desa ,40000000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 1 ,Belanja Pegawai ,17750000,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 1 . 01 ,Honorarium PNS ,15620000,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,15620000,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 1 . 03 ,Uang Lembur ,2130000,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,2130000,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,22250000,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1845625,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1845625,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,3553375,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,3553375,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,10251000,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,2376000,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,7875000,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,6600000,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,4200000,
1.22 . 1.22.01 . 21 . 19 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,2400000,
1.12 . 1.22.01 . 25 ,Program Keluarga Sejahtera ,175879900,
1.12 . 1.22.01 . 25 . 02 ,Pendataan Keluarga Sejahtera ,21720000,Sumber Dana :  Lokasi Kegiatan : Lingkungan Kabupaten Kulon Progo 
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,5330000,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 1 . 01 ,Honorarium PNS ,3130000,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,3130000,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,2200000,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,2200000,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,16390000,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1327750,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1327750,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,936750,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,936750,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,7375000,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,7375000,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,6750500,
1.12 . 1.22.01 . 25 . 02 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,6750500,
1.12 . 1.22.01 . 25 . 03 ,Pembinaan Kelompok UPPKS ,45500000,Sumber Dana :  Lokasi Kegiatan : Lingkup Kabupaten
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 1 ,Belanja Pegawai ,7966000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 1 . 01 ,Honorarium PNS ,1330000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,1330000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,6380000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,6380000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 1 . 03 ,Uang Lembur ,256000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,256000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,37534000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1095150,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1095150,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,745725,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 02 . 01 ,Belanja Bahan Baku Bangunan ,745725,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,1050000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,450000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,300000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 03 . 15 ,Belanja Publikasi ,300000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1705125,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1705125,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,855000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 10 . 08 ,Belanja Sewa Panggung ,405000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 10 . 09 ,Belanja Sewa Perlengkapan dan Peralatan Kantor Lain ,450000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,13163000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,2538000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,8125000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,2500000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,13550000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,420000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,13130000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,1900000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,1900000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 28 ,Belanja Hadiah atas Prestasi dan Penghargaan ,3470000,
1.12 . 1.22.01 . 25 . 03 . 5 . 2 . 2 . 28 . 01 ,Belanja Hadiah Atas Prestasi ,3470000,
1.12 . 1.22.01 . 25 . 12 ,Pembinaan Kelompok Bina Keluarga Sejahtera (BKS) ,88659900,Sumber Dana :  Lokasi Kegiatan : Lingkup Kabupaten Kulon Progo 
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 1 ,Belanja Pegawai ,16816000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 1 . 01 ,Honorarium PNS ,1480000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,1480000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,14760000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,14760000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 1 . 03 ,Uang Lembur ,576000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,576000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,71843900,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,2308750,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,2308750,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,1950000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,300000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,1650000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1692150,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1692150,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,22938000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,648000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,15790000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,6500000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,6005000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,555000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,5450000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,7500000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,7500000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 28 ,Belanja Hadiah atas Prestasi dan Penghargaan ,29450000,
1.12 . 1.22.01 . 25 . 12 . 5 . 2 . 2 . 28 . 01 ,Belanja Hadiah Atas Prestasi ,29450000,
1.12 . 1.22.01 . 25 . 13 ,Peningkatan pemberdayaan ekonomi keluarga ,20000000,Sumber Dana :  Lokasi Kegiatan : Kabupaten
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 1 ,Belanja Pegawai ,5020000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 1 . 01 ,Honorarium PNS ,2980000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,2980000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,2040000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,2040000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,14980000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1613950,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1613950,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,300000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,150000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,150000,
1.12 . 1.22.01 . 25 . 13 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,2676050,
