Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,,,,,,,,,,,
Daerah,Kabupaten Bantul,,,,,,,,,,,,,,,
Tahun,2014,,,,,,,,,,,,,,,
Kode Organisasi,1.11.01,,,,,,,,,,,,,,,
Organisasi,Badan Kesejahteraan Keluarga Pemberdayaan Perempuan dan Keluarga Berencana,,,,,,,,,,,,,,,
Kolom,7,,,,,,,,,,,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan,,,,,,,,,,
1.12 . 1.11.01 . 16.01 . 5.2.2.17.03 ,Belanja Bimbingan Teknis ,3750000.00,7500000.00,3750000.00,100,"Belanja sosialisasi
Makan minum snack300 org x 25.000,00 = 7.500.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.01 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,6500000.00,13000000.00,6500000.00,100,,,,,,,,,,,
1.12 . 1.11.01 . 16.01 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,2000000.00,4000000.00,2000000.00,100,"Honorarium Narasumber
Honor Narasumber16 ok x 250.000,00 = 4.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.01 . 5.2.2.34.05 ,Honor Peserta Seminar/Simposium /Workshop/Sosialisasi,4500000.00,9000000.00,4500000.00,100,"Honorarium Peserta Sosialisasi KRR
Honor Peserta300 org x 30.000,00 = 9.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.03 ,Refreshing Pengurus PIK Remaja ,11240000.00,11240000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.1 ,Belanja Pegawai ,550000.00,550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.1.01 ,Honorarium PNS ,550000.00,550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,550000.00,550000.00,0.00,0,"Honorarium Panitia Pelaksana Kegiatan
Ketua1 Org x 150.000,00 = 150.000,00
Anggota4 Org x 100.000,00 = 400.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.2 ,Belanja Barang dan Jasa ,10690000.00,10690000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,690000.00,690000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,690000.00,690000.00,0.00,0,"Belanja ATK
Belanja Alat Tulis Kantor1 Paket x 690.000,00 = 690.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,900000.00,900000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,900000.00,900000.00,0.00,0,"Belanja Penggandaan
Fotocopy Materi120 Paket x 7.500,00 = 900.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,3500000.00,3500000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,3500000.00,3500000.00,0.00,0,"Belanja Makanan dan Minuman
Makanan dan Minuman pelaksanaan kegiatan140 Org x 25.000,00 = 3.500.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,5600000.00,5600000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,2000000.00,2000000.00,0.00,0,"Honorarium Non PNS
Honor Narasumber ( 4 org x 2 keg)8 org x 250.000,00 = 2.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.03 . 5.2.2.34.05 ,Honor Peserta Seminar/Simposium /Workshop/Sosialisasi,3600000.00,3600000.00,0.00,0,"Honorarium Harian
Transport Peserta (60 org x 2 keg)120 org x 30.000,00 = 3.600.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.04 ,KIE Kesehatan Reproduksi bagi Siswa ,14150000.00,54612500.00,40462500.00,285.95,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.1 ,Belanja Pegawai ,750000.00,750000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.1.01 ,Honorarium PNS ,750000.00,750000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,750000.00,750000.00,0.00,0,"Honorarium Panitia Pelaksana Kegiatan
Ketua1 Org x 200.000,00 = 200.000,00
Sekretaris1 org x 150.000,00 = 150.000,00
Anggota4 org x 100.000,00 = 400.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.2 ,Belanja Barang dan Jasa ,13400000.00,53862500.00,40462500.00,301.96,,,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,1150000.00,1237500.00,875.00,7.61,,,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,1150000.00,1237500.00,875.00,7.61,"Belanja ATK1 Paket x 1.237.500,00 = 1.237.500,00",,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,750000.00,3300000.00,2550000.00,340,,,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,750000.00,3300000.00,2550000.00,340,"Belanja Penggandaan
Penggandaan materi1,100 Paket x 3.000,00 = 3.300.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,2250000.00,8625000.00,6375000.00,283.33,,,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,2250000.00,8625000.00,6375000.00,283.33,"Belanja Makanan dan Minuman
Makanan dan Minuman1,150 Org x 7.500,00 = 8.625.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,9250000.00,40700000.00,31450000.00,340,,,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,3000000.00,13200000.00,10200000.00,340,"Honorarium Non PNSPenyaji Materi66 org x 200.000,00 = 13.200.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.04 . 5.2.2.34.05 ,Honor Peserta Seminar/Simposium /Workshop/Sosialisasi,6250000.00,27500000.00,21250000.00,340,"Honorarium Harian
Transport Peserta1,100 org x 25.000,00 = 27.500.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.05 ,Fasilitasi Forum PIK Remaja ,15000000.00,15000000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.1 ,Belanja Pegawai ,550000.00,550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.1.01 ,Honorarium PNS ,550000.00,550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,550000.00,550000.00,0.00,0,"Honorarium Panitia Pelaksana Kegiatan
Ketua1 org x 150.000,00 = 150.000,00
Anggota4 org x 100.000,00 = 400.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.2 ,Belanja Barang dan Jasa ,14450000.00,14450000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,530000.00,530000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,530000.00,530000.00,0.00,0,"Belanja ATK1 pkt x 530.000,00 = 530.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,720000.00,720000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,720000.00,720000.00,0.00,0,"Belanja Penggandaan
Foto copy materi240 pkt x 3.000,00 = 720.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,4800000.00,4800000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,4800000.00,4800000.00,0.00,0,"Belanja Makan Minum Pelaksana Kegiatan
Belanja makan Minum240 org x 20.000,00 = 4.800.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,8400000.00,8400000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,2400000.00,2400000.00,0.00,0,"Honorarium Narasumber
Penyaji Materi ( 2 org x 6 keg )12 org x 200.000,00 = 2.400.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.05 . 5.2.2.34.05 ,Honor Peserta Seminar/Simposium /Workshop/Sosialisasi,6000000.00,6000000.00,0.00,0,"Honorarium Harian
Transport Peserta (40 Org x 6 keg)240 org x 25.000,00 = 6.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.06 ,Lomba Forum PIK Remaja ,10000000.00,10000000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.1 ,Belanja Pegawai ,610000.00,610000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.1.01 ,Honorarium PNS ,610000.00,610000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,610000.00,610000.00,0.00,0,"Honorarium Panitia Pelaksana Kegiatan
Ketua Tim1 org x 150.000,00 = 150.000,00
Sekretaris1 org x 100.000,00 = 100.000,00
Anggota4 org x 90.000,00 = 360.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2 ,Belanja Barang dan Jasa ,9390000.00,9390000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,265000.00,265000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,265000.00,265000.00,0.00,0,"Belanja Penggandaan
Fotocopy1 pkt x 265.000,00 = 265.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,1400000.00,1400000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,150000.00,150000.00,0.00,0,"Belanja makanan dan minuman rapat
makanan dan minuman20 org x 7.500,00 = 150.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,1250000.00,1250000.00,0.00,0,"Belanja makan minum pelaksana kegiatan
Makan minum pelaksana kegiatan50 org x 25.000,00 = 1.250.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2.15 ,Belanja Perjalanan Dinas ,775000.00,775000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,775000.00,775000.00,0.00,0,"Belanja perjalanan dinas
Gol IV6 org x 50.000,00 = 300.000,00
Gol III10 org x 40.000,00 = 400.000,00
Gol II3 org x 25.000,00 = 75.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2.23 ,Belanja Barang yang akan diserahkan kepada Masyarakat/ Pihak ketiga,6000000.00,6000000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2.23.01 ,Belanja Barang yang akan diserahkan kepada Masyarakat,6000000.00,6000000.00,0.00,0,"Belanja Pembelian Hadiah
Pembelian Hadiah Juara I0 klp x 2.500.000,00 = 0,00
Pembelian Hadiah Juara II0 klp x 2.000.000,00 = 0,00
Pembelian hadiah Juara III0 klp x 1.500.000,00 = 0,00
Pemberian Hadiah Juara I1 klp x 2.500.000,00 = 2.500.000,00
Pemberian Hadiah Juara II1 klp x 2.000.000,00 = 2.000.000,00
Pemberian Hadiah Juara III1 klp x 1.500.000,00 = 1.500.000,00",,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,950000.00,950000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 16.06 . 5.2.2.34.02 ,Honorarium Yuri Perlombaan ,950000.00,950000.00,0.00,0,"Honorarium Tim Yuri
Ketua1 org x 200.000,00 = 200.000,00
Anggota5 org x 150.000,00 = 750.000,00",,,,,,,,,,
1.13 . 1.11.01 . 16 ,Program Pelayanan dan Rehabilitasi Kesejahteraan Sosial,68758700.00,68758700.00,0.00,0,,,,,,,,,,,
1.13 . 1.11.01 . 16.14 ,Pendampingan program layanan bagi keluarga miskin dan PMKS ,68758700.00,68758700.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.1 ,Belanja Pegawai ,33150000.00,33150000.00,0.00,0,,,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.1.01 ,Honorarium PNS ,30000000.00,30000000.00,0.00,0,,,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,30000000.00,30000000.00,0.00,0,"honor identifikasi sasaran jamkesda
honorarium identifikasi sasaran jamkesda75 desa x 250.000,00 = 18.750.000,00
Honorarium pengolahan data kepesertaan tingkat kabupaten (5 orang x 30 hari)150 oh x 75.000,00 = 11.250.000,00",,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.1.03 ,Uang Lembur ,3150000.00,3150000.00,0.00,0,,,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.1.03.01 ,Uang Lembur PNS ,3150000.00,3150000.00,0.00,0,"Uang Lembur PNS210 hari x 15.000,00 = 3.150.000,00",,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2 ,Belanja Barang dan Jasa ,35608700.00,35608700.00,0.00,0,,,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,5078700.00,5078700.00,0.00,0,,,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,5078700.00,5078700.00,0.00,0,"alat tulis kantorHVS 70 gr folio43 rim x 37.600,00 = 1.616.800,00
tinta infus printer10 set x 120.000,00 = 1.200.000,00CD R100 biji x 4.000,00 = 400.000,00
hard disk eksternal1 buah x 661.900,00 = 661.900,00
catride printer2 buah x 300.000,00 = 600.000,00
RAM komputer3 buah x 200.000,00 = 600.000,00",,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,1500000.00,1500000.00,0.00,0,,,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,1500000.00,1500000.00,0.00,0,"foto copy update kepesertaan
foto copy form data update kepesertaan10,000 lembar x 150,00 = 1.500.000,00",,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,19275000.00,19275000.00,0.00,0,,,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,19275000.00,19275000.00,0.00,0,"rapat sosialisasi tingkat kabupatensosialisasi tingkat kabupaten50 orang x 17.500,00 = 875.000,00
snack dan minum rapat tim tingkat kabupaten (2x50 orang)100 orang x 7.500,00 = 750.000,00
makan rapat (2x50 orang)100 orang x 10.000,00 = 1.000.000,00
rapat evaluasi tingkat desarapat evaluasi (20 x 75 desa x 1 keg)1,500 orang x 7.500,00 = 11.250.000,00
rapat evaluasi tingkat kecamatanrapat evaluasi (15 orang x 17 kec x 2 keg )510 orang x 7.500,00 = 3.825.000,00
rapat evaluasi tingkat kabupatenrapat evaluasi ( 30 orang x 3 keg )90 orang x 17.500,00 = 1.575.000,00",,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.15 ,Belanja Perjalanan Dinas ,3050000.00,3050000.00,0.00,0,,,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,3050000.00,3050000.00,0.00,0,"dalam provinsi
gol IV untuk 3 orang selama 5 hari15 orang x 70.000,00 = 1.050.000,00
gol III untuk 3 orang selama 5 hari15 orang x 60.000,00 = 900.000,00
dalam kabupaten ke kecamatan / desa
gol IV10 orang x 50.000,00 = 500.000,00
gol III15 orang x 40.000,00 = 600.000,00",,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.20 ,Belanja Pemeliharaan ,2205000.00,2205000.00,0.00,0,,,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.20.11 ,Belanja pemeliharaan jaringan komputer ,2205000.00,2205000.00,0.00,0,"Belanja pemeliharaan data
pemeliharaan data1 paket x 2.205.000,00 = 2.205.000,00",,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,4500000.00,4500000.00,0.00,0,,,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,750000.00,750000.00,0.00,0,"Honorarium Narasumber
Narasumber Sosialisasi Jamkesda3 jpl x 250.000,00 = 750.000,00",,,,,,,,,,
1.13 . 1.11.01 . 16.14 . 5.2.2.34.05 ,Honor Peserta Seminar/Simposium /Workshop/Sosialisasi,3750000.00,3750000.00,0.00,0,"Honorarium Peserta Sosialisasi dan Pembekalan Jamkesos
Honorarium Peserta Sosialisasi dan Pembekalan Jamkesda50 org x 75.000,00 = 3.750.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17 ,Program Peningkatan Kualitas Hidup dan Perlindungan Perempuan & Anak,128670000.00,128670000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.01 ,Pelaksanaan Kebijakan Perlindungan Perempuan Di Daerah ,35000000.00,35000000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.1 ,Belanja Pegawai ,8230000.00,8230000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.1.01 ,Honorarium PNS ,8230000.00,8230000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,8230000.00,8230000.00,0.00,0,"Honor Panitia pelaksana kegiatan GT TPPO
Ketua umum 2 x2 or x 150.000,00 = 300.000,00
Ketua harian 2x2 or x 140.000,00 = 280.000,00
Sekretaris 2x2 or x 125.000,00 = 250.000,00
Anggota 2x74 or x 100.000,00 = 7.400.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2 ,Belanja Barang dan Jasa ,26770000.00,26770000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,350000.00,350000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,260000.00,260000.00,0.00,0,"Belanja ATK
ATK kegiatan1 pkt x 260.000,00 = 260.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya ",90000.00,90000.00,0.00,0,"Belanja perangko, materai dan benda pos
belanja materai 5 x 300010 bh x 3.000,00 = 30.000,00
Belanja materai 5 x 600010 bh x 6.000,00 = 60.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2.03 ,Belanja Jasa Kantor ,10000000.00,10000000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2.03.12 ,Belanja Transportasi dan Akomodasi ,10000000.00,10000000.00,0.00,0,"Kunjungan kerjakunjungan kerja FPK2PA25 or x 400.000,00 = 10.000.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,1500000.00,1500000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2.06.01 ,Belanja Cetak ,1500000.00,1500000.00,0.00,0,"Cetak leaflet1,000 lbr x 1.500,00 = 1.500.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,10320000.00,10320000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,10320000.00,10320000.00,0.00,0,"Belanja makan minum rapat koordinasi FPK2PA
snak dan minum 6 x 40 or x 6000240 or x 6.500,00 = 1.560.000,00
makan 6 x 40 or x 15000240 or x 15.000,00 = 3.600.000,00
Belanja makan minum rapat koordinasi GT TPPOsnak dan minum 6 x 40 or x 6000240 or x 6.500,00 = 1.560.000,00
makan 6 x 40 or x 15000240 or x 15.000,00 = 3.600.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2.15 ,Belanja Perjalanan Dinas ,4600000.00,4600000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.01 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,4600000.00,4600000.00,0.00,0,"Perjalanan dinas luar propinsi2 x Rp. 2.300.0002 ls x 2.300.000,00 = 4.600.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.06 ,Sosialisasi Sistem Pencatatan dan Pelaporan KDRT ,15000000.00,15000000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.1 ,Belanja Pegawai ,450000.00,450000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.1.01 ,Honorarium PNS ,450000.00,450000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,450000.00,450000.00,0.00,0,"Honorarium panitia pelaksana kegiatan
Ketua Tim 1 org1 or x 90.000,00 = 90.000,00
Sekretaris Tim 1 org1 or x 80.000,00 = 80.000,00
Anggota 4 org4 or x 70.000,00 = 280.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2 ,Belanja Barang dan Jasa ,14550000.00,14550000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,445000.00,445000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,400000.00,400000.00,0.00,0,"Belanja ATK1 pkt x 400.000,00 = 400.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.01.04 ,"Belanja Perangko, Materai Dan Benda Pos Lainnya ",45000.00,45000.00,0.00,0,"Belanja Materai
Belanja Materai (5xRp3000)5 bh x 3.000,00 = 15.000,00
Belanja Materai 5 x 60005 bh x 6.000,00 = 30.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,3145000.00,3145000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.06.01 ,Belanja Cetak ,3000000.00,3000000.00,0.00,0,"Belanja Cetak formulir laporan
Cetak formulir laporan bulanan tk desa2,000 lb x 1.000,00 = 2.000.000,00
Cetak laporan formulir bulanan tk kecamatan500 lb x 1.000,00 = 500.000,00
Cetak formulir laporan komplikasi500 lb x 1.000,00 = 500.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,145000.00,145000.00,0.00,0,"foto copy1 pkt x 145.000,00 = 145.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,3300000.00,3300000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,3300000.00,3300000.00,0.00,0,"Belanja makanan dan minuman rapat
Belanja snak dan minum 60 or x 2hr x10000120 0r x 10.000,00 = 1.200.000,00
Belanja makan rapat 60 x 2 hr x17500120 or x 17.500,00 = 2.100.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.15 ,Belanja Perjalanan Dinas ,960000.00,960000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,960000.00,960000.00,0.00,0,"Belanja perjalanan dinas kabupaten/kota di DIY
Golongan IV 3 x 2 x 700006 or x 70.000,00 = 420.000,00
Golongan III 3 x 3 or x 600009 or x 60.000,00 = 540.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,6700000.00,6700000.00,0.00,0,,,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,4200000.00,4200000.00,0.00,0,"Honorarium Nara Sumber
Honor Nara Sumber Sosialisasi Sistem Pencatatan dan Pelaporan KDRT14 jpl x 250.000,00 = 3.500.000,00
Honor Moderator Kegiatan Peningkatan Kapasitas dan Jaringan Kelembagaan Perlindungan Perempuan dan Anak14 jpl x 50.000,00 = 700.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.06 . 5.2.2.34.06 ,Honorarium Tenaga Harian Lepas ,2500000.00,2500000.00,0.00,0,"Honorarium Tenaga Harian
Honorarium Peserta Bimbingan100 or x 25.000,00 = 2.500.000,00",,,,,,,,,,
1.11 . 1.11.01 . 17.08 ,Fasilitasi Upaya Perlindungan Perempuan Terhadap Tindak Kekerasan ,78670000.00,78670000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
