Judul,"Ringkasan Anggaran Pendapatan dan Belanja Daerah Berdasarkan Rincian Obyek Pendapatan, Belanja, dan Pembiayaan",,
5 . 2 . 3 . 36 . 12,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium Umum,18750000.00,
5 . 2 . 3 . 36 . 14,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium Kedokteran,113500000.00,
5 . 2 . 3 . 36 . 18,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium Patologi,2310350000.00,
5 . 2 . 3 . 36 . 20,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium Hematologi,73000000.00,
5 . 2 . 3 . 36 . 46,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium Pertanian,7500000.00,
5 . 2 . 3 . 36 . 60,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium Kesehatan Kerja,2500000.00,
5 . 2 . 3 . 36 . 63,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium,900000.00,
5 . 2 . 3 . 37,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Peraga/Praktek Sekolah,5365205000.00,
5 . 2 . 3 . 37 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Bidang Studi : Bahasa Indonesia,770800000.00,
5 . 2 . 3 . 37 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Bidang Studi : Matematika,413190000.00,
5 . 2 . 3 . 37 . 03,Belanja Modal Peralatan dan Mesin - Pengadaan Bidang Studi : IPA Dasar,398950000.00,
5 . 2 . 3 . 37 . 07,Belanja Modal Peralatan dan Mesin - Pengadaan Bidang Studi : IPS,288350000.00,
5 . 2 . 3 . 37 . 08,Belanja Modal Peralatan dan Mesin - Pengadaan Bidang Studi : Agama Islam,483450000.00,
5 . 2 . 3 . 37 . 11,Belanja Modal Peralatan dan Mesin - Pengadaan Bidang Studi : Olah Raga,757290000.00,
5 . 2 . 3 . 37 . 13,Belanja Modal Peralatan dan Mesin - Pengadaan Bidang Pendidikan/Ketrampilan Lain-lain,2253175000.00,
5 . 2 . 3 . 42,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium Lingkungan Hidup,5000000.00,
5 . 2 . 3 . 42 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium Penunjang,5000000.00,
5 . 2 . 3 . 48,Belanja Modal Peralatan dan Mesin -Pengadaan Alat Keamanan dan Perlindungan,93175000.00,
5 . 2 . 3 . 48 . 01,Belanja Modal Peralatan dan Mesin -Pengadaan Alat Bantu Kemanan,73075000.00,
5 . 2 . 3 . 48 . 02,Belanja Modal Peralatan dan Mesin -Pengadaan Alat Perlindungan,20100000.00,
5 . 2 . 3 . 49,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Kerja,62393981260.00,
5 . 2 . 3 . 49 . 01,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Kantor,11563897830.00,
5 . 2 . 3 . 49 . 02,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gudang,961779400.00,
5 . 2 . 3 . 49 . 05,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Laboratorium,46850000.00,
5 . 2 . 3 . 49 . 06,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Kesehatan,10753495150.00,
5 . 2 . 3 . 49 . 08,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Ibadah,329705000.00,
5 . 2 . 3 . 49 . 09,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Pertemuan,184898500.00,
5 . 2 . 3 . 49 . 10,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Pendidikan,19701648000.00,
5 . 2 . 3 . 49 . 11,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Olah Raga,1690000000.00,
5 . 2 . 3 . 49 . 12,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Pertokoan/Koperasi/Pasar,15205712000.00,
5 . 2 . 3 . 49 . 13,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Untuk Pos Jaga,204270000.00,
5 . 2 . 3 . 49 . 14,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Garasi/Pool,186000000.00,
5 . 2 . 3 . 49 . 15,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Pemotongan Hewan,122580380.00,
5 . 2 . 3 . 49 . 18,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Kandang Hewan/Ternak,232195000.00,
5 . 2 . 3 . 49 . 19,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Perpustakaan,1210950000.00,
5 . 2 . 3 . 51,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Menara,201350000.00,
5 . 2 . 3 . 51 . 01,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Menara Perambuan Penerang Pantai,201350000.00,
5 . 2 . 3 . 52,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Bersejarah,1209400000.00,
5 . 2 . 3 . 52 . 02,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Rumah Adat,209400000.00,
5 . 2 . 3 . 52 . 04,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Makam Sejarah,1000000000.00,
5 . 2 . 3 . 56,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Tugu Titik Kontrol/Pasti,53890000.00,
5 . 2 . 3 . 56 . 01,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Tugu/Tanda Batas,53890000.00,
5 . 2 . 3 . 57,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Rambu-Rambu,1510997050.00,
5 . 2 . 3 . 57 . 01,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Rambu Bersuar Lalu Lintas Darat,555775000.00,
5 . 2 . 3 . 57 . 02,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Rambu Tidak Bersuar,955222050.00,
5 . 2 . 3 . 59,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Jalan",102091387500.00,
5 . 2 . 3 . 59 . 03,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Jalan Kabupaten/Kota",36761905000.00,
5 . 2 . 3 . 59 . 04,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Jalan Desa",65329482500.00,
5 . 2 . 3 . 60,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Jembatan",3298600000.00,
5 . 2 . 3 . 60 . 09,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Jembatan Penyeberangan",3298600000.00,
5 . 2 . 3 . 61,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Bangunan Air Irigasi",29815741800.00,
5 . 2 . 3 . 61 . 01,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Bangunan Waduk Irigasi",452920000.00,
5 . 2 . 3 . 61 . 03,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Bangunan Pembawa Irigasi",14217531800.00,
5 . 2 . 3 . 61 . 04,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Bangunan Pembuang Irigasi",11621639000.00,
5 . 2 . 3 . 61 . 05,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Bangunan Pengaman Irigasi",3268941000.00,
5 . 2 . 3 . 61 . 06,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Bangunan Pelengkap Irigasi",254710000.00,
5 . 2 . 3 . 66,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Bangunan Air Bersih/Baku",24000000.00,
5 . 2 . 3 . 66 . 05,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Bangunan Pelengkap Air Bersih/Air Baku",24000000.00,
5 . 2 . 3 . 68,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Bangunan Air",2236415750.00,
5 . 2 . 3 . 68 . 02,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Bangunan Air Tawar",2236415750.00,
5 . 2 . 3 . 69,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Instalasi Air Minum/Air Bersih",2271252750.00,
5 . 2 . 3 . 69 . 01,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Air Muka Tanah",994977750.00,
5 . 2 . 3 . 69 . 02,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Air Sumber /Mata Air",5000000.00,
5 . 2 . 3 . 69 . 03,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Air Tanah Dalam",611275000.00,
5 . 2 . 3 . 69 . 04,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Air Tanah Dangkal",660000000.00,
5 . 2 . 3 . 70,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Instalasi Air Kotor",4265745000.00,
5 . 2 . 3 . 70 . 01,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Instalasi Air Kotor",4265745000.00,
5 . 2 . 3 . 73,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Instalasi Pembangkit Listrik",6500000.00,
5 . 2 . 3 . 73 . 02,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Pembangkit Listrik Tenaga Diesel",6500000.00,
5 . 2 . 3 . 78,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Jaringan Air Minum",4684259000.00,
5 . 2 . 3 . 78 . 02,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Jaringan Induk Distribusi",4684259000.00,
5 . 2 . 3 . 79,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Jaringan Listrik",3511400000.00,
5 . 2 . 3 . 79 . 02,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Jaringan Distribusi",3511400000.00,
5 . 2 . 3 . 80,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Jaringan Telepon",83500000.00,
5 . 2 . 3 . 80 . 01,"Belanja Modal Jalan, Irigasi dan Jaringan - Pengadaan Jaringan Telepon Di atas Tanah",83500000.00,
5 . 2 . 3 . 82,Belanja Modal Aset Tetap Lainnya - Pengadaan Buku,638995500.00,
5 . 2 . 3 . 82 . 01,Belanja Modal Aset Tetap Lainnya - Pengadaan Buku Ilmu Pengetahuan Umum,582695500.00,
5 . 2 . 3 . 82 . 03,Belanja Modal Aset Tetap Lainnya - Pengadaan Buku Keagamaan,9600000.00,
5 . 2 . 3 . 82 . 04,Belanja Modal Aset Tetap Lainnya - Pengadaan Buku Ilmu Sosial,700000.00,
5 . 2 . 3 . 82 . 07,Belanja Modal Aset Tetap Lainnya - Pengadaan Buku Ilmu Pengetahuan Praktis,2000000.00,
5 . 2 . 3 . 82 . 08,"Belanja Modal Aset Tetap Lainnya - Pengadaan Buku Arsitektur,  Kesenian, Olah raga",44000000.00,
5 . 2 . 3 . 83,Belanja Modal Aset Tetap Lainnya - Pengadaan Terbitan,2600000.00,
5 . 2 . 3 . 83 . 01,Belanja Modal Aset Tetap Lainnya - Pengadaan Terbitan Berkala,2600000.00,
5 . 2 . 3 . 85,Belanja Modal Aset Tetap Lainnya - Pengadaan Barang Bercorak Kebudayaan,331000000.00,
5 . 2 . 3 . 85 . 03,Belanja Modal Aset Tetap Lainnya - Pengadaan Barang Bercorak Kebudayaan Alat Kesenian,330000000.00,
5 . 2 . 3 . 85 . 06,Belanja Modal Aset Tetap Lainnya - Pengadaan Barang Bercorak Kebudayaan Maket dan Foto Dokumen,1000000.00,
5 . 2 . 3 . 86,Belanja Modal Aset Tetap Lainnya - Pengadaan Alat Olah Raga,46886000.00,
5 . 2 . 3 . 86 . 04,Belanja Modal Aset Tetap Lainnya - Pengadaan Alat Olah Raga,46886000.00,
5 . 2 . 3 . 87,Belanja Modal Aset Tetap Lainnya - Pengadaan Hewan,18450000.00,
5 . 2 . 3 . 87 . 04,Belanja Modal Aset Tetap Lainnya - Pengadaan Binatang Ikan,18450000.00,
5 . 2 . 3 . 88,Belanja Modal Aset Tetap Lainnya - Pengadaan Tanaman,1164420000.00,
5 . 2 . 3 . 88 . 02,Belanja Modal Aset Tetap Lainnya - Pengadaan Tanaman Holtikultura,20000000.00,
5 . 2 . 3 . 88 . 04,Belanja Modal Aset Tetap Lainnya - Pengadaan Tanaman Hias,1144420000.00,
5 . 2 . 3 . 89,Belanja Modal Aset Tetap Lainnya - Pengadaan Aset Tetap Renovasi,123000000.00,
5 . 2 . 3 . 89 . 01,Belanja Modal Aset Tetap Lainnya - Pengadaan Aset Tetap Renovasi,123000000.00,
5 . 2 . 3 . 90,Belanja Modal BLUD,26880435000.00,
5 . 2 . 3 . 90 . 02,Belanja Modal BLUD - Peralatan Mesin,18951435000.00,
5 . 2 . 3 . 90 . 03,Belanja Modal BLUD - Gedung dan Bangunan,7729000000.00,
5 . 2 . 3 . 90 . 04,"Belanja Modal BLUD - Jalan, Jaringan dan Instalasi",200000000.00,
,SURPLUS / (DEFISIT),-122022260957.00,
6,PEMBIAYAAN DAERAH,122022260957.00,
6 . 1,PENERIMAAN PEMBIAYAAN DAERAH,148713260957.00,
6 . 1 . 1,Sisa Lebih Perhitungan Anggaran Tahun Anggaran Sebelumnya,138522260957.00,
6 . 1 . 1 . 07,Sisa Lebih Perhitungan Anggaran Tahun Anggaran Sebelumnya,138522260957.00,
6 . 1 . 1 . 07 . 01,Sisa Lebih Perhitungan Anggaran Tahun Anggaran Sebelumnya,138522260957.00,
6 . 1 . 7,Penerimaan Kembali Investasi Dana Bergulir,10191000000.00,
6 . 1 . 7 . 01,Penerimaan Kembali Investasi Dana Bergulir,10191000000.00,
6 . 1 . 7 . 01 . 01,Penerimaan Kembali Investasi Dana Bergulir,10191000000.00,
6 . 2,PENGELUARAN PEMBIAYAAN DAERAH,26691000000.00,
6 . 2 . 2,Penyertaan Modal (Investasi) Pemerintah Daerah,16500000000.00,
6 . 2 . 2 . 02,Badan Usaha Milik Daerah (BUMD),16500000000.00,
6 . 2 . 2 . 02 . 01,Penyertaan Modal pada Bank,16500000000.00,
6 . 2 . 5,Dana Bergulir,10191000000.00,
6 . 2 . 5 . 01,Dana Bergulir,10191000000.00,
6 . 2 . 5 . 01 . 01,Dana Bergulir,10191000000.00,
,PEMBIAYAAN NETTO,122022260957.00,
