JUDUL,ANGGARAN PENDAPATAN DAN BELANJA DAERAH,,
DAERAH,KOTA YOGYAKARTA,,
TAHUN,2016,,
KODE ORGANISASI,1.13.01,,
NAMA ORGANISASI,DINAS SOSIAL, TENAGA KERJA DAN TRANSMIGRASI,,
KOLOM,4,,
,,,
KODE REKENING , URAIAN  ,ANGGARAN,KETERANGAN
,,,
1.13.1.13.01.000.000.4 ,PENDAPATAN DAERAH ,,
"1.13.1.13.01.000.000.5 ,BELANJA DAERAH ,"" 23,308,998,703 "","
"1.13.1.13.01.000.000.5.1 ,BELANJA TIDAK LANGSUNG ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1 ,BELANJA PEGAWAI ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1.01 ,Belanja Gaji Dan Tunjangan ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi (DAU) ,"" 5,079,904,126 "",Gaji Pokok PNS/Uang Representasi (DAU) 5079904126"
"1.13.1.13.01.000.000.5.1.1.01.02 ,Tunjangan Keluarga (DAU) ,"" 457,114,629 "",Tunjangan Keluarga (DAU) 457114629"
"1.13.1.13.01.062.008.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 35,250,000 "",Belanja Perjalanan Dinas Luar Daerah 35250000"
,,,
"1.13.1.13.01.062.008.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 22,200,000 "","
"1.13.1.13.01.062.008.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"" 5,900,000 "",Belanja Jasa Tenaga Ahli 5900000"
,,,
"1.13.1.13.01.062.008.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 1,800,000 "",Belanja Jasa Instruktur 1800000"
,,,
"1.13.1.13.01.062.008.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 12,800,000 "",Belanja Jasa Narasumber 12800000"
,,,
"1.13.1.13.01.062.008.5.2.2.31.04 ,Belanja Jasa Moderator ,"" 1,700,000 "",Belanja Jasa Moderator 1700000"
,,,
"1.13.1.13.01.062.009 ,Penyaluran Bantuan Sosial ,"" 711,387,050 "","
"1.13.1.13.01.062.009.5.2.1 ,BELANJA PEGAWAI ,"" 147,775,000 "","
"1.13.1.13.01.062.009.5.2.1.01 ,Honorarium PNS ,"" 89,025,000 "","
"1.13.1.13.01.062.009.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 89,025,000 "",Honorarium Panitia Pelaksana Kegiatan 89025000"
,,,
"1.13.1.13.01.062.009.5.2.1.02 ,Honorarium Non PNS ,"" 4,000,000 "","
"1.13.1.13.01.062.009.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 2,000,000 "",Honorarium Panitia Pelaksana Kegiatan 2000000"
,,,
"1.13.1.13.01.062.009.5.2.1.02.03 ,Honorarium Pelaksana Kegiatan ,"" 2,000,000 "",Honorarium Pelaksana Kegiatan 2000000"
,,,
"1.13.1.13.01.062.009.5.2.1.06 ,Uang Piket ,"" 54,750,000 "","
"1.13.1.13.01.062.009.5.2.1.06.02 ,Uang Piket Non PNS ,""54,750,000"",Uang Piket Non PNS 54750000"
,,,
"1.13.1.13.01.062.009.5.2.2 ,BELANJA BARANG DAN JASA ,""563,612,100"","
"1.13.1.13.01.062.009.5.2.2.01 ,Belanja Bahan Pakai Habis ,""3,775,000"","
"1.13.1.13.01.062.009.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,""3,775,000"",Belanja  Alat Tulis Kantor 3775000"
,,,
"1.13.1.13.01.062.009.5.2.2.03 ,Belanja Jasa Kantor ,""51,127,000"","
"1.13.1.13.01.062.009.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "",""1,500,000"",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 1500000"""
,,,
"1.13.1.13.01.062.009.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,""49,627,000"",Belanja Jasa Penyedia /Tenaga Teknis 49627050"
,,,
"1.13.1.13.01.062.009.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,""45,750,000"","
"1.13.1.13.01.062.009.5.2.2.06.01 ,Belanja Cetak ,""40,350,000"",Belanja Cetak 40350000"
,,,
"1.13.1.13.01.062.009.5.2.2.06.02 ,Belanja Penggandaan ,""5,400,000"",Belanja Penggandaan 5400000"
,,,
"1.13.1.13.01.062.009.5.2.2.11 ,Belanja Makanan Dan Minuman ,""28,910,000"","
"1.13.1.13.01.062.009.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,""28,910,000"",Belanja Makanan Dan Minuman Rapat 28910000"
,,,
"1.13.1.13.01.062.009.5.2.2.13 ,Belanja Pakaian Kerja ,""7,800,000"","
"1.13.1.13.01.062.009.5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,""7,800,000"",Belanja Pakaian Kerja Lapangan 7800000"
,,,
"1.13.1.13.01.062.009.5.2.2.15 ,Belanja Perjalanan Dinas ,""59,300,000"","
"1.13.1.13.01.062.009.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 11,600,000 "",Belanja Perjalanan Dinas Dalam Daerah 11600000"
,,,
"1.13.1.13.01.062.009.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 47,700,000 "",Belanja Perjalanan Dinas Luar Daerah 47700000"
,,,
"1.13.1.13.01.062.009.5.2.2.25 ,Belanja Hibah Barang atau Jasa ,"" 350,000,000 "","
"1.13.1.13.01.062.009.5.2.2.25.01 ,Belanja Hibah Barang atau Jasa Yang Diserahkan Kepada Pihak ,"" 350,000,000 "",Belanja Hibah Barang atau Jasa Yang Diserahkan Kepada Pihak 350000000"
,Ketiga/Masyarakat ,,Ketiga/Masyarakat
,,,Pengadaan Keranda dan Perlengkapan Pengururan Jenazah 350000000
"1.13.1.13.01.062.009.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 16,950,000 "","
"1.13.1.13.01.062.009.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 15,000,000 "",Belanja Jasa Narasumber 15000000"
,,,
"1.13.1.13.01.062.009.5.2.2.31.04 ,Belanja Jasa Moderator ,"" 1,950,000 "",Belanja Jasa Moderator 1950000"
,,,
"1.13.1.13.01.063 ,Program Pemberdayaan Sosial ,"" 811,036,450 "","
"1.13.1.13.01.063.001 ,Bimbingan dan Peningkatan Kualitas Potensi Sumber Kesejahteraan Sosial ,"" 811,036,450 "","
"1.13.1.13.01.063.001.5.2.1 ,BELANJA PEGAWAI ,"" 149,374,600 "","
"1.13.1.13.01.063.001.5.2.1.01 ,Honorarium PNS ,"" 33,015,000 "","
"1.13.1.13.01.063.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 32,690,000 "",Honorarium Panitia Pelaksana Kegiatan 32690000"
,,,
"1.13.1.13.01.063.001.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 325,000 "",Honorarium Tim Pengadaan Barang dan Jasa 325000"
,,,
"1.13.1.13.01.063.001.5.2.1.02 ,Honorarium Non PNS ,"" 116,359,600 "","
"1.13.1.13.01.063.001.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 115,359,600 "",Honorarium Panitia Pelaksana Kegiatan 115359600"
,,,
"1.13.1.13.01.063.001.5.2.1.02.03 ,Honorarium Pelaksana Kegiatan ,"" 1,000,000 "",Honorarium Pelaksana Kegiatan 1000000"
,,,
"1.13.1.13.01.063.001.5.2.2 ,BELANJA BARANG DAN JASA ,"" 661,661,850 "","
"1.13.1.13.01.063.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 4,350,000 "","
"1.13.1.13.01.063.001.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 4,350,000 "",Belanja  Alat Tulis Kantor 4350000"
,,,
"1.13.1.13.01.063.001.5.2.2.02 ,Belanja Bahan/Material ,"" 25,500,000 "","
"1.13.1.13.01.063.001.5.2.2.02.08 ,Belanja Hadiah/Trophy ,"" 25,500,000 "",Belanja Hadiah/Trophy 25500000"
,,,Lokasi kegiatan Kota Yogyakarta
,,,Peringatan HKSN Kota Yogyakarta 24000000
,,,Lomba Karang Taruna dalam penyususnan perencanaan pembangunan 1500000
"1.13.1.13.01.063.001.5.2.2.03 ,Belanja Jasa Kantor ,"" 18,987,350 "","
"1.13.1.13.01.063.001.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "","" 2,445,000 "",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 2445000"""
,,,
"1.13.1.13.01.063.001.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"" 16,542,350 "",Belanja Jasa Penyedia /Tenaga Teknis 16542350"
,,,
"1.13.1.13.01.063.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 6,855,000 "","
"1.13.1.13.01.063.001.5.2.2.06.01 ,Belanja Cetak ,"" 855,000 "",Belanja Cetak 855000"
,,,
"1.13.1.13.01.063.001.5.2.2.06.02 ,Belanja Penggandaan ,"" 6,000,000 "",Belanja Penggandaan 6000000"
,,,
"1.13.1.13.01.063.001.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"" 3,587,500 "","
"1.13.1.13.01.063.001.5.2.2.10.01 ,Belanja Sewa Meja Kursi ,"" 1,787,500 "",Belanja Sewa Meja Kursi 1787500"
,,,
"1.13.1.13.01.063.001.5.2.2.10.05 ,Belanja Sewa Tenda ,"" 1,200,000 "",Belanja Sewa Tenda 1200000"
,,,
"1.13.1.13.01.063.001.5.2.2.10.09 ,Belanja Sewa Perlengkapan/Peralatan ,"" 600,000 "",Belanja Sewa Perlengkapan/Peralatan 600000"
,,,
"1.13.1.13.01.063.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 168,282,000 "","
"1.13.1.13.01.063.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 168,282,000 "",Belanja Makanan Dan Minuman Rapat 168282000"
,,,
"1.13.1.13.01.063.001.5.2.2.13 ,Belanja Pakaian Kerja ,"" 116,700,000 "","
"1.13.1.13.01.063.001.5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,"" 116,700,000 "",Belanja Pakaian Kerja Lapangan 116700000"
,,,
"1.13.1.13.01.063.001.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 98,450,000 "","
"1.13.1.13.01.063.001.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 73,250,000 "",Belanja Perjalanan Dinas Dalam Daerah 73250000"
,,,
"1.13.1.13.01.063.001.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 25,200,000 "",Belanja Perjalanan Dinas Luar Daerah 25200000"
,,,
"1.13.1.13.01.063.001.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 167,700,000 "","
"1.13.1.13.01.063.001.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"" 42,000,000 "",Belanja Jasa Tenaga Ahli 42000000"
,,,
"1.13.1.13.01.063.001.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 33,600,000 "",Belanja Jasa Instruktur 33600000"
,,,
"1.13.1.13.01.063.001.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 90,600,000 "",Belanja Jasa Narasumber 90600000"
,,,
"1.13.1.13.01.063.001.5.2.2.31.04 ,Belanja Jasa Moderator ,"" 1,500,000 "",Belanja Jasa Moderator 1500000"
,,,
"1.13.1.13.01.063.001.5.2.2.32 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,"" 51,250,000 "","
"1.13.1.13.01.063.001.5.2.2.32.02 ,Belanja Uang Untuk Diberikan Kepada Masyarakat ,"" 51,250,000 "",Belanja Uang Untuk Diberikan Kepada Masyarakat 51250000"
,,,Lokasi kegiatan Kota Yogyakarta
",,,""Seleksi OSM, Karang Taruna, ORSOS berprestasi Kota Yogyakarta 3750000"""
,,,Lomba Karang Taruna dalam penyusunan perencanaan pembangunan 27500000
,,,Uang Pembinaan ORSOS Berprestasi 6000000
,,,Wahana Kesejahteraan Sosial Bagi Masyarakat 3000000
,,,Peningkatan Kualitas Potensi Sumber Kesejahteraan Sosial 2000000
,,,Uang Pembinaan Karang Taruna Berprestasi 9000000
"1.14.1.13.01.065 ,Program Peningkatan Kompetensi Tenaga Kerja dan Produktivitas ,"" 2,052,290,000 "","
"1.14.1.13.01.065.001 ,Peningkatan Kompetensi Tenaga Kerja dan Pengembangan Program ,"" 1,992,792,000 "","
,Pelatihan Bidang Industri,,
"1.14.1.13.01.065.001.5.2.1 ,BELANJA PEGAWAI ,"" 26,045,000 "","
"1.14.1.13.01.065.001.5.2.1.01 ,Honorarium PNS ,"" 22,445,000 "","
"1.14.1.13.01.065.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 19,995,000 "",Honorarium Panitia Pelaksana Kegiatan 19995000"
,,,
"1.14.1.13.01.065.001.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 2,450,000 "",Honorarium Tim Pengadaan Barang dan Jasa 2450000"
,,,
"1.14.1.13.01.065.001.5.2.1.02 ,Honorarium Non PNS ,"" 3,600,000 "","
"1.14.1.13.01.065.001.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 3,600,000 "",Honorarium Panitia Pelaksana Kegiatan 3600000"
,,,
"1.14.1.13.01.065.001.5.2.2 ,BELANJA BARANG DAN JASA ,"" 1,966,747,000 "","
"1.14.1.13.01.065.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 2,238,000 "","
"1.14.1.13.01.065.001.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 2,238,000 "",Belanja  Alat Tulis Kantor 2238000"
,,,
"1.14.1.13.01.065.001.5.2.2.02 ,Belanja Bahan/Material ,"" 145,500,000 "","
"1.14.1.13.01.065.001.5.2.2.02.09 ,Belanja Bahan Percontohan ,"" 145,500,000 "",Belanja Bahan Percontohan 145500000"
,,,Pembuatan Kue/Roti 20000000
,,,Tata Boga 23500000
,,,Menjahit Terampil 20000000
,,,Menjahit Mahir 20000000
,,,Menjahit Kebaya Sorjan 25000000
,,,Bengkel Mobil 30000000
,,,Peningkatan Produktifitas Manajemen 5R 3500000
,,,Pengukuran Produktifitas Perusahaan 3500000
"1.14.1.13.01.065.001.5.2.2.03 ,Belanja Jasa Kantor ,"" 2,520,000 "","
"1.14.1.13.01.065.001.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "","" 2,520,000 "",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 2520000"""
,,,
"1.14.1.13.01.065.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 15,194,000 "","
"1.14.1.13.01.065.001.5.2.2.06.01 ,Belanja Cetak ,"" 384,000 "",Belanja Cetak 384000"
,,,
"1.14.1.13.01.065.001.5.2.2.06.02 ,Belanja Penggandaan ,"" 14,070,000 "",Belanja Penggandaan 14070000"
,,,
"1.14.1.13.01.065.001.5.2.2.06.03 ,Belanja Cetak Foto ,"" 740,000 "",Belanja Cetak Foto 740000"
,,,
"1.14.1.13.01.065.001.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"" 15,375,000 "","
"1.14.1.13.01.065.001.5.2.2.07.02 ,Belanja Sewa Gedung/Kantor/Tempat ,"" 15,375,000 "",Belanja Sewa Gedung/Kantor/Tempat 15375000"
,,,
"1.14.1.13.01.065.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 90,232,000 "","
"1.14.1.13.01.065.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 90,232,000 "",Belanja Makanan Dan Minuman Rapat 90232000"
,,,
"1.14.1.13.01.065.001.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 373,288,000 "","
"1.14.1.13.01.065.001.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 373,288,000 "",Belanja Perjalanan Dinas Dalam Daerah 373288000"
,,,
"1.14.1.13.01.065.001.5.2.2.27 ,""Belanja Kursus,Pelatihan, Sosialisai dan Bimbingan Teknis Non PNS "","" 1,047,900,000 "","
"1.14.1.13.01.065.001.5.2.2.27.01 ,Belanja Kursus - kursus Singkat/Pelatihan ,"" 1,047,900,000 "",Belanja Kursus - kursus Singkat/Pelatihan 1047900000"
,,,
"1.14.1.13.01.065.001.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 274,500,000 "","
"1.14.1.13.01.065.001.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"" 30,000,000 "",Belanja Jasa Tenaga Ahli 30000000"
,,,
"1.14.1.13.01.065.001.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 234,500,000 "",Belanja Jasa Instruktur 234500000"
,,,
"1.14.1.13.01.065.001.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 10,000,000 "",Belanja Jasa Narasumber 10000000"
,,,
"1.14.1.13.01.065.002 ,Pengembangan dan Pemberdayaan Lembaga Pelatihan Kerja ,"" 59,498,000 "","
"1.14.1.13.01.065.002.5.2.1 ,BELANJA PEGAWAI ,"" 8,400,000 "","
"1.14.1.13.01.065.002.5.2.1.01 ,Honorarium PNS ,"" 7,280,000 "","
"1.14.1.13.01.065.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 7,280,000 "",Honorarium Panitia Pelaksana Kegiatan 7280000"
,,,
"1.14.1.13.01.065.002.5.2.1.02 ,Honorarium Non PNS ,"" 1,120,000 "","
"1.14.1.13.01.065.002.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 1,120,000 "",Honorarium Panitia Pelaksana Kegiatan 1120000"
,,,
"1.14.1.13.01.065.002.5.2.2 ,BELANJA BARANG DAN JASA ,"" 51,098,000 "","
"1.14.1.13.01.065.002.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 1,300,000 "","
"1.14.1.13.01.065.002.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 1,300,000 "",Belanja  Alat Tulis Kantor 1300000"
,,,
"1.14.1.13.01.065.002.5.2.2.03 ,Belanja Jasa Kantor ,"" 480,000 "","
"1.14.1.13.01.065.002.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "","" 480,000 "",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 480000"""
,,,
"1.14.1.13.01.065.002.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 5,300,000 "","
"1.14.1.13.01.065.002.5.2.2.06.01 ,Belanja Cetak ,"" 210,000 "",Belanja Cetak 210000"
,,,
"1.14.1.13.01.065.002.5.2.2.06.02 ,Belanja Penggandaan ,"" 4,950,000 "",Belanja Penggandaan 4950000"
,,,
"1.14.1.13.01.065.002.5.2.2.06.03 ,Belanja Cetak Foto ,"" 140,000 "",Belanja Cetak Foto 140000"
,,,
"1.14.1.13.01.065.002.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"" 4,500,000 "","
"1.14.1.13.01.065.002.5.2.2.07.02 ,Belanja Sewa Gedung/Kantor/Tempat ,"" 4,500,000 "",Belanja Sewa Gedung/Kantor/Tempat 4500000"
,,,
"1.14.1.13.01.065.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 16,268,000 "","
"1.14.1.13.01.065.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 16,268,000 "",Belanja Makanan Dan Minuman Rapat 16268000"
,,,
"1.14.1.13.01.065.002.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 13,700,000 "","
"1.14.1.13.01.065.002.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 3,500,000 "",Belanja Perjalanan Dinas Dalam Daerah 3500000"
,,,
"1.14.1.13.01.065.002.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 10,200,000 "",Belanja Perjalanan Dinas Luar Daerah 10200000"
,,,
"1.14.1.13.01.065.002.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 9,550,000 "","
"1.14.1.13.01.065.002.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 8,400,000 "",Belanja Jasa Instruktur 8400000"
,,,
"1.14.1.13.01.065.002.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 1,000,000 "",Belanja Jasa Narasumber 1000000"
,,,
"1.14.1.13.01.065.002.5.2.2.31.04 ,Belanja Jasa Moderator ,"" 150,000 "",Belanja Jasa Moderator 150000"
,,,
"1.14.1.13.01.066 ,Program Penempatan dan Perluasan Kesempatan Kerja ,"" 1,729,944,050 "","
"1.14.1.13.01.066.001 ,Penempatan Tenaga Kerja ,"" 1,272,111,200 "","
"1.14.1.13.01.066.001.5.2.1 ,BELANJA PEGAWAI ,"" 45,100,000 "","
"1.14.1.13.01.066.001.5.2.1.01 ,Honorarium PNS ,"" 43,100,000 "","
"1.14.1.13.01.066.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 41,700,000 "",Honorarium Panitia Pelaksana Kegiatan 41700000"
,,,
"1.14.1.13.01.066.001.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 1,400,000 "",Honorarium Tim Pengadaan Barang dan Jasa 1400000"
,,,
"1.14.1.13.01.066.001.5.2.1.02 ,Honorarium Non PNS ,"" 2,000,000 "","
"1.14.1.13.01.066.001.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 2,000,000 "",Honorarium Panitia Pelaksana Kegiatan 2000000"
,,,
"1.14.1.13.01.066.001.5.2.2 ,BELANJA BARANG DAN JASA ,"" 1,227,011,200 "","
"1.14.1.13.01.066.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 4,225,000 "","
"1.14.1.13.01.066.001.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 4,225,000 "",Belanja  Alat Tulis Kantor 4225000"
,,,
"1.14.1.13.01.066.001.5.2.2.02 ,Belanja Bahan/Material ,"" 121,000,000 "","
"1.14.1.13.01.066.001.5.2.2.02.01 ,Belanja Bahan Baku Bangunan ,"" 80,000,000 "",Belanja Bahan Baku Bangunan 80000000"
,,,
"1.14.1.13.01.066.001.5.2.2.02.04 ,Belanja Bahan Obat-Obatan ,"" 2,000,000 "",Belanja Bahan Obat-Obatan 2000000"
,,,
"1.14.1.13.01.066.001.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"" 8,000,000 "",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 8000000"
,,,
"1.14.1.13.01.066.001.5.2.2.02.08 ,Belanja Hadiah/Trophy ,"" 10,000,000 "",Belanja Hadiah/Trophy 10000000"
,,,Award Untuk Perusahaan Yang Memperkerjakan Tanaga Kerja Difabel 10000000
"1.14.1.13.01.066.001.5.2.2.02.09 ,Belanja Bahan Percontohan ,"" 21,000,000 "",Belanja Bahan Percontohan 21000000"
,,,Bahan Pemberdayaan TKMT 6000000
,,,Bahan Pemberdayaan TKM 15000000
"1.14.1.13.01.066.001.5.2.2.03 ,Belanja Jasa Kantor ,"" 198,567,200 "","
"1.14.1.13.01.066.001.5.2.2.03.11 ,Belanja Jasa Media Massa ,"" 3,000,000 "",Belanja Jasa Media Massa 3000000"
,,,
"1.14.1.13.01.066.001.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "","" 9,650,000 "",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 9650000"""
,,,
"1.14.1.13.01.066.001.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"" 185,917,200 "",Belanja Jasa Penyedia /Tenaga Teknis 185917200"
,,,
"1.14.1.13.01.066.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 19,495,000 "","
"1.14.1.13.01.066.001.5.2.2.06.01 ,Belanja Cetak ,"" 9,100,000 "",Belanja Cetak 9100000"
,,,
"1.14.1.13.01.066.001.5.2.2.06.02 ,Belanja Penggandaan ,"" 9,900,000 "",Belanja Penggandaan 9900000"
,,,
"1.14.1.13.01.066.001.5.2.2.06.03 ,Belanja Cetak Foto ,"" 495,000 "",Belanja Cetak Foto 495000"
,,,
"1.14.1.13.01.066.001.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"" 121,600,000 "","
"1.14.1.13.01.066.001.5.2.2.07.03 ,Belanja Sewa Ruang Rapat/Pertemuan ,"" 121,600,000 "",Belanja Sewa Ruang Rapat/Pertemuan 121600000"
,,,
"1.14.1.13.01.066.001.5.2.2.08 ,Belanja Sewa Sarana Mobilitas ,"" 900,000 "","
"1.14.1.13.01.066.001.5.2.2.08.01 ,Belanja Sewa Sarana Mobilitas Darat ,"" 900,000 "",Belanja Sewa Sarana Mobilitas Darat 900000"
,,,
"1.14.1.13.01.066.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 175,574,000 "","
"1.14.1.13.01.066.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 165,314,000 "",Belanja Makanan Dan Minuman Rapat 165314000"
,,,
"1.14.1.13.01.066.001.5.2.2.11.05 ,Belanja Makanan Dan Minuman Petugas Operasional /Survey/Monitoring ,"" 10,260,000 "",Belanja Makanan Dan Minuman Petugas Operasional 10260000"
,,,/Survey/Monitoring
,,,
"1.14.1.13.01.066.001.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 310,250,000 "","
"1.14.1.13.01.066.001.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 241,050,000 "",Belanja Perjalanan Dinas Dalam Daerah 241050000"
,,,
"1.14.1.13.01.066.001.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 69,200,000 "",Belanja Perjalanan Dinas Luar Daerah 69200000"
,,,
"1.14.1.13.01.066.001.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 225,400,000 "","
"1.14.1.13.01.066.001.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"" 12,000,000 "",Belanja Jasa Tenaga Ahli 12000000"
,,,
"1.14.1.13.01.066.001.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 171,000,000 "",Belanja Jasa Instruktur 171000000"
,,,
"1.14.1.13.01.066.001.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 41,800,000 "",Belanja Jasa Narasumber 41800000"
,,,
"1.14.1.13.01.066.001.5.2.2.31.04 ,Belanja Jasa Moderator ,"" 600,000 "",Belanja Jasa Moderator 600000"
,,,
"1.14.1.13.01.066.001.5.2.2.32 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,"" 50,000,000 "","
"1.14.1.13.01.066.001.5.2.2.32.01 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga ,"" 50,000,000 "",Belanja Uang Untuk Diberikan Kepada Pihak Ketiga 50000000"
,,,Award Untuk Perusahaan Yang Memperkejakan Tenaga Kerja Difabel 50000000
"1.14.1.13.01.066.002 ,Pengembangan Informasi Pasar Kerja ,"" 457,832,850 "","
"1.14.1.13.01.066.002.5.2.1 ,BELANJA PEGAWAI ,"" 135,065,000 "","
