Judul,Penjabaran Anggaran Pendapatan Belanja Daerah
Daerah,Kabupaten Bantul
Tahun,2015
Kode Organisasi,1.19
Kolom,4


No. Rekening,Uraian,Jumlah,Keterangan
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,300000000.00
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 02 . 18 ,Belanja Bahan Percontohan ,300000000.00,Belanja Bahan Percontohan/ Bahan Praktek
,,,Belanja Bahan Percontohan / Bahan Praktek
,,,"1 Ls x 3.000.000,00 = 3.000.000,00"
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,60000000.00
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,60000000.00,Belanja Dekorasi
,,,"2 Keg x 300.000,00 = 600.000,00"
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,75000000.00
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,75000000.00,Belanja Penggandaan
,,,"5,000 Lbr x 150,00 = 750.000,00"
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,100000000.00
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 07 . 02 ,Belanja Sewa Gedung/Kantor/Tempat ,100000000.00,Belanja Sewa Gedung/Tempat
,,,Belanja sewa gedung
,,,"2 Keg x 500.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,60000000.00
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 10 . 01 ,Belanja Sewa Meja Kursi ,60000000.00,Belanja Sewa Meja Kursi
,,,"2 Keg x 300.000,00 = 600.000,00"
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1168500000.00
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,85500000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja Makan, Snack dan Minum Rapat"
,,,"30 Ok x 28.500,00 = 855.000,00"
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,1083000000.00,Belanja Makanan dan Minuman Pelaksanaan Kegiatan
,,,"Belanja Makan, Snack dan Minum Pelaksanaan Kegiatan"
,,,"380 Ok x 28.500,00 = 10.830.000,00"
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 13 ,Belanja Pakaian Kerja ,1140000000.00
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 13 . 01 ,Belanja Pakaian Kerja Lapangan ,1140000000.00,Belanja Pakaian Kerja Lapangan
,,,Belanja pakaian kaos
,,,"190 Bh x 60.000,00 = 11.400.000,00"
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 35 ,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",1470000000.00
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,720000000.00,Honorarium Nara Sumber/Moderator/Tenaga Ahli
,,,Honorarium Nara Sumber 2 org/2jpl x 2 hr x 2 desa
,,,"6 O/jpl x 500.000,00 = 3.000.000,00"
,,,Honorarium Fasilitator 2 org/2jpl x 2 hr x 2 desa
,,,"6 O/jpl x 500.000,00 = 3.000.000,00"
,,,Honorarium Moderator 2 org/2jpl x 2 hr x 2 desa
,,,"6 O/jpl x 200.000,00 = 1.200.000,00"
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,750000000.00,Honorarium Peserta
,,,Honorarium Peserta 75 org x 2 hr x 2 desa
,,,"300 Ok x 25.000,00 = 7.500.000,00"
1.19 . 1.19.03 . 22 . 18 ,Gladi posko dan gladi lapang ,7133250000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Simulasi bencana
,,,Target:  500 Masyarakat
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 1 ,Belanja Pegawai ,157000000.00
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 1 . 01 ,Honorarium PNS ,157000000.00
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,157000000.00,Honorarium Panitia Pelaksana Kegiatan
,,,Ketua
,,,"1 Ok x 90.000,00 = 90.000,00"
,,,Sekretaris
,,,"1 Ok x 80.000,00 = 80.000,00"
,,,Anggota
,,,"20 Ok x 70.000,00 = 1.400.000,00"
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,6976250000.00
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,40000000.00
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,40000000.00,Belanja Alat Tulis Kantor
,,,"1 Ls x 400.000,00 = 400.000,00"
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,300000000.00
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 02 . 18 ,Belanja Bahan Percontohan ,300000000.00,Belanja Bahan Percontohan / Bahan Praktek
,,,Belanja bahan percontohan/ bahan praktek
,,,"1 Ls x 3.000.000,00 = 3.000.000,00"
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,145000000.00
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,45000000.00,Belanja Dekorasi
,,,"3 Keg x 150.000,00 = 450.000,00"
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 03 . 15 ,Belanja Publikasi ,100000000.00,Belanja Publikasi
,,,"1 Ls x 1.000.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,112500000.00
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,112500000.00,Belanja Penggandaan
,,,"7,500 Lbr x 150,00 = 1.125.000,00"
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,100000000.00
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,100000000.00,Belanja Sewa Ruang Rapat/pertemuan
,,,"2 Keg x 500.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,60000000.00
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 10 . 01 ,Belanja Sewa Meja Kursi ,60000000.00,Belanja Sewa Meja Kursi
,,,"2 Keg x 300.000,00 = 600.000,00"
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,4203750000.00
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,213750000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja Makan, Snack dan Minum Rapat"
,,,"75 Ok x 28.500,00 = 2.137.500,00"
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,3990000000.00,Belanja Makanan dan Minuman Pelaksanaan Kegiatan
,,,"Belanja Makan, Snack dan Minum Pelaksanaan kegiatan Sosialisasi"
,,,"550 Ok x 28.500,00 = 15.675.000,00"
,,,"Belanja Makan, Snack dan Minum Pelaksanaan kegiatan Gladi Posko"
,,,"150 Ok x 28.500,00 = 4.275.000,00"
,,,"Belanja Makan, Snack dan Minum Pelaksanaan kegiatan Gladi Lapang"
,,,"700 Ok x 28.500,00 = 19.950.000,00"
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 35 ,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",2015000000.00
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,640000000.00,Honorarium Nara Sumber/Moderator/Tenaga Ahli
,,,Honorarium Nara Sumber 2 org/2 jpl x 4 keg
,,,"8 O/jpl x 800.000,00 = 6.400.000,00"
1.19 . 1.19.03 . 22 . 18 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,1375000000.00,Honorarium Peserta
,,,Honorarium Peserta Gladi Lapang
,,,"550 Ok x 25.000,00 = 13.750.000,00"
1.19 . 1.19.03 . 22 . 19 ,Fasilitasi dan Koordinasi penanganan kerusakan infrastruktur ,1212500000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Koordinasi penanganan kerusakan infrastruktur
,,,Target:  1 Tahun
1.19 . 1.19.03 . 22 . 19 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,1212500000.00
1.19 . 1.19.03 . 22 . 19 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,100000000.00
1.19 . 1.19.03 . 22 . 19 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,100000000.00,Belanja Alat Tulis Kantor
,,,"1 ls x 1.000.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 22 . 19 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,400000000.00
1.19 . 1.19.03 . 22 . 19 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,250000000.00,Belanja Cetak
,,,"1 Ls x 2.500.000,00 = 2.500.000,00"
1.19 . 1.19.03 . 22 . 19 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,150000000.00,Belanja penggandaan
,,,"10,000 Lbr x 150,00 = 1.500.000,00"
1.19 . 1.19.03 . 22 . 19 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,712500000.00
1.19 . 1.19.03 . 22 . 19 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,142500000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja Makan, Snack dan Minum Rapat"
,,,"50 Ok x 28.500,00 = 1.425.000,00"
1.19 . 1.19.03 . 22 . 19 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,570000000.00,Belanja Makanan dan Minuman Pelaksanaan Kegiatan
,,,"Belanja Makan, Snack dan Minum Kegiatan Sosialisasi"
,,,"200 Ok x 28.500,00 = 5.700.000,00"
1.19 . 1.19.03 . 22 . 21 ,Penyusunan rencana operasi kedaruratan ,2722750000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Disusunnya Dokumen Rencana Operasi Kedaduratan Bencana Banjir
,,,Target:  1 Dokumen
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,2722750000.00
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,90000000.00
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,90000000.00,Belanja Alat tulis kantor
,,,"1 Ls x 300.000,00 = 300.000,00"
,,,Belanja Seminar kit
,,,"40 O/p x 15.000,00 = 600.000,00"
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,15000000.00
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,15000000.00,Belanja Dekorasi
,,,"1 Keg x 150.000,00 = 150.000,00"
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,600000000.00
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,600000000.00,Belanja Sewa Ruang Rapat/Pertemuan
,,,"6 Keg x 1.000.000,00 = 6.000.000,00"
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,300000000.00
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 10 . 01 ,Belanja Sewa Meja Kursi ,300000000.00,Belanja Sewa Meja Kursi
,,,"6 Keg x 500.000,00 = 3.000.000,00"
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,897750000.00
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,42750000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja Makan, Snack dan Minum"
,,,"15 Ok x 28.500,00 = 427.500,00"
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,855000000.00,Belanja Makanan dan Minuman Pelaksanaan Kegiatan
,,,"Belanja Makan, Snack dan Minum 50 org x 6 FGD"
,,,"300 Ok x 28.500,00 = 8.550.000,00"
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 35 ,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",820000000.00
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,220000000.00,Honorarium Nara Sumber/Moderator/Tenaga Ahli
,,,Honorarium Nara Sumber tingkat lokal 1 org/2 jpl
,,,"1 O/jpl x 1.000.000,00 = 1.000.000,00"
,,,Honorarium Nara Sumber Lainnya 2org/2 jpl
,,,"2 O/jpl x 500.000,00 = 1.000.000,00"
,,,Honorarium Moderator 1 org/2 jpl
,,,"1 O/jpl x 200.000,00 = 200.000,00"
1.19 . 1.19.03 . 22 . 21 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,600000000.00,honorarium Peserta
,,,"240 Ok x 25.000,00 = 6.000.000,00"
1.19 . 1.19.03 . 22 . 22 ,Pengembangan budaya sadar bencana ,2831850000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Pengembangan budaya sadar bencana bagi siswa
,,,Target:  1 Keg
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,2831850000.00
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,330000000.00
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,330000000.00,Belanja Alat Tulis Kantor
,,,"1 Ls x 300.000,00 = 300.000,00"
,,,Belanja Seminar Kit
,,,"200 O/p x 15.000,00 = 3.000.000,00"
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,15000000.00
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,15000000.00,Belanja Dekorasi
,,,"1 Keg x 150.000,00 = 150.000,00"
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,160000000.00
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,100000000.00,Belanja Cetak
,,,"1 Ls x 1.000.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,60000000.00,Belanja Penggandaan
,,,"4,000 Lbr x 150,00 = 600.000,00"
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,100000000.00
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,100000000.00,Belanja Sewa Ruang Rapat/Pertemuan
,,,"1 Keg x 1.000.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,50000000.00
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 10 . 01 ,Belanja Sewa Meja Kursi ,50000000.00,Belanja Sewa Meja Kursi
,,,"1 Keg x 500.000,00 = 500.000,00"
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,686850000.00
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,59850000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja Makan, Snack dan Minum Rapat"
,,,"21 Ok x 28.500,00 = 598.500,00"
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,627000000.00,Belanja Makanan dan Minuman Pelaksanaan Kegiatan
,,,"Belanja Makan, Snack dan Minum Pelaksanaan Kegiatan"
,,,"220 Ok x 28.500,00 = 6.270.000,00"
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 13 ,Belanja Pakaian Kerja ,1320000000.00
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 13 . 01 ,Belanja Pakaian Kerja Lapangan ,1320000000.00,Belanja Pakaian Kerja Lapangan
,,,Belanja kaos
,,,"220 Bh x 60.000,00 = 13.200.000,00"
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 35 ,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",170000000.00
1.19 . 1.19.03 . 22 . 22 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,170000000.00,Belanja Nara Sumber/Moderator/ Tenaga Ahli
,,,Honorarium Narasumber 3 org/2jpl
,,,"3 O/jpl x 500.000,00 = 1.500.000,00"
,,,Honorarium Moderator 1 org/2jpl
,,,"1 O/jpl x 200.000,00 = 200.000,00"
1.19 . 1.19.03 . 22 . 23 ,Pembuatan Dokumen Rencana Aksi Daerah (RAD) dan Kontijensi Plan ,11714750000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Dokumen Rencana Kontijensi Longsor
,,,Target:  1 Dokumen
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 1 ,Belanja Pegawai ,139500000.00
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 1 . 01 ,Honorarium PNS ,139500000.00
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,52000000.00,Honorarium Panitia Pelaksana Kegiatan
,,,Ketua
,,,"1 Ok x 90.000,00 = 90.000,00"
,,,Sekretaris
,,,"1 ok x 80.000,00 = 80.000,00"
,,,Anggota
,,,"5 Ok x 70.000,00 = 350.000,00"
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 1 . 01 . 02 ,Honorarium Tim Pengadaan Barang Dan Jasa ,87500000.00,Honorarium Tim Pengadaan Barang dan Jasa
,,,Pejabat Pembuat Komitmen
,,,"1 O/p x 350.000,00 = 350.000,00"
,,,Pejabat Pengadaan Barang dan Jasa
,,,"1 O/p x 300.000,00 = 300.000,00"
,,,Pejabat Penerima hasil Pekerjaan
,,,"1 O/p x 225.000,00 = 225.000,00"
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,11575250000.00
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,125000000.00
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,125000000.00,Belanja Alat Tulis Kantor Penyusunan Rencana Aksi Daerah
,,,Belanja Alat Tulis kantor
,,,"1 Ls x 650.000,00 = 650.000,00"
,,,Belanja Seminar kit
,,,"40 O/p x 15.000,00 = 600.000,00"
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,150000000.00
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,150000000.00,Belanja Penggandaan
,,,"10,000 Lbr x 150,00 = 1.500.000,00"
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,100000000.00
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,100000000.00,Belanja sewa ruang rapat/pertemuan
,,,Belanja sewa ruang rapat/pertemuan penyusunan Rencana Aksi Daerah
,,,"1 Ok x 1.000.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,470250000.00
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,85500000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja Makan, Snack dan Minum Rapat"
,,,"30 Ok x 28.500,00 = 855.000,00"
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,384750000.00,"Belanja makan, snack dan minum pelaksanaan kegiatan Penyusunan Rencana Aksi Daerah"
,,,"Belanja makan, snack dan minum pelaksanaan kegiatan "
,,,45 org x 3 FGD
,,,"135 ok x 28.500,00 = 3.847.500,00"
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 21 ,Belanja Jasa Konsultansi ,10000000000.00
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 21 . 01 ,Belanja Jasa Konsultansi Penelitian ,10000000000.00,Belanja Jasa Konsultansi Penelitian
,,,Belanja jasa konsultansi pembuatan Dokumen Kajian Akademis Persiapan Perda Pemadam Kebakaran
,,,"1 paket x 50.000.000,00 = 50.000.000,00"
,,,Belanja jasa konsultansi Penyusunan Draft Perda Peran 
,,,Serta Lembaga Usaha Penyelenggaraan Penanggulangan Bencana
,,,"1 paket x 50.000.000,00 = 50.000.000,00"
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 35 ,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",730000000.00
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,460000000.00,Honorarium Nara Sumber/Moderator/Tenaga Ahli Penyusunan Rencana Aksi Daerah
,,,Honorarium Narasumber 2 org/2jpl x 3 FGD pembuatan kontijensi
,,,"6 Ok x 500.000,00 = 3.000.000,00"
,,,Honorarium Narasumber 1 org/2jpl x 3 FGD
,,,"3 Ok x 200.000,00 = 600.000,00"
,,,Honorarium Narasumber 1 org/2jpl x 3 FGD
,,,"1 Ok x 1.000.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 22 . 23 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,270000000.00,Honorarium Peserta Penyusunan Rencana Aksi Daerah
,,,Honorarium Peserta 30 org x 3 FGD
,,,"90 Ok x 30.000,00 = 2.700.000,00"
1.19 . 1.19.03 . 22 . 25 ,Relokasi korban bencana alam ,11600500000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Terpenuhinya tempat tinggal korban bencana
,,,Target:  1 Tahun
1.19 . 1.19.03 . 22 . 25 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,11600500000.00
1.19 . 1.19.03 . 22 . 25 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,100000000.00
1.19 . 1.19.03 . 22 . 25 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,100000000.00,Belanja Alat Tulis Kantor
,,,"1 Ls x 1.000.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 22 . 25 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,10500000000.00
1.19 . 1.19.03 . 22 . 25 . 5 . 2 . 2 . 02 . 01 ,Belanja Bahan Baku Bangunan ,10500000000.00,Belanja Bahan Baku Bangunan
,,,"6 KK x 17.500.000,00 = 105.000.000,00"
1.19 . 1.19.03 . 22 . 25 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,60000000.00
1.19 . 1.19.03 . 22 . 25 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,60000000.00,Belanja Penggandaan
,,,"4,000 Lbr x 150,00 = 600.000,00"
1.19 . 1.19.03 . 22 . 25 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,940500000.00
1.19 . 1.19.03 . 22 . 25 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,85500000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja Makan, Snack dan Minum Rapat"
,,,"30 Ok x 28.500,00 = 855.000,00"
1.19 . 1.19.03 . 22 . 25 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,855000000.00,Belanja Makanan dan Minuman Pelaksanaan Kegiatan
,,,"Belanja Makan, Snack dan Minum Pelaksanaan kegiatan Sosialisasi"
,,,"300 Ok x 28.500,00 = 8.550.000,00"
1.19 . 1.19.03 . 22 . 27 ,Penyelenggaraan posko pengendalian bencana ,3375000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Penyediaan Posko Siaga darurat
,,,Target:  30 Hari
1.19 . 1.19.03 . 22 . 27 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,3375000000.00
1.19 . 1.19.03 . 22 . 27 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,45000000.00
1.19 . 1.19.03 . 22 . 27 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,45000000.00,Belanja Penggandaan
,,,"3,000 Lbr x 150,00 = 450.000,00"
1.19 . 1.19.03 . 22 . 27 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,720000000.00
1.19 . 1.19.03 . 22 . 27 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,720000000.00,Belanja Makanan dan Minuman Pelaksanaan Kegiatan
,,,Belanja Makan dan Minum operasional
,,,"360 Ok x 20.000,00 = 7.200.000,00"
1.19 . 1.19.03 . 22 . 27 . 5 . 2 . 2 . 35 ,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",2610000000.00
1.19 . 1.19.03 . 22 . 27 . 5 . 2 . 2 . 35 . 09 ,Jasa Petugas Lapangan ,2610000000.00,Honor Petugas Lapangan
