Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,1200000," Belanja Makan & Minum80 ok x 15.000,00 = 1.200.000,00",
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,3600000," Belanja Makan & Minum kegiatan200 ok x 18.000,00 = 3.600.000,00",
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan  Petugas Lapangan ",1200000,,  
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2 . 35 . 01  , Jasa Nara Sumber/Moderator/Tenaga Ahli  ,1200000," Honor Nara Sumber dan Moderator6 ok x 200.000,00 = 1.200.000,00",
1.22 . 1.22.01 . 17 . 05  , Penunjang program nasional pemberdayaan masyarakat ( PNPM )  ,108164000,,
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 1  , Belanja Pegawai  ,33664000,"  Sumber Dana : 
Lokasi Kegiatan : 17 kecamatan dan 75 desa",
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 1 . 01  , Honorarium PNS  ,33664000,,
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,33664000," Honorarium PNS
Honor Tim Pendataan Aset PNPM-MPd1 bjj x 33.664.000,00 = 33.664.000,00",
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,74500000,,
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,6750000,,
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,6750000," Belanja ATK
Belanja Alat Tulis kegiatan1 ls x 2.750.000,00 = 2.750.000,00
Belanja ATK Peserta Tim Pendataan Aset40 set x 100.000,00 = 4.000.000,00",
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,6350000,,
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,3000000," Belanja Cetak
Belanja Cetak Pendataan Aset PNPM-MPd1 bjj x 3.000.000,00 = 3.000.000,00",
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,3350000," Belanja Penggandaan
Penggandaan laporan Pendataan Aset5 bk x 100.000,00 = 500.000,00
Belanja foto copy kegiatan19,000 lbr x 150,00 = 2.850.000,00",
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 08  , Belanja Sewa Sarana Mobilitas  ,18750000,,
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 08 . 01  , Belanja Sewa Sarana Mobilitas Darat  ,18750000," Belanja sewa Sarana Mobilitas Darat
Belanja sewa bus75 unit x 250.000,00 = 18.750.000,00",
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,39900000,,
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,11400000," Belanja Makanan dan minuman
Belanja Makan, Snek dan minum Rapat Koordinasi400 org x 28.500,00 = 11.400.000,00",
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,28500000," Belanja makan snek dan minum kegiatan1,000 org x 28.500,00 = 28.500.000,00",
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",2750000,,
1.22 . 1.22.01 . 17 . 05 . 5 . 2 . 2 . 35 . 05  , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi  ,2750000," Honorarium Rapat Koordinasi220 org x 12.500,00 = 2.750.000,00",
1.22 . 1.22.01 . 17 . 06  , Penyelenggaraan lomba desa  ,78214000," Sumber Dana : 
Lokasi Kegiatan : kab. Bantul",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 1  , Belanja Pegawai  ,37000000,,
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 1 . 01  , Honorarium PNS  ,37000000,,
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,37000000," Honor panitia pelaksana kegiatan
Honor Tim Lomba Desa1 BJJ x 19.000.000,00 = 19.000.000,00
Honor Tim verifikasi Lomba Desa1 BJJ x 18.000.000,00 = 18.000.000,00",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,41214000,,
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,5300000,,
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,5300000," Belanja ATK
Blj Alat Tulis Penunjang Kegiatan1 thn x 800.000,00 = 800.000,00
Blj Alat Tulis ( Tas,Blok Not.Polpoin ) Tim verifikasi60 paket x 75.000,00 = 4.500.000,00",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 02  , Belanja Bahan/Material  ,2000000,,
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 02 . 07  , Belanja Cindera Mata  ,2000000," Belanja cinderamata
 Belanja Cendera mata Tropy1 paket x 2.000.000,00 = 2.000.000,00",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,700000,,
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 03 . 14  , Belanja Dekorasi  ,300000," Belanja dekorasi2 paket x 150.000,00 = 300.000,00",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 03 . 15  , Belanja Publikasi  ,400000," Belanja publikasi1 kali x 400.000,00 = 400.000,00",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,2024000,,
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,2024000," Belanja penggandaan
Belanja penggandaan laporan kegiatan7 buku x 40.000,00 = 280.000,00 
Belanja penggandaan juknis penilaian68 pkt x 8.000,00 = 544.000,00 
Belanja Fotocopy8,000 lbr x 150,00 = 1.200.000,00",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 08  , Belanja Sewa Sarana Mobilitas  ,4000000,,
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 08 . 01  , Belanja Sewa Sarana Mobilitas Darat  ,4000000," Belanja sewa Sarana Mobilitas Darat8 kali x 500.000,00 = 4.000.000,00",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,19590000,,
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,3000000," Belanja makan minum rapat 
Belanja Makan,& Minum Rapat Koordinasi200 ok x 15.000,00 = 3.000.000,00",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,16590000," Belanja makan minum kegiatan
Blj makan, minum & snek pembukaan Eksp130 org x 18.000,00 = 2.340.000,00
Blj makan, minum Peserta Ekspose425 ok x 15.000,00 = 6.375.000,00
Blj.Makan, minum Tim Penilai & Panitia105 oh x 18.000,00 = 1.890.000,00
Blj.Snack, minum Tim Yuri & Panitia210 ok x 8.500,00 = 1.785.000,00
Blj.Makan Minum Verifikasi280 ok x 15.000,00 = 4.200.000,00",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 14  , Belanja Pakaian khusus dan hari-hari tertentu  ,6000000,,
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 14 . 03  , Belanja Pakaian Batik Tradisional  ,6000000,"  Belanja Pakaian Batik Tradisional60 ptg x 100.000,00 = 6.000.000,00",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",1600000,,
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 35 . 01  , Jasa Nara Sumber/Moderator/Tenaga Ahli  ,100000," Honor narasumber
Honor narasumber publikasi1 kali x 100.000,00 = 100.000,00",
1.22 . 1.22.01 . 17 . 06 . 5 . 2 . 2 . 35 . 06  , Jasa Tenaga Harian Lepas  ,1500000," Honor tenaga bersih-bersih6 ok x 250.000,00 = 1.500.000,00",
1.22 . 1.22.01 . 17 . 07  , Bulan bakti gotong royong masyarakat dan LKD  ,38015000,"Sumber Dana : 
 Lokasi Kegiatan : kab. Bantul",
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 1  , Belanja Pegawai  ,7500000,,
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 1 . 01  , Honorarium PNS  ,7500000,,
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,7500000," Honor Panitia Pelaksana kegiatan
Honor Tim Pelaksana BBGRM1 BJJ x 6.500.000,00 = 6.500.000,00
Honor Pemandu studi banding5 org x 200.000,00 = 1.000.000,00",
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,30515000,,
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,500000,,
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,500000," Belanja alat tulis kantor
Belanja ATK LKD dan BBGRM1 paket x 500.000,00 = 500.000,00",
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 02  , Belanja Bahan/Material  ,1000000,,
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 02 . 07  , Belanja Cindera Mata  ,1000000," Belanja cinderamata
Belanja cinderamata studi banding1 paket x 1.000.000,00 = 1.000.000,00",
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,3240000,,
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 03 . 14  , Belanja Dekorasi  ,3240000," Belanja dekorasi2 kali x 120.000,00 = 240.000,00
Belanja dekorasi pencanangan dan penutupan BBGRM1 BJJ x 3.000.000,00 = 3.000.000,00",
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,1050000,,
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,550000," Belanja cetak1 LS x 550.000,00 = 550.000,00",
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,500000," Belanja penggandaan
Belanja fotocopi kegiatan BBGRM dan LKD1 paket x 500.000,00 = 500.000,00",
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 10  , Belanja Sewa Perlengkapan dan Peralatan Kantor  ,3000000,,
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 10 . 05  , Belanja Sewa Tenda  ,3000000," Belanja sewa tenda
Belanja sewa tenda, kursi, meja dalam rangka pencanangan dan penutupan BBGRM1 BJJ x 3.000.000,00 = 3.000.000,00",
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,17725000,,
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,2125000," Belanja makan minum rapat
Belanja snack minum rapat BBGRM150 ok x 8.500,00 = 1.275.000,00
Belanja snack minum rapat LKD100 ok x 8.500,00 = 850.000,00",
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,15600000," Belanja makan minum kegiatan
Belanja makan minum snack pencanangan BBGRM350 ok x 20.000,00 = 7.000.000,00
Belanja makan minum snack penutupan BBGRM250 ok x 20.000,00 = 5.000.000,00
Belanja makan minum prasmanan pencanangan BBGRM60 ok x 25.000,00 = 1.500.000,00
Belanja makan minum snack DPD Asosiasi tk Kabupaten140 org x 15.000,00 = 2.100.000,00",
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 14  , Belanja Pakaian khusus dan hari-hari tertentu  ,4000000,,
1.22 . 1.22.01 . 17 . 07 . 5 . 2 . 2 . 14 . 03  , Belanja Pakaian Batik Tradisional  ,4000000," Belanja pakaian batik tradisional50 org x 80.000,00 = 4.000.000,00",
1.22 . 1.22.01 . 17 . 08  , Penunjang kegiatan TMMD  ,117900000," Sumber Dana : 
Lokasi Kegiatan : kab. bantul",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 1  , Belanja Pegawai  ,43400000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 1 . 01  , Honorarium PNS  ,43400000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,43400000," Honor Pelaksana Kegiatan
 Hr Petugas Upacara2 pkt x 1.500.000,00 = 3.000.000,00
Hr Petugas Korsik2 pkt x 2.000.000,00 = 4.000.000,00 
Hr Petugas Penyuluhan12 pkt x 200.000,00 = 2.400.000,00
Hr Tim TMMD Sengkuyung 20142 lokasi x 12.000.000,00 = 24.000.000,00
Hr Tim Karya Bhakti TNI 20141 tim x 9.000.000,00 = 9.000.000,00
Hr Jasa Pembuat Gambar-RAB2 pkt x 500.000,00 = 1.000.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,74500000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,500000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,500000," Belanja Bahan Pakai Habis 
Blj Alat Tulis Penunjang Kegiatan1 ls x 500.000,00 = 500.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 02  , Belanja Bahan/Material  ,2000000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 02 . 18  , Belanja Bahan Percontohan  ,2000000," Belanja Bahan / Material
Blj Poskotis Kegiatan TMMD2 pkt x 1.000.000,00 = 2.000.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,1400000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 03 . 14  , Belanja Dekorasi  ,600000," Belanja Dekorasi Kegiatan
Blj Dekorasi Kegiatan2 pkt x 300.000,00 = 600.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 03 . 15  , Belanja Publikasi  ,800000," Belanja publikasi2 kali x 400.000,00 = 800.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,2750000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,2000000," Belanja Cetak
Blj Cetak Undangan800 lbr x 2.500,00 = 2.000.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,750000," Belanja Penggandaan
Blj Fotocopy Penunjang kegiatan5,000 lbr x 150,00 = 750.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 08  , Belanja Sewa Sarana Mobilitas  ,2000000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 08 . 01  , Belanja Sewa Sarana Mobilitas Darat  ,2000000," Belanja Sewa Sarana Mobilitas 
Blj Sewa Sarana Mobilitas Darat4 lokasi x 500.000,00 = 2.000.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 10  , Belanja Sewa Perlengkapan dan Peralatan Kantor  ,3000000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 10 . 05  , Belanja Sewa Tenda  ,3000000," Belanja Sewa Perlengk Peralatan Kantor
Blj Sewa Tenda2 lokasi x 1.500.000,00 = 3.000.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,41690000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,7020000,"   Belanja makan minum rapat
Minum minum rakor390 ok x 18.000,00 = 7.020.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 11 . 03  , Belanja Makanan Dan Minuman Tamu  ,20400000," Belanja makan minum tamu
Minum Snack Peserta Upacara TMMD800 ok x 8.500,00 = 6.800.000,00 
Makan . Minum, Snack Tamu TMMD500 ok x 20.000,00 = 10.000.000,00
Makan Minum ,Upcr Karya Bhakti TNI200 ok x 18.000,00 = 3.600.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,14270000," Makan minum kegiatan
Snack Minum Penyuluhan320 ok x 8.500,00 = 2.720.000,00 
Makan Minum Gladi Bersih150 ok x 20.000,00 = 3.000.000,00
Makan Snack Minum Survey100 ok x 20.000,00 = 2.000.000,00
Makan Minum ,Snec Sosialisasi200 ok x 20.000,00 = 4.000.000,00
Snack dan Minum Malam Perpisahan300 paket x 8.500,00 = 2.550.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 13  , Belanja Pakaian Kerja  ,5000000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 13 . 01  , Belanja Pakaian Kerja Lapangan  ,5000000," Belanja pakaian kerja100 potong x 50.000,00 = 5.000.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",16160000,,
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 35 . 01  , Jasa Nara Sumber/Moderator/Tenaga Ahli  ,11360000," Belanja honor nara sumber
Hr Instruktur/Nara Sumber Moderatorkegiatan Penyuluhan32 ok x 250.000,00 = 8.000.000,00
Honor Monitoring54 ok x 40.000,00 = 2.160.000,00
Honor Moderator PembukaanPenutupan TMMD Sengkuyung4 ok x 250.000,00 = 1.000.000,00
Honor narasumber talkshow2 kali x 100.000,00 = 200.000,00",
1.22 . 1.22.01 . 17 . 08 . 5 . 2 . 2 . 35 . 05  , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi  ,4800000," Honor Harian Peserta
Hr Harian Peserta Penyuluhan320 ok x 15.000,00 = 4.800.000,00",
1.22 . 1.22.01 . 17 . 11  , Musrenbang tingkat kecamatan  ,19990000," Sumber Dana : 
Lokasi Kegiatan : kab. bantul",
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 1  , Belanja Pegawai  ,12040000,,
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 1 . 01  , Honorarium PNS  ,12040000,,
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,12040000," Honorarium Panitia pelaksana kegiatan
Honor Tim Koordinasi Musrenbang Kecamatan1 bjj x 10.000.000,00 = 10.000.000,00
Honor Tim monitoring51 ok x 40.000,00 = 2.040.000,00",
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,7950000,,
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,500000,,
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,500000," Belanja Alat Tulis Kantor1 pkt x 500.000,00 = 500.000,00",
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,150000,,
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2 . 03 . 14  , Belanja Dekorasi  ,150000," Belanja dekorasi1 pkt x 150.000,00 = 150.000,00",
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,1200000,,
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,1200000," Belanja Penggandaan8,000 Lb x 150,00 = 1.200.000,00",
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2 . 10  , Belanja Sewa Perlengkapan dan Peralatan Kantor  ,1000000,,
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2 . 10 . 05  , Belanja Sewa Tenda  ,1000000,"  Belanja Sewa Tenda1 paket x 1.000.000,00 = 1.000.000,00",
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,5100000,,
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,1500000," Belanja makan dan minum Rapat100 ok x 15.000,00 = 1.500.000,00",
1.22 . 1.22.01 . 17 . 11 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,3600000," Belanja Makan dan minuman pelaksanaan Kegiatan200 ok x 18.000,00 = 3.600.000,00",
1.22 . 1.22.01 . 17 . 13  , Bantul Ekspo dan karnaval  ,14900000," Sumber Dana : 
Lokasi Kegiatan : kab. bantul",
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 1  , Belanja Pegawai  ,2400000,,
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 1 . 01  , Honorarium PNS  ,1800000,,
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,1800000," Honorarium Panitia Pelaksana Kegiatan
Honorarium peserta Jaga Bantul Exspo36 oh x 50.000,00 = 1.800.000,00",
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 1 . 03  , Uang Lembur  ,600000,,
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 1 . 03 . 01  , Uang Lembur PNS  ,600000,"  Uang lembur PNS
Honor lembur harian dalam rangka Keg Btl Exspo20 oh x 15.000,00 = 300.000,00
Honor lembur harian dalam rangka Keg Carnaval20 oh x 15.000,00 = 300.000,00",
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,12500000,,
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,7500000,,
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 03 . 14  , Belanja Dekorasi  ,7500000," Belanja Dekorasi
Dekorasi Bantul Exspo1 pkt x 4.000.000,00 = 4.000.000,00
Dekorasi Bantul Carnaval1 pkt x 3.500.000,00 = 3.500.000,00",
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,375000,,
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,375000," Belanja cetak
 Belanja penggandaan Riflet2,500 lbr x 150,00 = 375.000,00",
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 07  , Belanja Sewa Rumah/Gedung/Gudang/Parkir  ,900000,,
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 07 . 02  , Belanja Sewa Gedung/Kantor/Tempat  ,900000," Sewa tempat Bantul Exspo 1 unit x 900.000,00 = 900.000,00",
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 08  , Belanja Sewa Sarana Mobilitas  ,1000000,,
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 08 . 01  , Belanja Sewa Sarana Mobilitas Darat  ,1000000," Belanja sewa Sarana Mobilitas Darat
Belanja sewa kendaraan Alat angkut keg. Btl Exspo2 hr x 250.000,00 = 500.000,00
Belanja sewa kendaraan Alat angkut keg. Carnaval2 hr x 250.000,00 = 500.000,00",
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman   Belanja makanan dan minuman rapat,1775000,,
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,255000," Belanja snek dan minum rakor15 org x 8.500,00 = 127.500,00
Belanja snek & minum rakor persiapan Carnaval15 org x 8.500,00 = 127.500,00",
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 11 . 04  , Belanja makanan dan minuman Lembur  ,1520000," Belanja makan dan minum lembur
Belanja Makan dan minum Jaga Bantul Exspo36 org x 20.000,00 = 720.000,00
Belanja makan & mnm lembur dlm Rangka Btl Exspo20 oh x 20.000,00 = 400.000,00
Belanja makan & mnm lembur dlm Rangka Carnaval20 oh x 20.000,00 = 400.000,00",
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 23  , Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga  ,950000,,
1.22 . 1.22.01 . 17 . 13 . 5 . 2 . 2 . 23 . 01  , Belanja Barang Yang Akan Diserahkan Kepada Masyarakat  ,950000," Belanja Barang yang diserahkan kepada masyarakat
Belanja Hadiah Bantul Exspo1 LS x 950.000,00 = 950.000,00",
1.22 . 1.22.01 . 17 . 14  , Pengembangan desa siaga  ,17500000," Sumber Dana : 
Lokasi Kegiatan : kab. bantul",
1.22 . 1.22.01 . 17 . 14 . 5 . 2 . 1  , Belanja Pegawai  ,6830000,,
1.22 . 1.22.01 . 17 . 14 . 5 . 2 . 1 . 01  , Honorarium PNS  ,6830000,,
1.22 . 1.22.01 . 17 . 14 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,6830000," Honorarium panitia pelaksana kegiatan
Honor panitia sosialisasi desa siaga dan kelembagaan1 BJJ x 330.000,00 = 330.000,00
Honor Tim pelaksana desa siaga1 bjj x 6.500.000,00 = 6.500.000,00",
1.22 . 1.22.01 . 17 . 14 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,10670000,,
1.22 . 1.22.01 . 17 . 14 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,1440000,,
1.22 . 1.22.01 . 17 . 14 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,1440000," Belanja ATK
Belanja ATK peserta sosialisasi120 ok x 12.000,00 = 1.440.000,00",
1.22 . 1.22.01 . 17 . 14 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,1200000,,
1.22 . 1.22.01 . 17 . 14 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,1200000," Belanja penggandaan
Belanja penggandaan materi sosialisasi5,000 lbr x 150,00 = 750.000,00
Belanja fotocopi kegiatan3,000 lbr x 150,00 = 450.000,00",
1.22 . 1.22.01 . 17 . 14 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,3880000,,
