Judul;Penjabaran Anggaran Pendapatan Belanja Daerah;;;;;
1.01 . 1.01.02 . 17.80 . 5.2.2 ;Belanja Barang dan Jasa ;155.780.000,00;905.780.000,00;750.000.000,00;481,45;
1.01 . 1.01.02 . 17.80 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;3.392.500,00;3.392.500,00;0;0;
1.01 . 1.01.02 . 17.80 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;3.392.500,00;3.392.500,00;0;0;"Belanja ATK
Belanja ATK OST1 kegiatan x 975.000,00 = 975.000,00
Belanja ATK OOSN1 kegiatan x 777.500,00 = 777.500,00
Belanja ATK FLSSN1 kegiatan x 750.000,00 = 750.000,00
Belanja ATK untuk debat1 Ls x 890.000,00 = 890.000,00"
1.01 . 1.01.02 . 17.80 . 5.2.2.03 ;Belanja Jasa Kantor ;1.400.000,00;1.400.000,00;0;0;
1.01 . 1.01.02 . 17.80 . 5.2.2.03.08 ;Belanja Sertifikasi ;1.000.000,00;1.000.000,00;0;0;Belanja Sertifikat1 kegiatan x 1.000.000,00 = 1.000.000,00
1.01 . 1.01.02 . 17.80 . 5.2.2.03.13 ;Belanja Dokumentasi ;400.000,00;400.000,00;0;0;Belanja Dokumentasi4 kegiatan x 100.000,00 = 400.000,00
1.01 . 1.01.02 . 17.80 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;4.035.000,00;4.035.000,00;0;0;
1.01 . 1.01.02 . 17.80 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;4.035.000,00;4.035.000,00;0;0;Belanja Penggandaan/Fotocopy1 keg x 4.035.000,00 = 4.035.000,00
1.01 . 1.01.02 . 17.80 . 5.2.2.07 ;Belanja Sewa Rumah/Gedung/Gudang/Parkir ;2.600.000,00;2.600.000,00;0;0;
1.01 . 1.01.02 . 17.80 . 5.2.2.07.03 ;Belanja Sewa Ruang Rapat/Pertemuan ;2.600.000,00;2.600.000,00;0;0;"Belanja Sewa Ruang Rapat/Pertemuan
Belanja Sewa Ruang Rapat/Pertemuan OST1 hari x 200.000,00 = 200.000,00
Belanja Sewa Ruang Rapat/Pertemuan OOSN5 hari x 400.000,00 = 2.000.000,00
Belanja Sewa Ruang Rapat/Pertemuan FLSSN1 hari x 200.000,00 = 200.000,00
Belanja sewa ruang rapat/pertemuan untuk debat1 hr x 200.000,00 = 200.000,00"
1.01 . 1.01.02 . 17.80 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;38.377.500,00;38.377.500,00;0;0;
1.01 . 1.01.02 . 17.80 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;4.952.500,00;4.952.500,00;0;0;"Belanja Makan dan Minum Rapat
Belanja Makan dan Minum Rapat OST83 dus x 17.500,00 = 1.452.500,00
Belanja Makan dan Minum Rapat OOSN80 dus x 17.500,00 = 1.400.000,00
Belanja Makan dan Minum Rapat FLSSN60 dus x 17.500,00 = 1.050.000,00
Belanja makan dan minum rapat untuk debat60 dos x 17.500,00 = 1.050.000,00"
1.01 . 1.01.02 . 17.80 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;33.425.000,00;33.425.000,00;0;0;"Belanja Makan dan Minum Kegiatan
Belanja Makan dan Minum Kegiatan OST600 dus x 17.500,00 = 10.500.000,00
Belanja Makan dan Minum Kegiatan OOSN800 dus x 17.500,00 = 14.000.000,00
Belanja Makan dan Minum Kegiatan FLSSN450 dus x 17.500,00 = 7.875.000,00
Belanja makan dan minum kegiatan untuk debat60 dos x 17.500,00 = 1.050.000,00"
1.01 . 1.01.02 . 17.80 . 5.2.2.14 ;Belanja Pakaian Khusus Dan Hari-Hari Tertentu ;16.900.000,00;16.900.000,00;0;0;
1.01 . 1.01.02 . 17.80 . 5.2.2.14.04 ;Belanja Pakaian Olahraga ;5.000.000,00;5.000.000,00;0;0;Belanja pakaian olah raga50 orang x 100.000,00 = 5.000.000,00
1.01 . 1.01.02 . 17.80 . 5.2.2.14.05 ;Belanja pakaian kejuaraan/ lomba ;11.900.000,00;11.900.000,00;0;0;Belanja pakaian kontingen70 orang x 170.000,00 = 11.900.000,00
1.01 . 1.01.02 . 17.80 . 5.2.2.15 ;Belanja Perjalanan Dinas ;31.950.000,00;31.950.000,00;0;0;
1.01 . 1.01.02 . 17.80 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;31.950.000,00;31.950.000,00;0;0;"Belanja perjalanan dinas luar daerah
Belanja perjalanan dinas luar daerah untuk mendampingi peserta1 keg x 31.950.000,00 = 31.950.000,00"
1.01 . 1.01.02 . 17.80 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;30.125.000,00;30.125.000,00;0;0;
1.01 . 1.01.02 . 17.80 . 5.2.2.34.05 ;Honor Peserta Seminar/Simposium /Workshop/Sosialisasi;5.800.000,00;5.800.000,00;0;0;"Honorarium peserta/siswa/lomba
Honor harian siswa OOSN100 kegiatan x 20.000,00 = 2.000.000,00
Honor harian siswa OST150 kegiatan x 20.000,00 = 3.000.000,00
Honor harian siswa debat40 kegiatan x 20.000,00 = 800.000,00"
1.01 . 1.01.02 . 17.80 . 5.2.2.34.10 ;Honorarium Penyelenggaraan Kegiatan ;24.325.000,00;24.325.000,00;0;0;"Honorarium Penyelenggara Kegiatan /Pembimbing
Honorarium Harian Penyelenggara Kegiatan OST150 jpl x 40.000,00 = 6.000.000,00
Honorarium Penyelenggara Kegiatan/Juri OOSN100 jpl x 75.000,00 = 7.500.000,00
Honorarium Penyelenggara Kegiatan/Juri FLSSN23 jpl x 75.000,00 = 1.725.000,00
Honorrarium harian Penyelenggara Kegiatan Debat tingkat DIY40 oh x 40.000,00 = 1.600.000,00
Honor penyelenggara kegiatan OST yg maju ke nasional6 jpl x 250.000,00 = 1.500.000,00
Honor penyelenggara kegiatan OOSN yang maju ke nasional8 jpl x 250.000,00 = 2.000.000,00
Honor penyelenggara kegiatan FLSN yang maju ke nasional8 jpl x 250.000,00 = 2.000.000,00
Honor penyelenggara kegiatan debat yang maju ke nasional
Honor harian penyelanggara kegiatan OOSN tingkat DIY50 o/h x 40.000,00 = 2.000.000,00"
1.01 . 1.01.02 . 17.80 . 5.2.2.35 ;Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat;27.000.000,00;777.000.000,00;750.000.000,00;2.777,78;
1.01 . 1.01.02 . 17.80 . 5.2.2.35.01 ;Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat;27.000.000,00;777.000.000,00;750.000.000,00;2.777,78;"Uang untuk diberikan kepada masyarakat
Belanja hadiah/penghargaan siswa Kejuaraan Tingkat Kabupaten1 kegiatan x 10.000.000,00 = 10.000.000,00
Belanja hadiah/penghargaan siswa Kejuaraan Tingkat DIY1 kegiatan x 7.000.000,00 = 7.000.000,00
Belanja hadiah/penghargaan siswa Kejuaraan Tingkat  Nasional1 kegiatan x 10.000.000,00 = 10.000.000,00
Belanja Operasional Siswa yang memiliki prestasi kelas dan prestasi lainnya750 siswa x 1.000.000,00 = 750.000.000,00"
1.01 . 1.01.02 . 17.81 ;Lomba Perpustakaan Sekolah SMA/SMK ;12.400.000,00;19.000.000,00;6.600.000,00;53,23;Sumber Dana : Dana Alokasi Umum (D A U)
1.01 . 1.01.02 . 17.81 . 5.2.1 ;Belanja Pegawai ;1.290.000,00;1.290.000,00;0;0;
1.01 . 1.01.02 . 17.81 . 5.2.1.01 ;Honorarium PNS ;1.290.000,00;1.290.000,00;0;0;
1.01 . 1.01.02 . 17.81 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;1.290.000,00;1.290.000,00;0;0;Honorarium Panitia Pelaksana Kegiatan1 keg x 1.290.000,00 = 1.290.000,00
1.01 . 1.01.02 . 17.81 . 5.2.2 ;Belanja Barang dan Jasa ;11.110.000,00;17.710.000,00;6.600.000,00;59,41;
1.01 . 1.01.02 . 17.81 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;2.385.000,00;2.385.000,00;0;0;
1.01 . 1.01.02 . 17.81 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;435.000,00;435.000,00;0;0;Belanja ATK1 keg x 435.000,00 = 435.000,00
1.01 . 1.01.02 . 17.81 . 5.2.2.01.06 ;Belanja Bahan Bakar Minyak/Gas (Non Kendaraan) ;1.950.000,00;1.950.000,00;0;0;"Belanja BBM
Belanja BBM Non Kendaraan300 lt x 6.500,00 = 1.950.000,00"
1.01 . 1.01.02 . 17.81 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;525.000,00;525.000,00;0;0;
1.01 . 1.01.02 . 17.81 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;525.000,00;525.000,00;0;0;Belanja Penggandaan/Fotocopy3,500 lembar x 150,00 = 525.000,00
1.01 . 1.01.02 . 17.81 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;4.200.000,00;4.200.000,00;0;0;
1.01 . 1.01.02 . 17.81 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;700.000,00;700.000,00;0;0;Belanja Makan dan Minum Rapat40 om x 17.500,00 = 700.000,00
1.01 . 1.01.02 . 17.81 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;3.500.000,00;3.500.000,00;0;0;Belanja Makan dan Minum Kegiatan140 om x 25.000,00 = 3.500.000,00
1.01 . 1.01.02 . 17.81 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;4.000.000,00;10.600.000,00;6.600.000,00;165;
1.01 . 1.01.02 . 17.81 . 5.2.2.34.10 ;Honorarium Penyelenggaraan Kegiatan ;4.000.000,00;10.600.000,00;6.600.000,00;165;"Honorarium Penyelenggara Kegiatan
Honorarium Penyelenggara Kegiatan/Juri40 org x 100.000,00 = 4.000.000,00
Hadiah kejuaraan lombaHadiah Lomba Perpustakaan1 keg x 6.000.000,00 = 6.000.000,00
Honorarium pembinaan juara lombahonorarium pembinaan1 keg x 600.000,00 = 600.000,00"
1.01 . 1.01.02 . 17.82 ;Peningkatan minat, bakat dan kreatifitas Guru ;14.917.500,00;14.917.500,00;0;0;Sumber Dana : Dana Alokasi Umum (D A U)
1.01 . 1.01.02 . 17.82 . 5.2.1 ;Belanja Pegawai ;1.560.000,00;1.560.000,00;0;0;
1.01 . 1.01.02 . 17.82 . 5.2.1.01 ;Honorarium PNS ;1.560.000,00;1.560.000,00;0;0;
1.01 . 1.01.02 . 17.82 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;1.560.000,00;1.560.000,00;0;0;"Honor Panitia Pelaksana Kegiatan OSN1 keg x 1.560.000,00 = 1.560.000,00
Honor Penyusun Soal3 jpl x 0,00 = 0,00"
1.01 . 1.01.02 . 17.82 . 5.2.2 ;Belanja Barang dan Jasa ;13.357.500,00;13.357.500,00;0;0;
1.01 . 1.01.02 . 17.82 . 5.2.2.03 ;Belanja Jasa Kantor ;150.000,00;150.000,00;0;0;
1.01 . 1.01.02 . 17.82 . 5.2.2.03.08 ;Belanja Sertifikasi ;50.000,00;50.000,00;0;0;Belanja sertifikat25 lbr x 2.000,00 = 50.000,00
1.01 . 1.01.02 . 17.82 . 5.2.2.03.13 ;Belanja Dokumentasi ;100.000,00;100.000,00;0;0;Belanja Dokumentasi1 keg x 100.000,00 = 100.000,00
1.01 . 1.01.02 . 17.82 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;337.500,00;337.500,00;0;0;
1.01 . 1.01.02 . 17.82 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;337.500,00;337.500,00;0;0;Belanja Penggandaan/Fotocopy2,250 lbr x 150,00 = 337.500,00
1.01 . 1.01.02 . 17.82 . 5.2.2.07 ;Belanja Sewa Rumah/Gedung/Gudang/Parkir ;500.000,00;500.000,00;0;0;
1.01 . 1.01.02 . 17.82 . 5.2.2.07.03 ;Belanja Sewa Ruang Rapat/Pertemuan ;500.000,00;500.000,00;0;0;Belanja Sewa Ruang Rapat1 keg x 500.000,00 = 500.000,00
1.01 . 1.01.02 . 17.82 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;4.270.000,00;4.270.000,00;0;0;
1.01 . 1.01.02 . 17.82 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;150.000,00;150.000,00;0;0;Belanja Makan dan Minuman Rapat20 org x 7.500,00 = 150.000,00
1.01 . 1.01.02 . 17.82 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;4.120.000,00;4.120.000,00;0;0;"Belanja Makan dan Minuman Kegiatan120 org x 25.000,00 = 3.000.000,00
Konsumsi Pembimbingan56 org x 20.000,00 = 1.120.000,00"
1.01 . 1.01.02 . 17.82 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;3.300.000,00;3.300.000,00;0;0;
1.01 . 1.01.02 . 17.82 . 5.2.2.34.10 ;Honorarium Penyelenggaraan Kegiatan ;3.300.000,00;3.300.000,00;0;0;"Honor Penyelenggara Kegiatan
Honor Penyelenggara Kegiatan/Juri8 org x 100.000,00 = 800.000,00
Honor Penyelenggara Kegiatan/Pengawas9 org x 100.000,00 = 900.000,00
Honor Penyusun soal4 jpl x 400.000,00 = 1.600.000,00"
1.01 . 1.01.02 . 17.82 . 5.2.2.35 ;Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat;4.800.000,00;4.800.000,00;0;0;
1.01 . 1.01.02 . 17.82 . 5.2.2.35.01 ;Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat;4.800.000,00;4.800.000,00;0;0;Hadiah /uang untuk juara OSN GuruHadiah/uang untuk juara OSN Guru1 keg x 4.800.000,00 = 4.800.000,00
1.01 . 1.01.02 . 17.83 ;Pembelajaran Bahasa Inggris Berbasis TIK bagi Siswa SMA dan SMK ;66.112.500,00;59.697.500,00;-6.415.000,00;-9,7;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 17.83 . 5.2.1 ;Belanja Pegawai ;6.125.000,00;950.000,00;-5.175.000,00;-84,49;
1.01 . 1.01.02 . 17.83 . 5.2.1.01 ;Honorarium PNS ;6.125.000,00;950.000,00;-5.175.000,00;-84,49;
1.01 . 1.01.02 . 17.83 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;4.950.000,00;950.000,00;-4.000.000,00;-80,81;"Honor panitia pelaksana kegiatan
Honor panitia kegiatan1 org/bjj x 950.000,00 = 950.000,00
Honor monitoring dan evaluasi"
1.01 . 1.01.02 . 17.83 . 5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;1.175.000,00;0;-1.175.000,00;-100;"Honorarium tim pengadaan barang dan jasa
Honor PPKHonor pejabat pengadaanHonor penerima barang"
1.01 . 1.01.02 . 17.83 . 5.2.2 ;Belanja Barang dan Jasa ;59.987.500,00;58.747.500,00;-1.240.000,00;-2,07;
1.01 . 1.01.02 . 17.83 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;750.000,00;750.000,00;0;0;
1.01 . 1.01.02 . 17.83 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;750.000,00;750.000,00;0;0;Belanja alat tulis kantor1 ls x 750.000,00 = 750.000,00
1.01 . 1.01.02 . 17.83 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;375.000,00;375.000,00;0;0;
1.01 . 1.01.02 . 17.83 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;375.000,00;375.000,00;0;0;Belanja penggandaan/foto copy2,500 lbr x 150,00 = 375.000,00
1.01 . 1.01.02 . 17.83 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;3.062.500,00;3.062.500,00;0;0;
1.01 . 1.01.02 . 17.83 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;3.062.500,00;3.062.500,00;0;0;Belanja makan minum rapat175 or x 17.500,00 = 3.062.500,00
1.01 . 1.01.02 . 17.83 . 5.2.2.15 ;Belanja Perjalanan Dinas ;4.000.000,00;4.000.000,00;0;0;
1.01 . 1.01.02 . 17.83 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;4.000.000,00;4.000.000,00;0;0;"Belanja perjalanan dinas dalam daerah di Bantul
Golongan IV50 oj x 50.000,00 = 2.500.000,00
Golongan III30 oj x 40.000,00 = 1.200.000,00
Golongan II10 oj x 30.000,00 = 300.000,00"
1.01 . 1.01.02 . 17.83 . 5.2.2.30 ;Belanja Operasional Pendidikan ;50.000.000,00;48.960.000,00;-1.040.000,00;-2,08;
1.01 . 1.01.02 . 17.83 . 5.2.2.30.05 ;Belanja Operasional Pendidikan SMA/SMK ;50.000.000,00;48.960.000,00;-1.040.000,00;-2,08;"Belanja operasional pendidikan  pembelajaran bahasa inggris berbasis TIK bagi siswa SMA/SMK
Belanja operasional pendidikan pembelajaran bahasa inggris berbasis TIK bagi siswa SMA/SMK1 keg x 48.960.000,00 = 48.960.000,00"
1.01 . 1.01.02 . 17.83 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;1.800.000,00;1.600.000,00;-200.000,00;-11,11;
1.01 . 1.01.02 . 17.83 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;1.800.000,00;1.600.000,00;-200.000,00;-11,11;"Honor narasumber dan moderator
Honor narasumber4 org x 250.000,00 = 1.000.000,00
Honor moderator4 org x 150.000,00 = 600.000,00"
1.01 . 1.01.02 . 17.84 ;Pendampingan Bantuan Pendidikan bagi Siswa Keluarga Tidak Mampu ;12.500.000,00;0;-12.500.000,00;-100;"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.02 . 17.84 . 5.2.1 ;Belanja Pegawai ;6.925.000,00;0;-6.925.000,00;-100;
1.01 . 1.01.02 . 17.84 . 5.2.1.01 ;Honorarium PNS ;5.700.000,00;0;-5.700.000,00;-100;
1.01 . 1.01.02 . 17.84 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;5.700.000,00;0;-5.700.000,00;-100;Honorarium Tim pelaksana
1.01 . 1.01.02 . 17.84 . 5.2.1.03 ;Uang Lembur ;1.225.000,00;0;-1.225.000,00;-100;
1.01 . 1.01.02 . 17.84 . 5.2.1.03.01 ;Uang Lembur PNS ;1.225.000,00;0;-1.225.000,00;-100;Lembur PNSGolongan 3 dan 4Golongan 2
1.01 . 1.01.02 . 17.84 . 5.2.2 ;Belanja Barang dan Jasa ;5.575.000,00;0;-5.575.000,00;-100;
1.01 . 1.01.02 . 17.84 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;3.235.000,00;0;-3.235.000,00;-100;
1.01 . 1.01.02 . 17.84 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;2.047.500,00;0;-2.047.500,00;-100;Belanja makan minum rapat
1.01 . 1.01.02 . 17.84 . 5.2.2.11.04 ;Belanja Makanan dan Minuman lembur ;1.187.500,00;0;-1.187.500,00;-100;Belanja makan minum lembur
1.01 . 1.01.02 . 17.84 . 5.2.2.15 ;Belanja Perjalanan Dinas ;2.340.000,00;0;-2.340.000,00;-100;
1.01 . 1.01.02 . 17.84 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;2.340.000,00;0;-2.340.000,00;-100;Belanja perjalanan dinas dalam daerahGolongan 4Golongan 3Golongan 2
1.01 . 1.01.02 . 17.85 ;Pembangunan Laboratorium dan Ruang Pratikum Sekolah (Labotatorium Bahasa, Komputer, IPA, IPS dan Lain-Lain) SMK;2.677.150.000,00;1.649.197.500,00;-1.027.952.500,00;-38,4;Sumber Dana : Dana Alokasi Khusus (D A K)
1.01 . 1.01.02 . 17.85 . 5.2.1 ;Belanja Pegawai ;430.690.000,00;2.760.000,00;-427.930.000,00;-99,36;
1.01 . 1.01.02 . 17.85 . 5.2.1.01 ;Honorarium PNS ;35.610.000,00;2.760.000,00;-32.850.000,00;-92,25;
1.01 . 1.01.02 . 17.85 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;3.260.000,00;2.760.000,00;-500.000,00;-15,34;"Honorarium penitia pelaksana kegiatan
Honorarium panitia pelaksana kegiatan1 org/bjj x 1.110.000,00 = 1.110.000,00
Honorarium tim peneliti SPJ4 org x 150.000,00 = 600.000,00
Honorarium tim menitoring dan evaluasi7 org/bjj x 150.000,00 = 1.050.000,00"
1.01 . 1.01.02 . 17.85 . 5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;850.000,00;0;-850.000,00;-100;"Honor tim pengadaan barang dan jasa
Honor pejabat pembuat komitmen1 org x 0,00 = 0,00"
1.01 . 1.01.02 . 17.85 . 5.2.1.01.05 ;Honorarium Staf Ahli ;31.500.000,00;0;-31.500.000,00;-100;"Honor tenaga ahli (DAK)
Honor perencana bangunan/pengawas bangunan (DAK)1 paket x 0,00 = 0,00
Honor perencana/perancang bangunan (DAK)"
1.01 . 1.01.02 . 17.85 . 5.2.1.02 ;Honorarium Non PNS ;395.080.000,00;0;-395.080.000,00;-100;
1.01 . 1.01.02 . 17.85 . 5.2.1.02.02 ;Honorarium Pegawai Honorer/Tidak Tetap ;395.080.000,00;0;-395.080.000,00;-100;"Honorarium harian
Upah pekerja bangunan dan pekerja perabot pembangunan  laboratorium SMK (DAK)"
1.01 . 1.01.02 . 17.85 . 5.2.2 ;Belanja Barang dan Jasa ;615.897.500,00;15.875.000,00;-600.022.500,00;-97,42;
1.01 . 1.01.02 . 17.85 . 5.2.2.01 ;Belanja Bahan Pakai Habis ;600.000,00;10.000.000,00;9.400.000,00;1.566,67;
1.01 . 1.01.02 . 17.85 . 5.2.2.01.01 ;Belanja Alat Tulis Kantor ;600.000,00;10.000.000,00;9.400.000,00;1.566,67;Belanja ATK1 ls x 10.000.000,00 = 10.000.000,00
1.01 . 1.01.02 . 17.85 . 5.2.2.02 ;Belanja Bahan/Material ;592.620.000,00;0;-592.620.000,00;-100;
1.01 . 1.01.02 . 17.85 . 5.2.2.02.01 ;Belanja Bahan Baku untuk Bangunan / Kegiatan Pelayanan / Kegiatan Operasi;592.620.000,00;0;-592.620.000,00;-100;"Belanja bahan baku bangunan dan bahan perabot laboratorium SMK (DAK)
Belanja bahan baku bangunan dan bahan perabot pembangunan laboratorium SMK (DAK)"
1.01 . 1.01.02 . 17.85 . 5.2.2.03 ;Belanja Jasa Kantor ;200.000,00;0;-200.000,00;-100;
1.01 . 1.01.02 . 17.85 . 5.2.2.03.13 ;Belanja Dokumentasi ;200.000,00;0;-200.000,00;-100;Belanja dokumentasiBelanja dokumentasi kegiatan1 keg x 0,00 = 0,00
1.01 . 1.01.02 . 17.85 . 5.2.2.06 ;Belanja Cetak/Penggandaan/Dokumentasi ;187.500,00;1.500.000,00;1.312.500,00;700;
1.01 . 1.01.02 . 17.85 . 5.2.2.06.02 ;Belanja Penggandaan/Foto Copy ;187.500,00;1.500.000,00;1.312.500,00;700;"Belanja penggadaan/fotocoy
Belanja penggandaan/fotocopy10,000 lbr x 150,00 = 1.500.000,00"
1.01 . 1.01.02 . 17.85 . 5.2.2.11 ;Belanja Makanan Dan Minuman ;8.750.000,00;4.375.000,00;-4.375.000,00;-50;
1.01 . 1.01.02 . 17.85 . 5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;5.250.000,00;2.625.000,00;-2.625.000,00;-50;"Belanja makanan dan minuman rapat150 org x 0,00 = 0,00
Belanja MMR (DID)150 org x 17.500,00 = 2.625.000,00"
1.01 . 1.01.02 . 17.85 . 5.2.2.11.05 ;Belanja makanan dan minuman pelaksanaan kegiatan;3.500.000,00;1.750.000,00;-1.750.000,00;-50;"Belanja makanan dan minuman kegiatan
Belanja makanan dan minuman kegiatan/sosialisasi (DAK)100 org x 0,00 = 0,00
Belanja MMK (DID)100 org x 17.500,00 = 1.750.000,00"
1.01 . 1.01.02 . 17.85 . 5.2.2.15 ;Belanja Perjalanan Dinas ;9.040.000,00;0;-9.040.000,00;-100;
1.01 . 1.01.02 . 17.85 . 5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;3.640.000,00;0;-3.640.000,00;-100;"Belanja perjalanan dinas dalam daerahGolongan 440 org x 0,00 = 0,00
Golongan 335 org x 0,00 = 0,00Golongan 28 org x 0,00 = 0,00"
1.01 . 1.01.02 . 17.85 . 5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;5.400.000,00;0;-5.400.000,00;-100;Belanja biaya perjalanan dinas luar daerahGolongan 3 dan atau 4
1.01 . 1.01.02 . 17.85 . 5.2.2.34 ;Honorarium Pelaksanaan Kegiatan ;4.500.000,00;0;-4.500.000,00;-100;
1.01 . 1.01.02 . 17.85 . 5.2.2.34.01 ;Honorarium Nara Sumber/Moderator/Tenaga Ahli ;4.500.000,00;0;-4.500.000,00;-100;"Honor narasumber sosialisasi
Honor narasumer sosialisasi10 org x 0,00 = 0,00
Honor moderator10 org x 0,00 = 0,00"
1.01 . 1.01.02 . 17.85 . 5.2.3 ;Belanja Modal ;1.630.562.500,00;1.630.562.500,00;0;0;
1.01 . 1.01.02 . 17.85 . 5.2.3.26 ;Belanja Modal Pengadaan Konstruksi/Pembelian Bangunan;1.630.562.500,00;1.630.562.500,00;0;0;
1.01 . 1.01.02 . 17.85 . 5.2.3.26.08 ;Belanja Modal Pengadaan Konstruksi/Pembelian Gedung Laboratorium;1.630.562.500,00;1.630.562.500,00;0;0;"Belanja modal pengadaan Konstruksi/Pembelian Gedung Laboratorium
Pembangunan gedung/laboratorium seni pertunjukan SMKN I Kasihan (DID)1 paket x 800.000.000,00 = 800.000.000,00
Pembangunan gedung/laboratorium patiseri beserta perlengkapannya SMKN I Sewon (DID)1 paket x 800.000.000,00 = 800.000.000,00
Honor PPK1 org x 1.000.000,00 = 1.000.000,00
Honor panitia pengadaan1 tim/bjj x 1.950.000,00 = 1.950.000,00
Honor penerima barang1 tim/bjj x 2.500.000,00 = 2.500.000,00
Honor perencana bangunan2 org x 4.000.000,00 = 8.000.000,00
Honor pengawas bangunan2 tim x 2.000.000,00 = 4.000.000,00
Perjalanan dinas golongan 435 org x 50.000,00 = 1.750.000,00
Perjalanan dinas golongan 330 org x 40.000,00 = 1.200.000,00
Perjalanan dinas golonagn 220 org x 30.000,00 = 600.000,00
Belanja MMK60 org x 17.500,00 = 1.050.000,00
Belanja MMR75 org x 17.500,00 = 1.312.500,00
Honor narasumber sosialisasi4 org x 300.000,00 = 1.200.000,00
Honor moderator sosialisasi4 org x 1.500.000,00 = 6.000.000,00"
1.01 . 1.01.02 . 17.86 ;Pembangunan Pepustakaan Sekolah SMK ;1.647.347.500,00;204.847.500,00;-1.442.500.000,00;-87,57;Sumber Dana : Dana Alokasi Khusus (D A K)
1.01 . 1.01.02 . 17.86 . 5.2.1 ;Belanja Pegawai ;561.720.000,00;1.760.000,00;-559.960.000,00;-99,69;
1.01 . 1.01.02 . 17.86 . 5.2.1.01 ;Honorarium PNS ;3.960.000,00;1.760.000,00;-2.200.000,00;-55,56;
1.01 . 1.01.02 . 17.86 . 5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;2.960.000,00;1.760.000,00;-1.200.000,00;-40,54;"Honorarium pelaksana kegiatan
Honorarium panitia pelaksana kegiatan1 org/bjj x 1.310.000,00 = 1.310.000,00
HOnorarium peneliti SPJ3 org x 150.000,00 = 450.000,00
Honorarium tim menotiring dan evaluasi (DAK)8 org x 0,00 = 0,00"
