Judul,PENJABARAN APenjabaran Anggaran Pendaptan dan Belanja DaerahPBD,,
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 10 . 01,Belanja Sewa Meja Kursi,9585000,"APBD 
Belanja sewa meja kursiSewa kursi biasa200 bh x 2.500,00 = 500.000,00
Kursi VVIP20 bh x 60.000,00 = 1.200.000,00
Meja VVIP5 bh x 25.000,00 = 125.000,00
Kursi VVIP20 bh x 5.000,00 = 100.000,00
Meja dan taplak22 bh x 5.000,00 = 110.000,00
Meja konsumsi30 bh x 35.000,00 = 1.050.000,00
Sewa tenda VIP3 bh x 500.000,00 = 1.500.000,00
Sewa tenda15 bh x 200.000,00 = 3.000.000,00
Sewa sound system1 pkt x 1.000.000,00 = 1.000.000,00
Sewa panggung1 pkt x 1.000.000,00 = 1.000.000,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,35750000,
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,7500000,"APBD
 Belanja makan dan minum rapat koord tk Kab,Makan, minum, snack300 oh x 25.000,00 = 7.500.000,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,28250000,"APBD
 Belanja makan inum pelaksanaan kegiatanMakan prasmanan200 or x 35.000,00 = 7.000.000,00
Minum dan snack peserta jalan sehat2,500 or x 7.500,00 = 18.750.000,00
Makan minum, snack bhakti sosial100 or x 25.000,00 = 2.500.000,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,21375000,
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,575000,"APBD
 Belanja perjalanan dinas dalam daerahGol. IV5 oh x 45.000,00 = 225.000,00
Gol. III10 oh x 35.000,00 = 350.000,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,20800000,"APBD 
Gol. IVTiket2 or x 3.000.000,00 = 6.000.000,00
Penginapan (2x2 mlm4 or x 900.000,00 = 3.600.000,00
Uang makan (2 x 3 hr)6 or x 150.000,00 = 900.000,00
Uang saku (2 x 3 hr)6 or x 400.000,00 = 2.400.000,00
Transport lokal (2 x 3 hr)6 or x 250.000,00 = 1.500.000,00
Gol. IIITiket1 or x 3.000.000,00 = 3.000.000,00
Penginapan (1 x 2 mlm)2 or x 800.000,00 = 1.600.000,00
Uang makan (1 x 3 hr)3 or x 150.000,00 = 450.000,00
Uang saku (1 x 3 hr)3 or x 350.000,00 = 1.050.000,00
Transport lokal (1 x 3 hr)3 or x 100.000,00 = 300.000,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 33,"Belanja Kursus, Sosialisasi dan Bintek",190000000,
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 33 . 02,Belanja Kursus-kursus/Pelatihan/Bintek,190000000,"APBD
 Belanja bimbingan teknisPeserta jambore190 or x 1.000.000,00 = 190.000.000,00"
1.11 . 1.12.01 . 15,Program keserasian Kebijakan Peningkatan Kualitas Anak dan Perempuan,243640000,
1.11 . 1.12.01 . 15 . 03,"Pelaksanaan sosilaisasi yang terkait dengan kesetaraan gender, pemberdayaan perempuan dan perlindungan anak",40000000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Terselenggaranya koordinasi dan sosialisasi kesetaraan gender PPPA
Target : 376 orang"
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,40000000,
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,355000,
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,355000,"APBD
 Belanja Alat Tulis Kantor
Belanja Alat Tulis kantor Kegiatan Advokasi KIE dan PUG1 Pkt x 355.000,00 = 355.000,00"
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,200000,
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,200000,"APBD Belanja Dekorasi
Belanja Dekorasi Kegiatan Advokasi KIE dan PUG1 Pkt x 200.000,00 = 200.000,00"
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,2449000,
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,2000000,"APBD Belanja Cetak
Belanja Cetak Leaflet1,000 Lembar x 2.000,00 = 2.000.000,00"
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,449000,"APBD Belanja Penggandaan
Belanja PenggandaanAdvokasi KIE dan PUG1 Pkt x 449.000,00 = 449.000,00"
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,10446000,
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,3300000,"APBD Belanja Makan Minum Snack Rapat Koordinasi Advokasi KIE dan PUGSnack dan Minum APE 40 x 3120 Org x 10.000,00 = 1.200.000,00
Makan dan Minum APE 40 x 3120 Org x 17.500,00 = 2.100.000,00"
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,7146000,"APBD 
Belanja Makan Minum Pelaksanaan Kegiatan PUG Tingkt. KabupatenSnackdan Minum Advokasi60 Org x 10.000,00 = 600.000,00
Makan dan Minum Advokasi60 Org x 20.000,00 = 1.200.000,00
Belanja Makan Minum Sosialisasi Tingkat DesaSnack dan Minum Advokasi198 Org x 17.000,00 = 3.366.000,00
Makan dan Minum Advokasi 33 x 6 Desa198 Org x 10.000,00 = 1.980.000,00"
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,12600000,
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,12600000,"APBD
 Belanja Perjalanan Dinas Luar Daerah DKI, Jabodetabek
Uang Harian Golongan IV 2 org x 2 hr x 400.0004 Oh x 400.000,00 = 1.600.000,00
Uang Harian Golongan III 2 org x 2 hr x 350.0004 Oh x 350.000,00 = 1.400.000,00
Tiket Pesawat 2 x 4 org x 900.0008 Oh x 900.000,00 = 7.200.000,00
Penginapan 4 04g x 1 hr x 600.0004 Oh x 600.000,00 = 2.400.000,00"
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",7650000,
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,7650000,"APBD
 Honorarium Tenaga Ahli/Instruktur/Nara Sumber
Honor Narasumber Advokasi KIE dan PUG 8 Jpl8 Jpl x 250.000,00 = 2.000.000,00
Honor Moderator1 Org x 250.000,00 = 250.000,00
Honorarium Narasumber Sosialisasi Gender, Perlindungan Perempuan dan Anak 3 org x 6 Desa18 Jpl x 300.000,00 = 5.400.000,00"
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 36,Belanja Jasa Transport Petugas/Peserta,6300000,
1.11 . 1.12.01 . 15 . 03 . 5 . 2 . 2 . 36 . 02,Honorarium Peserta Rapat/Sosialisasi,6300000,"APBD
 Honorarium Peserta SosialisasiHonorarium Peserta Sosialisasi 30 x 6 x 35.000180 Org x 35.000,00 = 6.300.000,00"
1.11 . 1.12.01 . 15 . 06,Pengembangan Kabupaten Layak Anak,47400000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya rakor gugus tugas KLH, sosialisasi, pelantikan
Target : 3.350 orang"
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,47400000,
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,810000,
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,810000,"APBD
 Belanja Alat Tulis KantorATK kegiatan1 Pkt x 310.000,00 = 310.000,00
ATK pelatihan FONABA1 Pkt x 500.000,00 = 500.000,00"
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,200000,
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,200000,"APBD
 Belanja Dekorasi1 Buah x 200.000,00 = 200.000,00"
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,290000,
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,290000,"APBD
 Belanja PenggandaanBelanja Penggandaan Pelatihan FONABA1 Pkt x 290.000,00 = 290.000,00"
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 07,Belanja Sewa Rumah/Gedung/Gudang/Parkir,6000000,
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 07 . 05,Belanja Sewa Kamar Hotel/Penginapan,6000000,"APBD
 Belanja Sewa Penginapan/HotelBelanja Sewa Penginapan/Hotel 3 x 40 x 50.000120 Oh x 50.000,00 = 6.000.000,00"
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 08,Belanja Sewa Sarana Mobilitas,1000000,
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 08 . 01,Belanja Sewa Sarana Mobilitas Darat,1000000,"APBD
 Belanja Sewa Sarana Mobilitas DaratBelanja Sewa Bus 2 x 500.0002 Hr x 500.000,00 = 1.000.000,00"
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,28125000,
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,3375000,"APBD 
Belanja Makan Minum Rapat Gugus Tugas KLA Tingkat Kabupaten
Snack Minum 50 x 3 x 7.500150 Org x 7.500,00 = 1.125.000,00
Makan Minum 50 x 3 x 15.000150 Org x 15.000,00 = 2.250.000,00"
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,24750000,"APBD 
Belanja Makan Minum Pelaksanaan Pelatihan FONABASnack Minum 8 x 40 x 7.500320 Org x 7.500,00 = 2.400.000,00
Makan Minum 7 x 40 org x 20.000280 Org x 20.000,00 = 5.600.000,00
Belanja Makan Minum PelantikanMakan Minum 7 x 50 x 17.500350 Org x 17.500,00 = 6.125.000,00
Belanja Makan Minum Sosialisasi KLA KecamatanSnack Minum 17 x 50 x 12.500850 Org x 12.500,00 = 10.625.000,00"
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",8275000,
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,8275000,"APBD 
Honorarium Nara Sumber/Moderator/Tenaga AhliNarasumber Pelatihan FONABA 3 x 10 Jpl30 Jpl x 150.000,00 = 4.500.000,00
Moderator Pelatihan FONABA3 Oh x 100.000,00 = 300.000,00
Narasumber Rakor GT KLA Kabupaten 3 x 1 Jpl3 Jpl x 225.000,00 = 675.000,00
Narasumber Pelatihan 7 x 2 Jpl14 Jpl x 200.000,00 = 2.800.000,00"
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 36,Belanja Jasa Transport Petugas/Peserta,2700000,
1.11 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 36 . 02,Honorarium Peserta Rapat/Sosialisasi,2700000,"APBD 
Honor Peserta PelatihanHonor Peserta Pelatihan FONABA 300 Org x 3 hr x 30.00090 Org x 30.000,00 = 2.700.000,00"
1.11 . 1.12.01 . 15 . 07,Bimbingan Managemen Usaha Bagi perempuam Dalam Mengelola Usaha,14330000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya bimbingan manajemen desa prima
Target : 130 orang"
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 1,Belanja Pegawai,0,
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD 
Honorarium Panitia Pelaksanaan KegiatanKetua Tim0 Oh x 100.000,00 = 0,00
Sekretaris0 Oh x 90.000,00 = 0,00
Anggota 6 org0 Org x 80.000,00 = 0,00"
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,14330000,
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,750000,
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,750000,"APBD
 Belanja Alat Tulis KantorBelanja ATK Kegiatan1 Pkt x 750.000,00 = 750.000,00"
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,150000,
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 03 . 15,Belanja Publikasi,150000,"APBD
 Belanja PublikasiBelanja Spanduk1 Pkt x 150.000,00 = 150.000,00"
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,430000,
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,430000,"APBD 
Belanja Penggandaan1 Pkt x 430.000,00 = 430.000,00"
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,3850000,
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,250000,"APBD
 Belanja Makan Minum RapatSnack Minum Rakor 1 x 10 x 7.50010 Org x 7.500,00 = 75.000,00
Makan Minum Rakor 1 x 10 x 17.50010 Org x 17.500,00 = 175.000,00"
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,3600000,"APBD
 Belanja Makan Minum KegiatanSnack Minum Kegiatan 3 x 40 x 7.500120 Org x 10.000,00 = 1.200.000,00
Makan Minum Kegiatan 3 x 40 x 20.000120 Org x 20.000,00 = 2.400.000,00"
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",6450000,
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,6450000,"APBD
 Belanja Jasa Narasumber/Moderator/Tenaga AhliNarasumber30 Jpl x 200.000,00 = 6.000.000,00
Moderator3 Oh x 150.000,00 = 450.000,00"
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 36,Belanja Jasa Transport Petugas/Peserta,2700000,
1.11 . 1.12.01 . 15 . 07 . 5 . 2 . 2 . 36 . 02,Honorarium Peserta Rapat/Sosialisasi,2700000,"APBD
 Honorarium PesertaHonorarium Peserta 3 x 30 org x 30.00090 Org x 30.000,00 = 2.700.000,00"
1.11 . 1.12.01 . 15 . 08,Operasional Gabungan Organisasi Wanita,43000000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya kegiatan operasional gabungan organisasi wanita
Target : 958 orang"
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 1,Belanja Pegawai,2255000,
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 1 . 01,Honorarium PNS,2255000,
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,2255000,"APBD 
Honorarium Panitia Pelaksanaan KegiatanKetua1 Org x 200.000,00 = 200.000,00
Sekretaris1 Org x 180.000,00 = 180.000,00
Bendahara1 Org x 175.000,00 = 175.000,00
Anggota10 Org x 170.000,00 = 1.700.000,00"
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,40745000,
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,527000,
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,500000,"APBD 
Belanja Alat Tulis KantorBelanja ATK Kegiatan1 Pkt x 500.000,00 = 500.000,00"
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",27000,"APBD
 Belanja MateraiMaterai 30003 Lbr x 3.000,00 = 9.000,00
Materai 60003 Lbr x 6.000,00 = 18.000,00"
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,14400000,
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 03 . 12,Belanja Transportasi dan Akomodasi,14000000,"APBD 
Belanja Transportasi dan AkomodasiBelanja Kunjungan Kerja GOW1 Ls x 14.000.000,00 = 14.000.000,00"
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,400000,"APBD
 Belanja Dekorasi2 Pkt x 200.000,00 = 400.000,00"
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,468000,
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,468000,"APBD
 Belanja Penggandaan1 Pkt x 468.000,00 = 468.000,00"
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,23100000,
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,14850000,"APBD 
Belanja Makan Minum Rapat KoordinasiSnack Minum 11 Bln x 54 Org x 7.500594 Org x 7.500,00 = 4.455.000,00
Makan Minum 11 Bln x 54 Org x 17.500594 Org x 17.500,00 = 10.395.000,00"
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,8250000,"APBD
 Belanja Makan Minum Pelaksanaan Kegiatan UpacaraJamuan Makan 2 x 150 Org x 20.000300 Org x 20.000,00 = 6.000.000,00
Snack Minum 2 x 150 org x 7.500300 Org x 7.500,00 = 2.250.000,00"
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",2250000,
1.11 . 1.12.01 . 15 . 08 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,2250000,"APBD
 Jasa Narasumber/Moderator/Tenaga AhliNarasumber 2 x 2 Org x 2 Jpl8 Jpl x 250.000,00 = 2.000.000,00
Moderator1 Org x 250.000,00 = 250.000,00"
1.11 . 1.12.01 . 15 . 09,Penunjang Kegiatan Dharma Wanita,55000000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya kegiatan DWP
Target : 1.448 orang"
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 1,Belanja Pegawai,1200000,
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 1 . 01,Honorarium PNS,1200000,
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,1200000,"APBD
 Honorarium Panitia Pelaksanan Kegiatan
Honorarium Tim Sekretariat 2 Org x 48 Org x 150.000,00 = 1.200.000,00"
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,53800000,
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1500000,
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1500000,"APBD
 Belanja Alat Tulis Kantor SekretariatBelanja ATK Sekretariat1 Pkt x 1.500.000,00 = 1.500.000,00"
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 02,Belanja Bahan/Material,8000000,
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 02 . 07,Belanja Cindera Mata,1000000,"APBD
 Belanja CinderamataTrophy/Piala Lomba Pidato Bahasa Jawa1 Pkt x 1.000.000,00 = 1.000.000,00"
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 02 . 08,Belanja Bahan Makanan,7000000,"APBD 
Belanja Bahan MakananBelanja Paket Sembako1 Pkt x 7.000.000,00 = 7.000.000,00"
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,1700000,
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,1700000,"APBD
 Belanja DekorasiDekorasi puncak Acara DWF1 Pkt x 500.000,00 = 500.000,00
Dekorasi Lomba Kreatifitas Kerajinan Sampah1 Pkt x 200.000,00 = 200.000,00
Dekorasi Seminar Peran Perempuan di Ranah Publik1 Pkt x 200.000,00 = 200.000,00
Dekorasi Pelatihan Memasak1 Pkt x 200.000,00 = 200.000,00
Dekorasi Pelatihan Pengolahan Sampah1 Pkt x 200.000,00 = 200.000,00
Dekorasi Pengajian1 Pkt x 200.000,00 = 200.000,00
Dekorasi Seminar Parenting1 Pkt x 200.000,00 = 200.000,00"
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,5100000,
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,1500000,"APBD
 Belanja CetakBelanja Cetak Undangan1 Pkt x 1.500.000,00 = 1.500.000,00"
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,3600000,"APBD 
Belanja PenggandaanPenggandaan Sekretariat DWP1 Pkt x 1.000.000,00 = 1.000.000,00
Penggandaan Puncak Acara DWP1 Pkt x 500.000,00 = 500.000,00
Penggandaan Lomba Kreatifitas Kerajinan Sampah1 Pkt x 200.000,00 = 200.000,00
Penggandaan Seminar Peran Serta Perempuan di Ranah Publik1 Pkt x 400.000,00 = 400.000,00
Penggandaan Pelatihan Memasak1 Pkt x 400.000,00 = 400.000,00
Penggandaan Pelatihan Pengolahan Sampah1 Pkt x 300.000,00 = 300.000,00
Penggandaan Pengajian1 Pkt x 400.000,00 = 400.000,00
Penggandaan Seminar Parentig1 Pkt x 400.000,00 = 400.000,00"
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,31550000,
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,11550000,"APBD
 Belanja Makan Minum RapatSnack Minum 35 org x 11 x 10.000385 Org x 10.000,00 = 3.850.000,00
Makan Minum Rapat koordinasi 35 org x 11 x 20.000385 Org x 20.000,00 = 7.700.000,00"
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,20000000,"APBD
 Belanja Makan MInum Pelaksanaan Kegiatan Puncak Acara DWPSnack Minum 250 Org x 10.000250 Org x 10.000,00 = 2.500.000,00
Makan Minum 250 org x 30.000250 Org x 30.000,00 = 7.500.000,00
Belanja Makan Minum Pelaksanaan Kegiatan Lomba Kreatifitas Kerajinan SampahSnack Minum 120 org x 10.000120 Org x 10.000,00 = 1.200.000,00
Belanja Makan Minum Pelaksanaan Kegiatan Seminar Peran Serta Perempuan di Ranah PublikSnack Minum 120 org x 10.000120 Org x 10.000,00 = 1.200.000,00
Belanja Makan Minum Pelaksanaan Kegiatan MemasakSnack Minum 120 org x 10.000120 Org x 10.000,00 = 1.200.000,00
Belanja Makan Minum Pelatihan Pengolahan SampahSnack Minum 120 Org x 10.000120 Org x 10.000,00 = 1.200.000,00
Belanja Makan Minum SyawalanMakan Minum Syawalan 200 Org x 20.000200 Org x 20.000,00 = 4.000.000,00
Belanja Makan Minum Seminar ParentingSnack Minum 120 org x 10.000120 Org x 10.000,00 = 1.200.000,00"
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",5950000,
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,4600000,"APBD 
Jasa Narasumber/Moderator/Tenaga AhliNarasumber Seminar Peran Perempuan Di Ranah4 Jpl x 200.000,00 = 800.000,00
Narasumber Pelatihan Memasak4 Jpl x 175.000,00 = 700.000,00
Narasumber Pelatihan Pengolahan Sampah4 Jpl x 200.000,00 = 800.000,00
Tenaga Ahli Doter1 Jpl x 500.000,00 = 500.000,00
Narasumber Pengajian2 Jpl x 250.000,00 = 500.000,00
Narasumber Seminar Parenting4 Jpl x 200.000,00 = 800.000,00
Narasumber Dekor Taman1 Org x 500.000,00 = 500.000,00"
1.11 . 1.12.01 . 15 . 09 . 5 . 2 . 2 . 35 . 02,Jasa Yuri Perlombaan/Pelatih,1350000,"APBD 
Honorarium Yuri Perlombaan/PelatihHonor Instruktu/Pelatihr Elektone1 Org x 750.000,00 = 750.000,00
YuriLomba Kreatifitas Kerajinan Sampah3 Org x 200.000,00 = 600.000,00"
1.11 . 1.12.01 . 15 . 10,Penguatan Kelembagaan Pengarustamaan Gender dan Anak,43910000,"Sumber Dana : APBD
Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya kegiatan Pokja PUG, Pelatihan dan Pelaksanaan
Target : 629 orang"
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 1,Belanja Pegawai,0,
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD
 Honorarium Panitia PelaksanaPembina0 Org x 200.000,00 = 0,00
Wakil Pembina0 Org x 180.000,00 = 0,00
Pengarah/Penasehat0 Org x 170.000,00 = 0,00
Ketua0 Org x 150.000,00 = 0,00Sekretaris0 Org x 140.000,00 = 0,00
Anggota0 Org x 125.000,00 = 0,00"
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,43910000,
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,357000,
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,330000,"APBD 
Belanja Alat Tulis KantorBelanja ATK Kegiatan PPRG dan Vocal Point1 Pkt x 330.000,00 = 330.000,00"
1.11 . 1.12.01 . 15 . 10 . 5 . 2 . 2 . 01 . 04,"Belanja Perangko, Materai Dan Benda Pos",27000,"APBD 
Belanja MateraiMaterai 30003 Lbr x 3.000,00 = 9.000,00
Materai 60003 Lbr x 6.000,00 = 18.000,00"
