Judul, Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,,,,,
Daerah,Kota Yogyakarta,,,,,,,,,,
Tahun,2016,,,,,,,,,,
Kode Organisasi,1.01.01,,,,,,,,,,
Nama OrganisasiDinas Pendidikan,,,,,,,,,,,
Kolom,4,,,,,,,,,,
KODE REKENING ,URAIAN ,ANGGARAN ,PENJELASAN,,,,,,,,
1.01.1.01.01.011.004.5.2.2.32.02 ,Belanja Uang Untuk Diberikan Kepada Masyarakat ,124250000,Belanja Uang Untuk Diberikan Kepada Masyarakat 124250000 Lokasi Kegiatan Kecamatan DanurejanJuara 1 O2SN SMA 22000000 Juara 2 O2SN SMA 16500000 Juara 3 O2SN SMA 11000000 Juara 1 O2SN SMK 4000000 Juara 2 O2SN SMK 3000000 Juara 3 O2SN SMK 2000000 Juara 1 Futsal SMK 3500000 Juara 2 Futsal SMK 2500000 Juara 3 Futsal SMK 1750000 Juara 1 Invitasi Voli SMA/ SMK 7000000 Juara 2 Invitasi Voli SMA/ SMK 5000000 Juara 3 Invitasi Voli SMA/ SMK 3500000 Juara 1 Invitasi Basket SMK 7000000 Juara 2 Invitasi Basket SMK 5000000 Juara 3 Invitasi Basket SMK 3500000 Juara 1 FLSSN SMA 12000000 Juara 2 FLSSN SMA 9000000 Juara 3 FLSSN SMA 6000000,,,,,,,,
1.01.1.01.01.011.005 ,Operasional Unit Produksi SMK N 4 Yogyakarta ,179302500,,,,,,,,,
1.01.1.01.01.011.005.5.2.1 ,BELANJA PEGAWAI ,54575000,,,,,,,,,
1.01.1.01.01.011.005.5.2.1.01 ,Honorarium PNS ,33125000,,,,,,,,,
1.01.1.01.01.011.005.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,33125000,Honorarium Panitia Pelaksana Kegiatan 33125000,,,,,,,,
1.01.1.01.01.011.005.5.2.1.02 ,Honorarium Non PNS ,21450000,,,,,,,,,
1.01.1.01.01.011.005.5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,21450000,Honorarium Pegawai Honorer/Tidak Tetap 21450000,,,,,,,,
1.01.1.01.01.011.005.5.2.2 ,BELANJA BARANG DAN JASA ,124727500,,,,,,,,,
1.01.1.01.01.011.005.5.2.2.01 ,Belanja Bahan Pakai Habis ,3940000,,,,,,,,,
1.01.1.01.01.011.005.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,973000,Belanja  Alat Tulis Kantor 973000,,,,,,,,
1.01.1.01.01.011.005.5.2.2.01.03 ,Belanja Alat Listrik Dan Elektronik ,215000,Belanja Alat Listrik Dan Elektronik 215000,,,,,,,,
1.01.1.01.01.011.005.5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,2302000,Belanja Peralatan Kebersihan Dan Bahan Pembersih 2302000,,,,,,,,
1.01.1.01.01.011.005.5.2.2.01.06 ,Belanja Bahan Bakar Minyak/Gas ,450000,Belanja Bahan Bakar Minyak/Gas 450000,,,,,,,,
1.01.1.01.01.011.005.5.2.2.02 ,Belanja Bahan/Material ,2250000,,,,,,,,,
1.01.1.01.01.011.005.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,2250000,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 2250000,,,,,,,,
1.01.1.01.01.011.005.5.2.2.03 ,Belanja Jasa Kantor ,109132500,,,,,,,,,
1.01.1.01.01.011.005.5.2.2.03.01 ,Belanja Telepon ,4200000,Belanja Telepon 4200000,,,,,,,,
1.01.1.01.01.011.005.5.2.2.03.03 ,Belanja Listrik ,18000000,Belanja Listrik 18000000,,,,,,,,
1.01.1.01.01.011.005.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,49627050,Belanja Jasa Penyedia /Tenaga Teknis 49627050,,,,,,,,
1.01.1.01.01.011.005.5.2.2.03.30 ,Belanja Pajak ,37305450,Belanja Pajak 37305450,,,,,,,,
1.01.1.01.01.011.005.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,455000,,,,,,,,,
1.01.1.01.01.011.005.5.2.2.06.01 ,Belanja Cetak ,455000,Belanja Cetak 455000,,,,,,,,
1.01.1.01.01.011.005.5.2.2.11 ,Belanja Makanan Dan Minuman ,8950000,,,,,,,,,
1.01.1.01.01.011.005.5.2.2.11.03 ,Belanja Makanan Dan Minuman Tamu ,8950000,Belanja Makanan Dan Minuman Tamu 8950000,,,,,,,,
1.01.1.01.01.011.006 ,Operasional Unit Produksi SMK N 6 Yogyakarta ,770264477,,,,,,,,,
1.01.1.01.01.011.006.5.2.1 ,BELANJA PEGAWAI ,52550000,,,,,,,,,
1.01.1.01.01.011.006.5.2.1.01 ,Honorarium PNS ,50800000,,,,,,,,,
1.01.1.01.01.011.006.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,50800000,Honorarium Panitia Pelaksana Kegiatan 50800000,,,,,,,,
1.01.1.01.01.011.006.5.2.1.02 ,Honorarium Non PNS ,1750000,,,,,,,,,
1.01.1.01.01.011.006.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,1750000,Honorarium Panitia Pelaksana Kegiatan 1750000,,,,,,,,
1.01.1.01.01.011.006.5.2.2 ,BELANJA BARANG DAN JASA ,717714477,,,,,,,,,
1.01.1.01.01.011.006.5.2.2.01 ,Belanja Bahan Pakai Habis ,48762000,,,,,,,,,
1.01.1.01.01.011.006.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,7648200,Belanja  Alat Tulis Kantor 7648200,,,,,,,,
1.01.1.01.01.011.006.5.2.2.01.03 ,Belanja Alat Listrik Dan Elektronik ,6200000,Belanja Alat Listrik Dan Elektronik 6200000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.01.04 ,Belanja Perangko  Materai  dan Benda Pos ,864000,Belanja Perangko  Materai  dan Benda Pos 864000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,31229800,Belanja Peralatan Kebersihan Dan Bahan Pembersih 31229800,,,,,,,,
1.01.1.01.01.011.006.5.2.2.01.06 ,Belanja Bahan Bakar Minyak/Gas ,2300000,Belanja Bahan Bakar Minyak/Gas 2300000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.01.07 ,Belanja Pengisian Tabung Pemadam Kebakaran ,520000,Belanja Pengisian Tabung Pemadam Kebakaran 520000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.02 ,Belanja Bahan/Material ,200000,,,,,,,,,
1.01.1.01.01.011.006.5.2.2.02.04 ,Belanja Bahan Obat-Obatan ,200000,Belanja Bahan Obat-Obatan 200000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.03 ,Belanja Jasa Kantor ,414053677,,,,,,,,,
1.01.1.01.01.011.006.5.2.2.03.01 ,Belanja Telepon ,7800000,Belanja Telepon 7800000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.03.03 ,Belanja Listrik ,96000000,Belanja Listrik 96000000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.03.05 ,Belanja Surat Kabar/Majalah ,780000,Belanja Surat Kabar/Majalah 780000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.03.06 ,Belanja Kawat/Faxsimili/Internet ,18000000,Belanja Kawat/Faxsimili/Internet 18000000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.03.11 ,Belanja Jasa Media Massa ,1000000,Belanja Jasa Media Massa 1000000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.03.14 ,Belanja Retribusi/Tiket ,480000,Belanja Retribusi/Tiket 480000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.03.22 ,Belanja PBB ,11500000,Belanja PBB 11500000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,198508200,Belanja Jasa Penyedia /Tenaga Teknis 198508200,,,,,,,,
1.01.1.01.01.011.006.5.2.2.03.30 ,Belanja Pajak ,79985477,Belanja Pajak 79985477,,,,,,,,
1.01.1.01.01.011.006.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,12445000,,,,,,,,,
1.01.1.01.01.011.006.5.2.2.06.01 ,Belanja Cetak ,11095000,Belanja Cetak 11095000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.06.02 ,Belanja Penggandaan ,1350000,Belanja Penggandaan 1350000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,9500000,,,,,,,,,
1.01.1.01.01.011.006.5.2.2.07.02 ,Belanja Sewa Gedung/Kantor/Tempat ,9500000,Belanja Sewa Gedung/Kantor/Tempat 9500000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,3500000,,,,,,,,,
1.01.1.01.01.011.006.5.2.2.10.11 ,Belanja Sewa Koneksi Jaringan/TV Kabel ,3500000,Belanja Sewa Koneksi Jaringan/TV Kabel 3500000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.11 ,Belanja Makanan Dan Minuman ,146080000,,,,,,,,,
1.01.1.01.01.011.006.5.2.2.11.03 ,Belanja Makanan Dan Minuman Tamu ,146080000,Belanja Makanan Dan Minuman Tamu 146080000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.20 ,Belanja Pemeliharaan ,83173800,,,,,,,,,
1.01.1.01.01.011.006.5.2.2.20.03 ,Belanja Pemeliharaan Bangunan Pemerintah ,35000000,Belanja Pemeliharaan Bangunan Pemerintah 35000000,,,,,,,,
1.01.1.01.01.011.006.5.2.2.20.04 ,Belanja Pemeliharaan Peralatan Dan Perlengkapan  Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio ,48173800,Belanja Pemeliharaan Peralatan Dan Perlengkapan 48173800 Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio,,,,,,,,
1.01.1.01.01.012 ,Program Peningkatan dan Pemerataan Kualitas Pendidikan Non Formal dan Informal,3582468585,,,,,,,,,
1.01.1.01.01.012.001 ,Penguatan Kelembagaan PAUD ,2058904400,,,,,,,,,
1.01.1.01.01.012.001.5.2.1 ,BELANJA PEGAWAI ,92200000,,,,,,,,,
1.01.1.01.01.012.001.5.2.1.01 ,Honorarium PNS ,14875000,,,,,,,,,
1.01.1.01.01.012.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,14500000,Honorarium Panitia Pelaksana Kegiatan 14500000,,,,,,,,
1.01.1.01.01.012.001.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,375000,Honorarium Tim Pengadaan Barang dan Jasa 375000,,,,,,,,
1.01.1.01.01.012.001.5.2.1.02 ,Honorarium Non PNS ,77325000,,,,,,,,,
1.01.1.01.01.012.001.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,71700000,Honorarium Panitia Pelaksana Kegiatan 71700000,,,,,,,,
1.01.1.01.01.012.001.5.2.1.02.03 ,Honorarium Pelaksana Kegiatan ,5625000,Honorarium Pelaksana Kegiatan 5625000,,,,,,,,
1.01.1.01.01.012.001.5.2.2 ,BELANJA BARANG DAN JASA ,1966704400,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,8050000,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,8050000,Belanja  Alat Tulis Kantor 8050000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.02 ,Belanja Bahan/Material ,192000000,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.02.08 ,Belanja Hadiah/Trophy ,2400000,Belanja Hadiah/Trophy 2400000 Lokasi Kegiatan Kecamatan Danurejan Tropy Lomba Gugus PAUD 200000 Tropy Lomba PAUD Berprestasi 600000 Tropy Lomba Keatifitas Pendidik dan Pengelola PAUD 1600000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.02.09 ,Belanja Bahan Percontohan ,1100000,Belanja Bahan Percontohan 1100000 Workshop Pendamping Anak Berkebutuhan  Khusus Forum PAUD 500000 Workshop Tembang Jawa GOPTKI 600000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.02.10 ,Belanja Alat Peraga ,188500000,Belanja Alat Peraga 188500000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.03 ,Belanja Jasa Kantor ,71244400,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,5075000,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 5075000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,66169400,Belanja Jasa Penyedia /Tenaga Teknis 66169400,,,,,,,,
1.01.1.01.01.012.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,18174000,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.06.02 ,Belanja Penggandaan ,17775000,Belanja Penggandaan 17775000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.06.03 ,Belanja Cetak Foto ,399000,Belanja Cetak Foto 399000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,14400000,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.07.02 ,Belanja Sewa Gedung/Kantor/Tempat ,14000000,Belanja Sewa Gedung/Kantor/Tempat 14000000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.07.03 ,Belanja Sewa Ruang Rapat/Pertemuan ,400000,Belanja Sewa Ruang Rapat/Pertemuan 400000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.08 ,Belanja Sewa Sarana Mobilitas ,12000000,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.08.01 ,Belanja Sewa Sarana Mobilitas Darat ,12000000,Belanja Sewa Sarana Mobilitas Darat 12000000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,33428000,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.10.01 ,Belanja Sewa Meja Kursi ,878000,Belanja Sewa Meja Kursi 878000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.10.05 ,Belanja Sewa Tenda ,900000,Belanja Sewa Tenda 900000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.10.06 ,Belanja Sewa Pakaian Adat/Tradisional ,5250000,Belanja Sewa Pakaian Adat/Tradisional 5250000 421000000000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.10.09 ,Belanja Sewa Perlengkapan/Peralatan ,26400000,Belanja Sewa Perlengkapan/Peralatan 26400000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,230098000,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,230098000,Belanja Makanan Dan Minuman Rapat 230098000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.14 ,Belanja Pakaian Khusus Dan Hari-hari Tertentu ,3250000,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.14.03 ,Belanja Pakaian Batik Tradisional ,2250000,Belanja Pakaian Batik Tradisional 2250000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.14.04 ,Belanja Pakaian Olahraga ,1000000,Belanja Pakaian Olahraga 1000000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.15 ,Belanja Perjalanan Dinas ,118660000,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,76575000,Belanja Perjalanan Dinas Dalam Daerah 76575000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,42085000,Belanja Perjalanan Dinas Luar Daerah 42085000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,1197900000,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,1081000000,Belanja Jasa Tenaga Ahli 1081000000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.31.02 ,Belanja Jasa Instruktur ,75400000,Belanja Jasa Instruktur 75400000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.31.03 ,Belanja Jasa Narasumber ,41350000,Belanja Jasa Narasumber 41350000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.31.04 ,Belanja Jasa Moderator ,150000,Belanja Jasa Moderator 150000,,,,,,,,
1.01.1.01.01.012.001.5.2.2.32 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,67500000,,,,,,,,,
1.01.1.01.01.012.001.5.2.2.32.02 ,Belanja Uang Untuk Diberikan Kepada Masyarakat ,67500000,Belanja Uang Untuk Diberikan Kepada Masyarakat 67500000 Lokasi kegiatan Kecamatan Danurejan Lomba Gugus PAUD Juara 1-3 12750000 Lomba Kreatifitas Pendidik dan Pengelola PAUD Juara 1-3 30000000 Lomba PAUD Berprestasi Juara 1-3 24750000,,,,,,,,
1.01.1.01.01.012.002 ,Penguatan Pendidikan Masyarakat ,883638000,,,,,,,,,
1.01.1.01.01.012.002.5.2.1 ,BELANJA PEGAWAI ,198190000,,,,,,,,,
1.01.1.01.01.012.002.5.2.1.01 ,Honorarium PNS ,106265000,,,,,,,,,
1.01.1.01.01.012.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,106265000,Honorarium Panitia Pelaksana Kegiatan 106265000,,,,,,,,
1.01.1.01.01.012.002.5.2.1.02 ,Honorarium Non PNS ,91925000,,,,,,,,,
1.01.1.01.01.012.002.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,87325000,Honorarium Panitia Pelaksana Kegiatan 87325000,,,,,,,,
1.01.1.01.01.012.002.5.2.1.02.03 ,Honorarium Pelaksana Kegiatan ,4600000,Honorarium Pelaksana Kegiatan 4600000,,,,,,,,
1.01.1.01.01.012.002.5.2.2 ,BELANJA BARANG DAN JASA ,685448000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.01 ,Belanja Bahan Pakai Habis ,3500000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,3500000,Belanja  Alat Tulis Kantor 3500000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.02 ,Belanja Bahan/Material ,7500000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.02.08 ,Belanja Hadiah/Trophy ,7500000,Belanja Hadiah/Trophy 7500000 421000000000 Lokasi Kegiatan Kecamatan Danurejan 421000000000 Lomba Apresiasi PTK PNF 7500000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.03 ,Belanja Jasa Kantor ,300000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,300000,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 300000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,55902000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.06.02 ,Belanja Penggandaan ,55857000,Belanja Penggandaan 55857000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.06.03 ,Belanja Cetak Foto ,45000,Belanja Cetak Foto 45000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,3250000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.07.03 ,Belanja Sewa Ruang Rapat/Pertemuan ,3250000,Belanja Sewa Ruang Rapat/Pertemuan 3250000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,5960000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.10.01 ,Belanja Sewa Meja Kursi ,920000,Belanja Sewa Meja Kursi 920000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.10.05 ,Belanja Sewa Tenda ,2400000,Belanja Sewa Tenda 2400000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.10.09 ,Belanja Sewa Perlengkapan/Peralatan ,2640000,Belanja Sewa Perlengkapan/Peralatan 2640000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,123536000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,123536000,Belanja Makanan Dan Minuman Rapat 123536000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.14 ,Belanja Pakaian Khusus Dan Hari-hari Tertentu ,400000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.14.03 ,Belanja Pakaian Batik Tradisional ,400000,Belanja Pakaian Batik Tradisional 400000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.15 ,Belanja Perjalanan Dinas ,117800000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,97400000,Belanja Perjalanan Dinas Dalam Daerah 97400000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,20400000,Belanja Perjalanan Dinas Luar Daerah 20400000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,262050000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,106800000,Belanja Jasa Tenaga Ahli 106800000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.31.02 ,Belanja Jasa Instruktur ,136200000,Belanja Jasa Instruktur 136200000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.31.03 ,Belanja Jasa Narasumber ,18900000,Belanja Jasa Narasumber 18900000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.31.04 ,Belanja Jasa Moderator ,150000,Belanja Jasa Moderator 150000,,,,,,,,
1.01.1.01.01.012.002.5.2.2.32 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,105250000,,,,,,,,,
1.01.1.01.01.012.002.5.2.2.32.02 ,Belanja Uang Untuk Diberikan Kepada Masyarakat ,105250000,Belanja Uang Untuk Diberikan Kepada Masyarakat 105250000 Lokasi Kegiatan Kecamatan Danurejan Lomba cerdas cermat paket B tingkat kota 4500000 Lomba cerdas cermat paket C tingkat kota 4500000 Lomba tutor paket B tingkat kota 3850000Lomba tutor paket c tingkat kota 3900000 Lomba JBM 15000000 Lomba Apresiasi PTK PNF 63000000 Lomba Lembaga Kursus dan Pelatihan (LKP) 10500000,,,,,,,,
1.01.1.01.01.012.003 ,Penyelenggaraan Kegiatan di SKB ,639926185,,,,,,,,,
1.01.1.01.01.012.003.5.2.1 ,BELANJA PEGAWAI ,31100000,,,,,,,,,
1.01.1.01.01.012.003.5.2.1.01 ,Honorarium PNS ,30050000,,,,,,,,,
1.01.1.01.01.012.003.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,30050000,Honorarium Panitia Pelaksana Kegiatan 30050000,,,,,,,,
1.01.1.01.01.012.003.5.2.1.02 ,Honorarium Non PNS ,1050000,,,,,,,,,
1.01.1.01.01.012.003.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,1050000,Honorarium Panitia Pelaksana Kegiatan 1050000,,,,,,,,
1.01.1.01.01.012.003.5.2.2 ,BELANJA BARANG DAN JASA ,573326185,,,,,,,,,
1.01.1.01.01.012.003.5.2.2.01 ,Belanja Bahan Pakai Habis ,21836000,,,,,,,,,
1.01.1.01.01.012.003.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,21836000,Belanja  Alat Tulis Kantor 21836000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.02 ,Belanja Bahan/Material ,66415585,,,,,,,,,
1.01.1.01.01.012.003.5.2.2.02.06 ,Belanja Bahan Komputer/Printer ,1500000,Belanja Bahan Komputer/Printer 1500000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,4779000,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 4779000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.02.09 ,Belanja Bahan Percontohan ,25927500,Belanja Bahan Percontohan 25927500 Pelatihan Instruktur Senam Anak Usia Dini 3360000 Parenting Program Salma Terpadu 7710000 Ketrampilan Menjahit 8557500 Ketrampilan Tata Boga 6300000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.02.10 ,Belanja Alat Peraga ,34209085,Belanja Alat Peraga 34209085,,,,,,,,
1.01.1.01.01.012.003.5.2.2.03 ,Belanja Jasa Kantor ,100454100,,,,,,,,,
1.01.1.01.01.012.003.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,1200000,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 1200000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,99254100,Belanja Jasa Penyedia /Tenaga Teknis 99254100,,,,,,,,
1.01.1.01.01.012.003.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,17582500,,,,,,,,,
1.01.1.01.01.012.003.5.2.2.06.01 ,Belanja Cetak ,3100000,Belanja Cetak 3100000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.06.02 ,Belanja Penggandaan ,14482500,Belanja Penggandaan 14482500,,,,,,,,
1.01.1.01.01.012.003.5.2.2.08 ,Belanja Sewa Sarana Mobilitas ,8000000,,,,,,,,,
1.01.1.01.01.012.003.5.2.2.08.01 ,Belanja Sewa Sarana Mobilitas Darat ,8000000,Belanja Sewa Sarana Mobilitas Darat 8000000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.11 ,Belanja Makanan Dan Minuman ,30768000,,,,,,,,,
1.01.1.01.01.012.003.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,30768000,Belanja Makanan Dan Minuman Rapat 30768000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.14 ,Belanja Pakaian Khusus Dan Hari-hari Tertentu ,42350000,,,,,,,,,
1.01.1.01.01.012.003.5.2.2.14.02 ,Belanja Pakaian Adat Daerah ,38000000,Belanja Pakaian Adat Daerah 38000000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.14.04 ,Belanja Pakaian Olahraga ,4350000,Belanja Pakaian Olahraga 4350000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.15 ,Belanja Perjalanan Dinas ,77680000,,,,,,,,,
1.01.1.01.01.012.003.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,39600000,Belanja Perjalanan Dinas Dalam Daerah 39600000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,38080000,Belanja Perjalanan Dinas Luar Daerah 38080000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.27 ,Belanja Kursus Pelatihan  Sosialisai dan Bimbingan Teknis Non PNS ,9000000,,,,,,,,,
1.01.1.01.01.012.003.5.2.2.27.01 ,Belanja Kursus - kursus Singkat/Pelatihan ,9000000,Belanja Kursus - kursus Singkat/Pelatihan 9000000,,,,,,,,
1.01.1.01.01.012.003.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,199240000,,,,,,,,,
1.01.1.01.01.012.003.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,4140000,Belanja Jasa Tenaga Ahli 4140000,,,,,,,,
