Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,39820000," Makan Minum Snack Fasilitasi Pertemuan Tk. Lapangan720 om x 22.500,00 = 16.200.000,00
Makan Minum Snack Pelatihan TeknisDemapan280 om x 28.500,00 = 7.980.000,00
Makan Minum Snack Pelatihan Peningkatan kapasitas SDMDemapan116 om x 65.000,00 = 7.540.000,00
Makan Minum, snack pertemuan lapangan dalam rangkalomba APN 360 om x 22.500,00 = 8.100.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,7250000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,7250000," Belanja Perjalanan Dinas Dalam Daerah (Demapan)
- Gol IV = 25 x Rp 50.000,-25 op x 50.000,00 = 1.250.000,00
- Gol III = 40 x Rp 40.000,-40 op x 40.000,00 = 1.600.000,00
Belanja Perjalanan Dinas Dalam Daerah (APN))
- Gol IV =40x Rp 50.000,-40 op x 50.000,00 = 2.000.000,00
- Gol III = 60 x Rp 40.000,-60 op x 40.000,00 = 2.400.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",52800000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,18600000," Honor Dewan Ketahanan Pangan1 bjj x 9.000.000,00 = 9.000.000,00
Honor Pembicara Pelatihan Teknis Demapan48 jpl x 150.000,00 = 7.200.000,00
Honor Pembicara Pelatihan Peningkatan Kapasitas SDM Demapan16 jpl x 150.000,00 = 2.400.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,10200000," Honor Peserta
Uang Saku Peserta Pelatihan Peningkatan Kapasitas SDM Demapan100 oh x 30.000,00 = 3.000.000,00
- Uang Saku Peserta Pelatihan Teknis240 oh x 30.000,00 = 7.200.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 35 . 08 , Jasa Petugas Pengumpul/Validasi Data ,3000000," Honor Tim Verifikasi APN dan Penghargaan Ketahanan Pangan1 bjj x 3.000.000,00 = 3.000.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 35 . 09 , Jasa Petugas Lapangan ,21000000," Honor Petugas
- Honorarium Tim Pangan Desa240 ob x 75.000,00 = 18.000.000,00
'- Honorarium Pendamping Demapan30 ob x 100.000,00 = 3.000.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 37 , Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,18000000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 37 . 01 , Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,18000000," Belanja Hadiah dan Penghargaan (APN) 
Peringkat I = Rp 1.000.000., x 8 kelompok8 klp x 1.000.000,00 = 8.000.000,00
Peringkat II =Rp 750.000,- x 8 kelompok8 klp x 750.000,00 = 6.000.000,00
Peringkat III = Rp 500.000,- x 8 kelompok8 klp x 500.000,00 = 4.000.000,00",,
1.21 . 1.21.01 . 15 . 31 ," Monitoring, evaluasi, dan pelaporan ",34800000," Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : terlaksananya kegiatan monitoring, evaluasi dan pelaporan
Target: 1 kali",,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 1 , Belanja Pegawai ,6750000,,,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 1 . 01 , Honorarium PNS ,6750000,,,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,6750000," Honorarium Panitia Pelaksana Kegiatan
Ketua10 ob x 150.000,00 = 1.500.000,00
Sekretaris10 ob x 125.000,00 = 1.250.000,0040 ob x 100.000,00 = 4.000.000,00",,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 , Belanja Barang dan Jasa ,28050000,,,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,1377500,,,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,1377500," Belanja ATK dan Suplies komputer1 ls x 627.500,00 = 627.500,00
Belanja ATK workshop50 pkt x 15.000,00 = 750.000,00",,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,250000,,,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 03 . 14 , Belanja Dekorasi ,250000," Dekorasi1 pkt x 250.000,00 = 250.000,00",,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,1700000,,,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1700000," Penggandaan /fotokopi1 ls x 900.000,00 = 900.000,00
Penggandaan dan penjilidan laporan8 exp x 100.000,00 = 800.000,00",,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,18922500,,,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,2700000," Makan Minum Rapat Koordinasi120 om x 22.500,00 = 2.700.000,00",,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,16222500," Makan minum, snack Pertemuan Tk. Lapangan645 om x 22.500,00 = 14.512.500,00
Konsumsi Peserta Workshop60 om x 28.500,00 = 1.710.000,00",,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,3100000,,,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,3100000," Perjalanan Dinas dalam daerah
Gol IV = 30 x 50.00030 op x 50.000,00 = 1.500.000,00
Gol III = 40 x 40.00040 op x 40.000,00 = 1.600.000,00",,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",2700000,,,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,1200000," Honorarium Penyelenggara Kegiatan
Honor Pembicara workshop8 jpl x 150.000,00 = 1.200.000,00",,
1.21 . 1.21.01 . 15 . 31 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,1500000," '- Uang Saku Peserta workshop50 oh x 30.000,00 = 1.500.000,00",,
1.21 . 1.21.01 . 15 . 41 , Peningkatan saran dan prasarana ketahanan pangan pertanian / perkebunan ,826265500, Sumber Dana : , , Lokasi Kegiatan : BantulKeluaran : Terlaksananya kegiatan yang bersumber anggaran DAK Bidang PertanianTarget: 10 Sepeda Motor^ 4 Gedung Perpustakaan^ meja rapat^ kursi rapat^ display^ white board
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 1 , Belanja Pegawai ,9565000,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 1 . 01 , Honorarium PNS ,9565000,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,9565000," Honor Panitia Pelaksana Kegiatan
Ketua11 ob x 155.000,00 = 1.705.000,00
Sekretaris11 ob x 150.000,00 = 1.650.000,00
Anggota11 ob x 140.000,00 = 1.540.000,00
Honor PPK (non kontruksi)5 o/pkt x 350.000,00 = 1.750.000,00
Honor PPK Konstruksi11 ob x 120.000,00 = 1.320.000,00
Honorarium Tim Pengawas Lapangan
Sekretaris1 ok x 275.000,00 = 275.000,00
Anggota1 ok x 225.000,00 = 225.000,00
Ketua1 ok x 300.000,00 = 300.000,00
Honorarium Tim Supervisi Perencanaan
Ketua1 ok x 300.000,00 = 300.000,00
Sekretaris1 ok x 275.000,00 = 275.000,00
Anggota1 ok x 225.000,00 = 225.000,00",,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 2 , Belanja Barang dan Jasa ,13937000,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,2787000,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,2787000," Belanja Alat Tulis Kantor1 ls x 2.787.000,00 = 2.787.000,00",,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,1700000,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1700000," Belanja penggandaan penjilidan1 th x 1.700.000,00 = 1.700.000,00",,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,4500000,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,4500000," Belanja Makan dan Minum
Belanja Makan minum snack koordinasi200 org x 22.500,00 = 4.500.000,00",,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,4950000,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,1250000," Belanja Perjalanan dinas dalam daerah
Gol IV9 op x 50.000,00 = 450.000,00
Gol III20 op x 40.000,00 = 800.000,00",,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 2 . 15 . 02 , Belanja Perjalanan Dinas Luar Daerah ,3700000," Belanja Perjalanan dinas luar daerah
Golongan III 1 X 15500002 oh x 1.550.000,00 = 3.100.000,00
Tiket perjalanan 1 x Rp.600.000,-1 op x 600.000,00 = 600.000,00",,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 3 , Belanja Modal ,802763500,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 3 . 17 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Angkutan Darat Bermotor ,270675000,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 3 . 17 . 05 , Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Beroda Dua ,270675000," Belanja Modal pengadaan alat -alat angkutan darat bermotor
Belanja modal pembelian sepeda motor15 unit x 18.000.000,00 = 270.000.000,00
Honor Panitia Pengadaan Sepeda MotorAnggota1 o/k x 200.000,00 = 200.000,00
Ketua1 o/k x 250.000,00 = 250.000,00Sekretaris1 o/k x 225.000,00 = 225.000,00",,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 3 . 28 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga ,130740000,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 3 . 28 . 01 , Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair ,130740000,"  Belanja modal pengadaan mebeler
Belanja modal pengadaan meja perpustakaan60 unit x 334.000,00 = 20.040.000,00
Belanja modal pengadaan kursi perpustakaan60 unit x 500.000,00 = 30.000.000,00
Belanja modal pengadaan rak perpustakaan24 2300000 x 2.300.000,00 = 55.200.000,00
Whiteboard51 buah x 500.000,00 = 25.500.000,00",,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 3 . 36 , Belanja Modal Peralatan dan Mesin - Pengadaan Unit-Unit Laboratorium ,7500000,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 3 . 36 . 46 , Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium Pertanian ,7500000,"  Belanja Modal Pengadaan Alat-alat Laboratorium Pertanian
Belanja Modal Pengadaan Soil Tester5 paket x 1.500.000,00 = 7.500.000,00",,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 3 . 49 , Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Kerja ,393848500,,,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 3 . 49 . 09 , Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Pertemuan ,184898500," Belanja Modal Pengadaan Konstruksi/Pembelian GedungPertemuan/Hall 
Belanja Modal Pengadaan Ruang Peraga di BPP Dlingo1 unit x 94.449.000,00 = 94.449.000,00
Belanja Modal Pengadaan Ruang Peraga di BPP Imogiri1 unit x 90.449.500,00 = 90.449.500,00",,
1.21 . 1.21.01 . 15 . 41 . 5 . 2 . 3 . 49 . 19 , Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Perpustakaan ,208950000," Belanja Modal Pengadaan Gedung Perpustakaan
Belanja Modal Pengadaan Gedung Perpustakaan di BPP Srandakan1 unit x 87.000.000,00 = 87.000.000,00
Belanja Modal Pengadaan Gedung Perpustakaan di BPP Kretek1 unit x 91.000.000,00 = 91.000.000,00
Belanja Jasa Konsultasi Perencanaan1 pkt x 16.950.000,00 = 16.950.000,00
Belanja Jasa Konsultasi Pengawasan1 pkt x 10.000.000,00 = 10.000.000,00
Honor Pejabat Pengadaan8 0/pkt x 300.000,00 = 2.400.000,00
Honor Tim Penerima / Pemeriksa Barang
Anggota2 paket x 225.000,00 = 450.000,00
Ketua2 paket x 300.000,00 = 600.000,00
Sekretaris2 paket x 275.000,00 = 550.000,00",,
1.21 . 1.21.01 . 15 . 43 , Penyusunan pola pangan harapan ,34750000," Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : terlaksananya analisis dan penyusunan PPH
 Target: 75 desa",,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 1 , Belanja Pegawai ,300000,,,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 1 . 01 , Honorarium PNS ,300000,,,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,300000," Honor Panitia Workshop (3 Org)3 ok x 100.000,00 = 300.000,00",,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 , Belanja Barang dan Jasa ,34450000,,,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,3000000,,,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,3000000," Belanja barang pakai habis
 Belanja ATK dan suplies komputer1 ls x 2.100.000,00 = 2.100.000,00
ATK peserta Workshop60 pkt x 15.000,00 = 900.000,00",,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,300000,,,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 03 . 14 , Belanja Dekorasi ,300000," Dekorasi Workshop Pola Pangan Harapan1 pkt x 300.000,00 = 300.000,00",,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,3100000,,,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,3100000," Belanja Cetak dan Penggandaan
foto kopi blangko1 ls x 2.100.000,00 = 2.100.000,00
Penggandaan dan Penjilidan Laporan10 expl x 100.000,00 = 1.000.000,00",,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 07 , Belanja Sewa Rumah/Gedung/Gudang/Parkir ,900000,,,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 07 . 03 , Belanja Sewa Ruang Rapat/Pertemuan ,900000," BelanjaSewa ruang rapat1 pkt x 900.000,00 = 900.000,00",,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,8150000,,,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,3600000," Makan Minum Snack Rapat Koordinasi160 oh x 22.500,00 = 3.600.000,00",,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,4550000," Makan Minum Snack Workshop Pola Pangan Harapan70 ok x 65.000,00 = 4.550.000,00",,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,2400000,,,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,2400000," Belanja Perjalanan Dina
s- Gol IV = 20 x Rp 50.000,-20 op x 50.000,00 = 1.000.000,00
- Gol III = 35 x Rp 40.000,-35 op x 40.000,00 = 1.400.000,00",,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",16600000,,,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,1200000," Honor Pembicara Workshop Pola Pangan Harapan8 jpl x 150.000,00 = 1.200.000,00",,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,1800000,"- Uang saku Peserta Workshop60 oh x 30.000,00 = 1.800.000,00",,
1.21 . 1.21.01 . 15 . 43 . 5 . 2 . 2 . 35 . 08 , Jasa Petugas Pengumpul/Validasi Data ,13600000," Honorarium Petugas Pengumpul/Validasi Data
- Honor Pendataan96 ob x 100.000,00 = 9.600.000,00'
- Honor Analisis Data 2 tahap2 bjj x 2.000.000,00 = 4.000.000,00",,
1.21 . 1.21.01 . 15 . 45 , Percepatan penganekaragaman konsumsi pangan ,79400000," Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : terlaksananya program P2KP, lomba KWT dan Lomba Cipta Menu
Target: 1 kali",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 1 , Belanja Pegawai ,6650000,,,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 1 . 01 , Honorarium PNS ,6650000,,,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,6650000," Honorarium Panitia Pelaksana Kegiatan
Ketua10 ob x 150.000,00 = 1.500.000,00
Sekretaris10 ob x 125.000,00 = 1.250.000,00
Anggota (3 Org)30 ob x 100.000,00 = 3.000.000,00
Honorarium panitia pelatihan3 ok x 75.000,00 = 225.000,00
Honorarium Panitia lomba (3 jenis lomba)9 ok x 75.000,00 = 675.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 , Belanja Barang dan Jasa ,72750000,,,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,1625000,,,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,1625000," Belanja ATK suplies komputer1 ls x 1.025.000,00 = 1.025.000,00
ATK peserta pelatihan olahan pangan lokal40 pkt x 15.000,00 = 600.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,6750000,,,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 02 . 08 , Belanja Bahan Makanan ,6750000," Belanja bahan makanan
Belanja Bahan pangan lomba cipta menu17 pkt x 250.000,00 = 4.250.000,00
Belanja Bahan pangan pelatihan Olahan pangan1 ls x 2.500.000,00 = 2.500.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,750000,,,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 03 . 14 , Belanja Dekorasi ,750000," Dekorasi3 pkt x 250.000,00 = 750.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,1800000,,,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1800000," Belanja Cetak dan Penggandaan
Penggandaan1 ls x 1.200.000,00 = 1.200.000,00
Foto copy dan penjilidan6 expl x 100.000,00 = 600.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,25625000,,,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,5400000," Makan Minum Koordinasi P2KP240 om x 22.500,00 = 5.400.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,20225000," Belanja makan dan minum
- Makan minum, snack lapangan P2KP500 om x 22.500,00 = 11.250.000,00
- Konsumsi Lomba Cipta Menu B3A60 om x 22.500,00 = 1.350.000,00
- Konsumsi lomba olahan pangan lokal50 om x 22.500,00 = 1.125.000,00
Konsumsi Pelatihan olahan pangan lokal (2 hari)100 om x 65.000,00 = 6.500.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,3300000,,,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,3300000," Perjalanan Dinas dalam daerah
- Gol IV = 30 x Rp 50.000,-30 op x 50.000,00 = 1.500.000,00
- Gol III = 45 x Rp 40.000,-45 op x 40.000,00 = 1.800.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 23 , Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga ,15000000,,,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 23 . 01 , Belanja Barang Yang Akan Diserahkan Kepada Masyarakat ,15000000," - Penghargaan Lomba Cipta Menu (Peralatan masak/saji)
 Juara I1 pkt x 1.750.000,00 = 1.750.000,00
Juara II1 pkt x 1.500.000,00 = 1.500.000,00
Juara III1 pkt x 1.250.000,00 = 1.250.000,00
- Penghargaan Lomba KWT (Peralatan Olahan Pangan)
Juara III1 pkt x 1.500.000,00 = 1.500.000,00
Juara I1 pkt x 2.500.000,00 = 2.500.000,00
Juara II1 pkt x 2.000.000,00 = 2.000.000,00
- Penghargaan Lomba Pangan lokal (Peralatan masak/saji)
Juara III1 pkt x 1.250.000,00 = 1.250.000,00
Juara I1 pkt x 1.750.000,00 = 1.750.000,00
Juara II1 pkt x 1.500.000,00 = 1.500.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",17900000,,,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,2400000," Honorarium pembicara pelatihan Olahan pangan lokal 2 hari16 jpl x 150.000,00 = 2.400.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 35 . 02 , Jasa Yuri Perlombaan/Pelatih ,1100000," Honorarium Yuri Perlombaan'
- Honor Tim Yuri Lomba Cipta Menu B3A3 ok x 100.000,00 = 300.000,00
- Honor Tim Yuri Lomba KWT P2KP5 ok x 100.000,00 = 500.000,00
Honor Tim Yuri Lomba Pangan lokal3 ok x 100.000,00 = 300.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,2400000," Honor Peserta Pelatihan Olahan pangan lokal (2 hari)80 oh x 30.000,00 = 2.400.000,00",,
1.21 . 1.21.01 . 15 . 45 . 5 . 2 . 2 . 35 . 09 , Jasa Petugas Lapangan ,12000000," Honor Petugas Lapangan'
- Honor Pendamping60 ob x 100.000,00 = 6.000.000,00'
- Honor petugas KWT60 ob x 100.000,00 = 6.000.000,00",,
1.21 . 1.21.01 . 15 . 46 , Pemantauan distribusi pangan masyarakat ,34800000," Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : terlaksananya pemantauan distribusi pangan masyrakat
Target: 12 gapoktan",,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 1 , Belanja Pegawai ,5750000,,,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 1 . 01 , Honorarium PNS ,5750000,,,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,5750000," Honor Panitia Pelaksana Kegiatan
Ketua10 ob x 150.000,00 = 1.500.000,00
Sekretaris10 ob x 125.000,00 = 1.250.000,00
Anggota30 ob x 100.000,00 = 3.000.000,00",,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 , Belanja Barang dan Jasa ,29050000,,,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,4400000,,,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,4400000," Belanja barang pakai habis
Belanja Alat Tulis Kantor1 ls x 650.000,00 = 650.000,00
Belanja ATK peserta50 pkt x 15.000,00 = 750.000,00
Belanja Kalkulator15 unit x 200.000,00 = 3.000.000,00",,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,200000,,,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 03 . 14 , Belanja Dekorasi ,200000," Dekorasi1 pkt x 200.000,00 = 200.000,00",,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,1200000,,,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1200000," Belanja Cetak dan Penggandaan
Penggandaan dan penjilidan laporan1 ls x 600.000,00 = 600.000,00
Penggandaan materi1 ls x 600.000,00 = 600.000,00",,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 07 , Belanja Sewa Rumah/Gedung/Gudang/Parkir ,900000,,,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 07 . 03 , Belanja Sewa Ruang Rapat/Pertemuan ,900000," BelanjaSewa ruang rapat1 pkt x 900.000,00 = 900.000,00",,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,14250000,,,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,3600000," Makan Minum Snack Rapat Koordinasi160 om x 22.500,00 = 3.600.000,00",,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,10650000," Makan Minum snack Pertemuan di Tingkat Lapangan300 om x 22.500,00 = 6.750.000,00
Makan Minum Snack Workshop LDPM60 om x 65.000,00 = 3.900.000,00",,
1.21 . 1.21.01 . 15 . 46 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,2400000,,,
